,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603353,和顺石油,1.56,-18.75,5.2,34.24,2.16,15602.96,-18.67,,02-25
1,300819,聚杰微纤,0.89,-8.25,5.4,17.72,0.82,6638.65,-5.31,,01-31
2,603719,良品铺子,0.66,100.0,,24.92,0.41,23853.99,110.24,,01-14
3,300813,泰林生物,1.24,7.83,5.0,28.26,0.96,4821.46,7.17,,12-31
4,603551,奥普家居,0.84,12.0,2.86,34.62,0.75,30210.37,11.7,,12-24
5,300811,铂科新材,1.6,0.0,8.3,21.29,0.66,6898.63,-0.3,,12-17
6,002973,侨银环保,0.28,12.0,2.03,14.98,0.57,10265.83,13.13,,12-16
7,601512,中新集团,0.73,19.67,,13.67,0.93,97815.92,18.75,,12-03
8,603053,成都燃气,0.53,-10.17,2.6,21.76,0.85,42739.26,-8.98,,11-25
9,603995,甬金股份,1.91,52.8,,25.63,4.71,33121.17,53.44,,11-12
10,300806,斯迪克,0.87,20.83,7.81,11.86,1.68,7655.01,21.21,,11-04
11,300821,东岳硅材,0.74,117.65,2.13,45.64,0.9,66346.72,113.98,,11-04
12,300802,矩子科技,1.32,46.67,5.3,27.76,0.99,9915.52,47.16,,10-28
13,603290,斯达半导,0.81,84.09,3.62,24.9,1.0,9674.28,83.98,,10-25
14,601816,京沪高铁,0.26,13.04,,7.01,0.34,1024797.46,13.19,,10-25
15,300800,力合科技,3.01,133.33,9.11,37.77,1.79,18070.08,132.83,,10-22
16,300801,泰和科技,2.07,88.65,7.98,29.62,2.44,18612.33,88.66,,10-21
17,300799,左江科技,1.26,32.63,4.23,35.15,0.67,6448.29,33.3,,10-15
18,300797,钢研纳克,0.35,50.0,2.15,17.31,0.35,6422.75,51.3,,10-14
19,603610,麒盛科技,2.6,122.22,8.17,38.01,3.61,29269.06,160.15,,10-09
20,002965,祥鑫科技,1.25,1.33,6.9,19.87,0.7,14087.27,1.3,,09-30
21,603095,越剑智能,1.68,46.09,8.37,22.36,0.3,16665.02,53.54,,09-26
22,603489,八方股份,2.58,57.32,5.13,63.35,2.43,23235.4,126.16,,09-24
23,300793,佳禾智能,0.88,76.0,4.54,21.62,1.58,11038.57,78.14,,09-23
24,002981,朝阳科技,1.07,-4.46,5.2,22.28,1.17,7692.02,-4.5,,09-20
25,002963,豪尔赛,1.51,93.59,5.53,31.74,0.43,17081.17,107.74,,09-17
26,300792,壹网壹创,2.71,17.83,6.67,47.23,1.75,16261.67,17.99,,09-16
27,300791,仙乐健康,3.39,94.83,13.07,29.81,3.06,20322.53,94.85,,09-10
28,603815,交建股份,0.27,12.38,1.73,16.65,-0.1,12112.16,11.27,,09-03
29,300790,宇瞳光学,1.14,28.09,7.17,17.35,0.62,9807.21,41.93,,09-02
30,603221,爱丽家居,0.97,44.78,3.15,36.52,1.75,17532.87,52.93,,08-30
31,002962,五方光电,0.91,-28.35,5.62,17.67,1.43,13784.99,-17.86,,08-27
32,603948,建业股份,1.65,8.55,5.69,33.5,1.23,19755.24,8.05,,08-22
33,002961,瑞达期货,0.29,,,8.55,,11473.16,-27.52,,08-19
34,002971,和远气体,0.63,70.27,4.4,15.36,0.63,7535.92,67.6,,08-14
35,300789,唐源电气,2.42,34.44,7.64,37.83,1.48,8359.55,34.79,,08-12
36,603755,日辰股份,0.94,23.68,2.69,40.38,0.98,6980.71,24.57,,08-07
37,688200,华峰测控,2.16,71.43,5.61,42.06,2.42,9072.93,71.8,,08-07
38,603992,松霖科技,0.66,34.69,,22.91,0.87,23619.53,32.84,,08-06
39,300787,海能实业,1.83,10.99,7.93,25.35,2.28,11658.75,11.09,,07-29
40,603115,海星股份,0.96,65.52,5.02,20.67,1.22,14945.13,65.87,,07-23
41,002960,青鸟消防,1.91,6.7,8.17,26.51,0.62,34404.66,6.56,,07-22
42,688398,赛特新材,0.72,700.0,4.32,18.31,0.8,4187.75,697.77,,07-18
43,603662,柯力传感,1.57,29.67,11.47,14.53,1.54,14081.7,29.67,,07-16
44,002959,小熊电器,2.06,-10.39,5.11,50.55,3.44,18550.19,26.57,,07-15
45,688037,芯源微,0.48,9.09,3.49,14.8,-0.45,3047.79,16.03,,07-12
46,688222,成都先导,,,2.76,36.41,0.36,4496.05,-294.8,,07-09
47,002957,科瑞技术,0.8,25.0,4.38,20.07,0.76,29617.37,24.69,,07-08
48,688177,百奥泰,,,,-774.82,,-55311.12,134.86,,07-08
49,300785,值得买,2.39,10.65,8.19,31.71,1.34,9571.92,10.99,,07-01
50,002263,*ST东南,0.02,-106.67,,1.83,,4008.76,-107.06,,06-28
51,600610,*ST毅达,-0.46,-55.9,,,,-49775.78,-55.89,,06-28
52,688081,兴图新科,0.81,28.57,3.8,24.67,-0.05,4285.52,33.0,,06-27
53,688208,道通科技,0.78,239.13,2.59,36.4,0.49,31229.31,241.81,,06-27
54,688085,三友医疗,0.4,81.82,2.21,19.63,0.13,6213.74,101.18,,06-26
55,603236,移远通信,2.7,95.65,9.8,32.21,1.26,18048.52,108.95,,06-26
56,688189,南新制药,0.51,240.0,2.23,25.79,0.61,5352.55,97.15,,06-26
57,688396,华润微,0.49,510.75,4.72,10.61,1.69,42945.17,511.03,,06-26
58,603530,神马电力,0.34,-2.86,2.06,17.85,0.46,12155.41,-2.24,,06-25
59,002975,博杰股份,2.17,161.45,7.58,34.23,0.54,11162.39,168.71,,06-21
60,002975,博杰股份,2.17,161.45,7.58,34.23,0.54,11162.39,168.71,,06-21
61,603687,大胜达,0.39,-18.75,2.81,14.85,0.5,14134.2,-13.91,,06-17
62,603983,丸美股份,1.15,35.29,3.82,35.57,1.44,41527.85,35.61,,06-17
63,688266,泽璟制药,,,5.6,,-2.78,-44008.9,200.47,,06-10
64,601698,中国卫通,0.12,7.69,,4.39,0.59,41825.87,7.66,,06-10
65,603256,宏和科技,0.21,0.0,1.36,16.8,0.21,16978.45,3.12,,06-10
66,688090,瑞松科技,1.14,11.95,8.88,14.17,1.38,5707.98,13.35,,06-05
67,300823,建科机械,1.13,25.56,,19.6,0.53,7952.56,28.48,,06-05
