,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603299,苏盐井神,0.22,175.0,,9.73,,9147.62,312.9,,12-16
1,603223,恒通股份,,,,48.23,,4238.9,84.14,,06-10
2,603026,石大胜华,0.64,,,,,8965.9,,,04-28
3,603288,海天味业,1.28,,4.92,29.0,2.04,66026.66,-6.57,,01-15
4,300383,光环新网,0.79,12.86,3.52,29.38,0.85,3231.8,44.74,,01-10
5,002723,金莱特,0.75,-6.69,2.75,33.7,0.32,4487.73,49.85,,01-09
6,002722,金轮股份,0.4,110.53,2.21,20.12,0.5,4183.1,110.67,,01-09
7,300382,斯莱克,0.8,37.93,1.88,53.93,0.47,3666.76,37.3,,01-09
8,002721,金一文化,0.32,166.67,2.48,28.85,-1.38,4545.5,160.81,,01-09
9,300381,溢多利,0.72,15.13,3.7,21.48,0.91,2818.42,15.1,,01-09
10,002714,牧原股份,0.43,-8.51,,27.27,0.42,8560.95,-9.27,,01-09
11,002719,麦趣尔,0.59,11.32,1.75,33.86,0.42,4404.48,11.19,,01-09
12,002725,跃岭股份,0.85,19.72,,35.0,0.75,5107.82,19.73,,01-09
13,300380,安硕信息,,,,56.04,,3535.62,121.49,,01-09
14,002718,友邦吊顶,1.24,,2.36,72.52,1.3,5587.73,107.15,,01-09
15,603005,晶方科技,0.5,,2.29,24.22,0.64,9074.24,78.25,,01-09
16,300379,东方通,0.65,62.83,2.09,36.89,0.4,2930.76,83.91,,01-09
17,002717,岭南股份,0.87,47.46,2.32,44.56,0.13,6122.81,73.07,,01-08
18,300378,鼎捷软件,0.63,16.67,4.05,21.52,1.23,5037.25,32.76,,01-08
19,002716,ST金贵,0.77,79.07,3.03,30.03,-0.8,12766.59,103.52,,01-08
20,300377,赢时胜,0.7,14.75,1.94,44.24,0.42,3153.78,22.85,,01-08
21,002715,登云股份,0.49,44.12,2.84,18.78,0.67,3407.45,45.68,,01-08
22,601225,陕西煤业,0.61,154.17,2.36,27.14,1.27,546954.56,149.27,,01-08
23,603688,石英股份,0.65,170.83,,28.65,1.0,9031.65,170.23,,01-08
24,300376,易事特,1.08,-46.53,4.56,25.35,1.09,8323.26,-46.49,,01-07
25,300375,鹏翎股份,0.92,16.46,4.29,24.05,0.97,6395.26,16.15,,01-07
26,002713,东易日盛,0.39,11.43,,16.19,1.0,3916.88,10.72,,01-07
27,603555,贵人鸟,,,,76.1,,22238.42,180.48,,01-07
28,300371,汇中股份,0.95,75.93,1.93,62.34,0.54,3613.98,76.5,,01-06
29,002711,*ST欧浦,0.63,80.0,2.44,29.52,1.03,7405.45,78.04,,01-06
30,300369,绿盟科技,0.88,72.55,2.28,54.38,1.52,6574.49,72.97,,01-06
31,300368,汇金股份,0.79,,,28.83,0.79,3308.11,21.46,,01-06
32,300367,东方网力,0.7,35.25,2.49,36.81,0.55,3581.8,57.97,,01-06
33,300373,扬杰科技,0.73,180.77,3.07,60.02,1.11,4528.83,225.29,,01-06
