,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300813,泰林生物,1.15,55.41,3.76,34.24,0.59,4498.79,55.0,,12-31
1,601512,中新集团,0.61,35.56,,13.17,1.77,82368.71,36.43,,12-03
2,601816,京沪高铁,0.23,15.0,,6.36,0.11,905344.22,14.55,,10-25
3,300799,左江科技,0.95,106.52,2.96,38.09,0.12,4837.47,110.26,,10-15
4,688200,华峰测控,1.26,28.57,4.22,34.33,0.25,5281.14,28.16,,08-07
5,002960,青鸟消防,1.79,13.29,,33.48,0.94,32287.28,13.71,,07-22
6,688398,赛特新材,0.09,-25.0,3.58,2.54,0.13,524.93,-23.82,,07-18
7,688037,芯源微,0.44,450.0,3.07,15.91,0.67,2626.81,432.99,,07-12
8,688222,成都先导,,,0.77,-21.69,-0.01,-2308.07,0.46,,07-09
9,688177,百奥泰,,,,-54.69,,-23550.95,72.43,,07-08
10,688081,兴图新科,0.63,600.0,2.8,27.28,0.47,3222.25,596.44,,06-27
11,688208,道通科技,0.23,-221.05,1.75,13.99,0.03,9136.4,-223.16,,06-27
12,688085,三友医疗,0.22,1000.0,1.88,15.55,0.14,3088.61,886.89,,06-26
13,688189,南新制药,0.15,66.67,1.72,16.24,0.67,2714.93,85.87,,06-26
14,688396,华润微,0.08,-123.23,4.36,2.55,1.9,7028.29,-123.22,,06-26
15,688266,泽璟制药,,,2.13,,-3.16,-14646.84,14.19,,06-10
16,688090,瑞松科技,1.02,61.84,7.29,15.08,2.47,5035.61,94.9,,06-05
17,600968,海油发展,0.14,90.85,,8.96,0.25,117691.3,90.72,,06-05
18,300783,三只松鼠,0.84,25.19,,41.26,1.24,30201.72,27.7,,06-03
19,002956,西麦食品,1.7,5.59,,25.31,2.11,10124.69,7.17,,06-03
20,300594,朗进科技,0.95,28.38,4.22,25.85,0.17,6211.05,42.62,,06-03
21,688118,普元信息,0.63,-5.79,3.94,17.49,0.46,4235.18,-5.75,,06-03
22,603915,国茂股份,0.35,29.63,2.5,15.17,0.45,13367.85,38.27,,05-27
23,300782,卓胜微,2.27,94.22,4.14,74.75,1.71,16988.84,101.86,,05-27
24,688138,清溢光电,0.19,-17.39,2.34,8.62,0.48,3865.8,-15.48,,05-24
25,603109,神驰机电,0.79,46.57,4.44,19.04,0.26,8692.92,46.78,,05-22
26,300781,因赛集团,0.74,23.33,3.81,20.89,0.86,4696.57,35.64,,05-20
27,603863,松炀资源,0.46,0.0,3.09,16.8,0.85,6882.21,29.06,,05-13
28,300780,德恩精工,0.46,-9.8,4.2,11.97,0.41,4960.56,-2.05,,05-13
29,603217,元利科技,2.31,19.61,,27.82,3.54,18502.29,17.48,,05-13
30,688051,佳华科技,0.72,-47.06,,35.8,0.05,3576.51,24.78,,05-09
31,688298,东方生物,0.37,,1.53,28.73,0.37,3335.66,-6.37,,05-09
32,688111,金山办公,0.6,25.0,2.89,23.17,0.96,21433.73,25.01,,05-08
33,688128,中国电研,0.39,-37.1,2.78,17.16,0.38,11190.07,-14.58,,05-06
34,688126,沪硅产业,,,1.85,,0.06,22355.33,-355.7,,04-30
35,688358,祥生医疗,1.07,109.8,,54.01,1.04,6404.28,110.21,,04-30
36,300776,帝尔激光,1.36,106.06,3.06,52.04,0.49,6712.72,122.25,,04-30
37,002955,鸿合科技,2.09,,7.22,42.08,0.09,20433.46,230.84,,04-29
38,688089,嘉必优,0.73,30.36,5.17,15.17,1.12,6577.91,29.7,,04-29
39,300775,三角防务,0.27,145.45,2.73,10.61,0.39,12253.94,149.5,,04-29
40,603327,福蓉科技,0.39,193.87,1.57,28.13,0.46,13585.74,193.83,,04-29
41,688021,奥福环保,1.03,796.02,4.97,28.36,-0.12,5592.17,811.49,,04-29
42,300779,惠城环保,0.67,55.81,3.67,19.62,0.8,5019.32,57.0,,04-29
43,688196,卓越新能,0.72,28.57,5.97,12.83,-0.55,6481.56,28.47,,04-26
44,300818,耐普矿机,0.8,-16.67,7.17,11.78,0.86,4187.69,-16.59,,04-26
45,300778,新城市,1.2,48.17,3.81,31.4,1.42,7221.73,48.17,,04-23
46,300777,中简科技,0.31,93.75,1.42,24.07,0.39,11040.15,94.23,,04-22
47,688399,硕世生物,0.97,361.9,5.92,16.12,1.4,4266.84,410.34,,04-22
48,603267,鸿远电子,0.98,0.0,,15.45,0.73,12201.28,3.48,,04-22
49,688299,长阳科技,0.13,-35.0,2.48,6.43,0.07,2597.48,-18.36,,04-19
50,688101,三达膜,0.74,45.1,4.95,16.14,0.5,18523.1,43.91,,04-19
51,688369,致远互联,0.78,122.86,4.44,20.14,2.08,4466.02,154.72,,04-19
52,688233,神工股份,0.88,319.05,3.03,39.65,0.61,4585.28,328.64,,04-19
53,688178,万德斯,1.34,356.41,,57.41,-0.8,6975.42,366.95,,04-18
54,688366,昊海生科,2.33,21.99,20.0,12.2,2.19,37241.4,22.08,,04-18
55,688389,普门科技,0.16,,1.55,14.14,0.09,5642.5,443.37,,04-16
56,603697,有友食品,0.85,57.41,,30.85,1.07,19034.46,55.39,10派3,04-15
57,688198,佰仁医疗,,,,36.68,,4220.15,35.38,,04-15
58,002953,日丰股份,0.48,23.08,2.84,18.43,0.27,6180.75,24.0,,04-15
59,688066,航天宏图,0.38,22.58,3.32,12.93,0.03,4537.91,43.67,,04-12
60,688066,航天宏图,0.38,22.58,3.32,12.93,0.03,4537.91,43.67,,04-12
61,688268,华特气体,0.54,28.57,5.58,9.99,1.02,4837.63,26.51,,04-12
62,688033,天宜上佳,0.55,-32.1,10.33,22.55,1.34,22193.09,14.08,,04-12
63,603982,泉峰汽车,0.52,-1.94,,10.14,0.14,7512.72,35.9,,04-11
64,688016,心脉医疗,,,3.48,40.71,1.28,6338.62,54.17,,04-11
65,688188,柏楚电子,,,2.4,78.83,1.72,13109.21,74.4,,04-10
66,688186,广大特材,0.86,,,20.39,0.41,8641.55,81.03,,04-10
67,688020,方邦股份,1.6,19.4,5.79,32.2,1.27,9629.11,19.87,,04-10
68,688363,华熙生物,,,,14.9,,22226.89,-17.5,,04-10
69,688258,卓易信息,0.51,15.91,3.72,14.62,0.58,3307.33,15.54,,04-10
70,603786,科博达,0.95,,,33.47,0.6,33477.32,-4.59,,04-09
71,688169,石头科技,,,5.39,32.29,0.87,6699.62,-696.05,,04-09
72,300772,运达股份,0.43,-8.51,3.82,11.51,2.51,9432.29,-9.47,,04-09
73,688058,宝兰德,1.15,-8.0,4.22,30.67,1.02,3449.85,-8.15,,04-09
74,688023,安恒信息,1.07,,7.83,18.33,1.24,5491.13,6935.64,,04-09
75,688030,山石网科,,,1.93,27.17,-0.06,6005.22,4967.78,,04-09
76,300773,拉卡拉,1.3,39.78,6.43,22.53,1.54,46964.34,40.19,,04-08
77,688166,博瑞医药,0.14,133.33,9.99,11.45,0.8,4587.64,168.9,,04-08
78,688022,瀚川智能,0.41,,1.41,44.09,0.27,3219.68,1384.63,,04-04
79,688333,铂力特,0.57,0.0,5.63,10.69,0.44,3425.54,9.35,,04-04
80,688100,威胜信息,0.34,21.43,2.56,14.08,0.4,14901.13,85.1,,04-04
81,688068,热景生物,0.64,-1.54,,20.6,0.49,3007.23,4.42,,04-04
82,688025,杰普特,1.38,331.25,5.05,34.91,-0.66,8766.91,353.56,,04-04
83,603095,越剑智能,1.15,,6.69,17.09,0.88,10854.12,3.59,,04-04
84,688202,美迪西,0.86,-13.13,6.1,15.26,1.61,4017.68,-6.39,,04-03
85,688029,南微医学,1.01,54.17,4.36,26.27,1.4,10118.2,62.28,,04-03
86,688018,乐鑫科技,2.16,6185.13,3.5,20.81,-0.15,2937.19,6436.71,,04-03
87,688139,海尔生物,0.35,-51.39,3.57,9.97,0.86,6039.15,-50.98,,04-02
88,688098,申联生物,0.3,-61.04,5.54,19.59,0.75,9867.8,34.31,,04-02
89,688123,聚辰股份,,,,26.97,,5743.07,65.64,,04-02
90,688003,天准科技,0.37,54.17,1.92,21.1,0.37,5158.07,59.89,,04-02
91,300769,德方纳米,2.89,22.46,12.45,26.28,-6.34,9272.76,22.64,,04-01
92,688008,澜起科技,0.46,283.33,1.57,33.52,0.3,34691.6,273.81,,04-01
93,300771,智莱科技,1.54,28.33,5.59,31.97,1.74,11548.19,30.13,,04-01
94,688158,优刻得,0.25,-122.12,6.87,13.34,1.12,7683.46,-138.97,,04-01
95,300770,新媒股份,1.14,83.87,5.79,21.86,2.06,10981.29,117.56,,04-01
96,688039,当虹科技,0.68,,,17.17,0.24,4068.12,14.04,,03-29
97,688015,交控科技,0.37,-17.78,2.87,13.77,0.17,4487.42,-16.43,,03-29
98,300798,锦鸡股份,0.29,-19.44,2.25,13.75,0.08,10948.25,-5.91,,03-29
99,688012,中微公司,,,,,,2991.87,-112.53,,03-29
100,688036,传音控股,0.94,,,24.43,2.09,67145.42,969.25,,03-29
101,688011,新光光电,0.54,-39.33,5.52,11.83,-0.99,4019.8,-39.86,,03-29
102,688019,安集科技,1.0,,7.58,14.1,0.68,3973.91,7.12,,03-29
103,688108,赛诺医疗,0.29,107.14,2.32,17.27,0.27,6614.58,130.87,,03-29
104,688288,鸿泉物联,0.7,,1.98,39.11,0.25,4779.57,47.89,,03-28
105,688010,福光股份,0.8,25.43,5.93,14.28,0.77,9125.6,26.76,,03-28
106,688001,华兴源创,,,1.85,31.83,0.41,20966.91,16.29,,03-27
107,688088,虹软科技,,,,22.24,2.01,8633.25,7.43,,03-27
108,688321,微芯生物,0.07,353.05,1.31,9.23,0.01,2590.54,379.8,,03-27
109,688007,光峰科技,,,,197.26,,10539.34,655.85,,03-27
110,688278,特宝生物,0.01,-88.89,1.34,1.08,-0.03,516.86,-82.37,,03-27
111,603317,天味食品,0.5,-9.92,2.5,18.6,0.6,18380.61,-9.6,,03-26
112,300768,迪普科技,0.43,72.0,2.31,20.39,0.49,15399.06,124.42,,03-25
113,603068,博通集成,0.84,-28.21,2.98,32.83,0.52,8742.73,-16.03,,03-25
114,688002,睿创微纳,0.23,513.72,1.28,20.98,-0.03,6435.09,563.87,,03-22
115,688099,晶晨股份,0.21,,2.24,11.0,0.48,7809.13,6.95,,03-22
116,688116,天奈科技,,,3.15,-6.22,-0.13,-1479.97,-251.77,,03-22
117,688005,容百科技,,,,3.86,,3112.78,352.63,,03-22
118,603967,中创物流,0.94,4.44,,25.79,1.12,18861.78,4.24,,03-19
119,603379,三美股份,2.54,161.86,4.64,73.99,2.1,95416.7,161.93,,03-13
120,300767,震安科技,1.09,-4.86,7.43,15.83,0.37,6539.59,-4.86,,03-12
121,300564,筑博设计,1.05,11.7,4.36,25.31,2.26,7857.0,11.2,,03-08
122,002952,亚世光电,1.17,-13.27,4.23,29.92,1.37,6769.46,-12.67,,03-07
123,300763,锦浪科技,1.96,292.0,3.86,63.46,2.49,11781.42,296.3,,03-06
124,300765,新诺威,1.3,-5.8,5.11,29.11,0.01,19491.11,-5.65,,03-05
125,300766,每日互动,0.41,310.0,2.45,18.18,0.34,14684.84,328.08,,03-04
126,002951,金时科技,0.55,,,27.09,1.06,18067.03,-34.91,,02-26
