,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,41019612.02,36739194.90,45531809.70,37325312.28,43906176.73,44002039.68,34511782.29,57272627.00,63176423.69,59740334.23,83405823.52,60373008.63,117176279.74,99115073.93,203547912.38,90870067.59,64267511.32,65919557.74,52884328.15,57189860.18,213610221.75,66293457.24,46604696.41,39408737.83,85980288.99,102075647.46,50095480.10,35803255.81,107462942.74,54912278.67,53198120.83,44820366.87,60224670.70,24399033.74,18501748.55,101715833.34,19835910.30,17051372.78,29847340.24,16456644.99,23996996.05,19738340.10,14666950.47,12456793.52,17361920.61,19789484.79,11591389.37,11790298.20,25800437.09,17307579.94,22401078.18,19505025.35,19451635.53,13055569.63,20423122.71,12324320.94,23421483.21,20357573.92,15069359.24,15141030.55,30107065.78,17724714.65,22925232.03,11038288.05,20285529.31,13484851.03,22204483.17,20964678.49,11220626.40,15367878.68,26205291.11,19731310.22,0,30224970.29,38306557.86,43800011.60,43800011.60,40353353.80,37087765.57,54761306.30,23688950.58,0,62651819.68,36974498.65,36227069.79,0.0
10,其他应收款(合计),207168981.90,199814812.70,191684632.79,153129673.44,149087983.23,139831956.06,140363799.22,129480254.46,0,0,138079597.25,122518194.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45715.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,199814812.70,0,153129673.44,149087983.23,139831956.06,140363799.22,129480254.46,115424254.73,136790069.18,138079597.25,122518194.65,145104294.07,115441248.33,466318584.53,464895709.19,137269825.86,148990566.78,154574102.87,123135149.88,142430784.31,104889851.38,98259310.30,90999439.46,95797237.75,104216121.30,58221937.00,49566947.97,46126335.78,28108853.17,23080892.93,15949707.21,14335126.65,8426604.03,14020947.71,22633745.39,10240350.63,15843148.45,7989349.29,5470360.71,9673514.37,8173835.35,4745150.03,3931082.08,8897055.78,4950984.73,19788598.65,3496635.77,8350186.90,13776312.99,8644243.24,6969522.47,13249070.22,16116600.94,16309903.59,9774961.33,30724339.04,26564050.06,22895455.29,18537440.43,24147690.07,18858699.66,18394363.07,16760529.19,93961148.40,75720518.37,91807062.42,87891067.11,105798241.09,120600617.24,232530141.67,228494621.58,0,224768427.92,241284171.20,175414371.28,1754147371.28,103098157.58,79479645.82,71882435.83,42689366.25,0,8404568.29,14492245.57,29172524.59,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,293481747.38,237120026.18,231464742.77,198818708.55,262359028.60,269240137.05,294127674.58,234945912.18,341194405.56,316040119.11,244873776.74,244295262.39,272694016.02,277391715.81,258252026.56,199997365.23,576294193.84,603665417.34,683291914.14,604629077.40,573899738.96,574512781.33,468083327.28,490189389.84,415821175.69,462027416.07,379666015.36,366775607.09,389859512.38,348498050.05,310788961.24,334280994.41,320389804.31,288900659.35,288501803.49,336157723.43,259441915.53,297702698.57,247133410.76,242359686.12,209903257.75,212497405.03,165621285.60,161836009.27,184997083.80,172028550.58,139313908.27,164172361.87,149378494.88,144421824.09,108198400.78,119970856.27,105403583.80,108125039.66,100974715.95,112050338.45,104867931.90,113488952.14,115369914.69,145769745.04,114106684.22,113820828.58,81449804.78,84613727.66,72444996.24,66338757.91,62536522.99,70506255.83,82376393.92,90428098.24,88323576.65,87011199.84,0,90507337.83,87198165.34,112535341.73,112535341.73,87613250.07,126121040.45,109590810.30,78339743.85,0,68808249.47,52979862.49,57304534.39,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381510.62,2423236.60,682280.68,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306954.27,416146.75,328381.25,0,6000.00,12000.00,0,0,177566.35,649389.23,621125.13,0,1831221.50,407318.26,-664922.41,0,1010153.07,1614968.32,2116886.11,244169.34,0,731045.80,666030.24,0,0,1696419.54,1962477.25,6265083.67,6638304.07,0,6349352.08,9832960.02,8711285.53,0.0
