,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20151231,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
39,无形资产,360652010.08,362690346.13,365220226.57,366500666.73,357423532.35,359489762.90,361576356.49,282400774.59,284425285.57,285456625.91,286503410.38,287090976.08,286405503.88,278850052.10,155808514.10,153587884.06,141918590.51,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,116495.93,129439.94,142383.95,155327.96,168271.97,181215.98,194159.99,207104.00,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,3766160.08,2490841.51,3453789.39,3405379.51,1892015.34,1465113.97,1366731.85,2213673.99,1209487.95,846310.77,833461.45,243068.86,2741063.59,883862.11,745460.42,708317.43,1554321.41,0.0
44,其他非流动资产,0,0,0,0,4353449.00,4353449.00,2500000.00,2500000.00,1000000.00,1000000.00,1000000.00,1000000.00,1345277.00,2000000.00,46000000.00,0,0,0.0
45,非流动资产合计,1167467087.14,1162637810.29,1152091872.52,1138089029.69,1110830000.75,1083663183.69,1062431697.71,933819862.23,905340915.20,893703563.60,865666610.85,857301541.22,743181185.81,629452958.31,501773133.03,369804770.52,288982212.60,0.0
46,资产总计,1622168195.12,1611359775.61,1558557639.54,1513050276.30,1458577360.46,1413933696.90,1334122335.49,1229417368.92,1079387895.41,1061565108.14,986810074.83,977732963.49,880549738.71,709391248.81,630480791.64,507292980.04,371717354.51,0.0
47,流动负债,,,,,,,,,,,,,,,,,,
48,短期借款,275207581.60,420709044.00,380069722.40,311626533.60,414342895.20,392979496.50,338689831.80,299220731.30,215000000.00,219000000.00,279000000.00,268500000.00,247400000.00,112400000.00,120000000.00,60000000.00,31000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,126951084.71,126440223.86,154107805.86,178777735.96,125321844.27,109141783.97,115140971.62,83703747.14,0,50606334.85,41897179.67,47204203.27,0,0,0,0,0,0.0
51,应付票据,51987743.76,47255795.24,0,88177095.02,0,26952913.87,40398152.97,11465380.00,4867940.00,0,0,0,0,0,0,0,0,0.0
52,应付账款,74963340.95,79184428.62,0,90600640.94,0,82188870.10,74742818.65,72238367.14,51825780.96,50606334.85,41897179.67,47204203.27,42418116.66,25453716.23,27498052.54,26545224.21,9988809.40,0.0
53,预收款项,5083033.52,4485621.72,1713706.17,2933369.77,5595709.27,5762674.01,3054963.32,1732069.35,3120386.70,730455.97,1187009.84,1182482.70,1629133.36,2383730.89,816088.22,0,186488.04,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,7319606.39,7315481.02,5396471.14,9562905.27,5620672.40,7551025.34,5667213.20,6175839.29,3727723.01,3335201.44,4330117.05,3050593.51,2727515.52,2978281.09,1948371.60,792915.51,546069.17,0.0
56,应交税费,42972248.33,40408491.06,29597310.89,54730672.14,27726025.48,19664397.22,19403511.23,21199121.63,14374340.27,14799880.30,5172325.04,6163214.77,7920927.08,7594823.19,15196301.82,14748742.40,17276550.06,0.0
57,其他应付款(合计),18407699.44,21056679.20,21808768.06,30627496.68,9348635.40,35289914.62,21521111.57,6231396.05,0,5159272.15,8242369.69,5506022.50,0,0,0,0,0,0.0
58,应付利息,316541.32,205362.76,180842.04,205239.80,222450.34,415763.43,584272.26,371622.76,286412.59,289795.89,405110.20,486097.63,439460.64,354478.67,222438.34,161608.34,63224.06,0.0
59,应付股利,0,0,0,0,0,24000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,20851316.44,0,30422256.88,0,10874151.19,20936839.31,5859773.29,5218879.13,4869476.26,7837259.49,5019924.87,4642083.13,5756073.70,5252684.76,4966233.08,25611504.41,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,8378339.39,8378339.39,0,0,0,0,27466400.00,27466400.00,41190224.53,6000000.00,2000000.00,2000000.00,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
