,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,661459793.98,517135674.24,713396494.11,752873622.85,1023391127.14,817516888.24,939940312.08,769945725.75,439789181.48,273257377.65,304213794.02,159928539.21,353957013.99,156336354.70,223774684.08,155127688.29,225246466.84,171327983.03,153861859.01,197077927.33,232521129.83,300018097.49,206844400.28,220845452.21,206971530.86,213996696.42,228127240.90,276535824.61,327208566.02,298023677.78,341554524.50,449447466.06,119888215.49,87637501.43,109001628.49,62921521.19,106654397.28,76856100.95,85096726.67,68954518.85,92766566.55,166114371.68,113917703.94,108371015.36,138884068.37,102500391.99,109367412.75,113464781.86,146467255.59,135524106.83,134800866.16,137489059.59,157311600.89,139570051.53,133649604.47,147586673.31,158559116.54,154726324.39,154012614.55,31637685.61,31412564.66,47495439.21,0.0
3,交易性金融资产,113710405.80,79185519.00,83559576.24,76319757.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,638391921.69,837633970.47,824838873.17,790814181.31,746701079.91,789305224.27,723871568.38,717560332.49,674175955.95,0,282237330.62,0,235227939.01,0,276717634.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,166605258.81,182724120.08,243889203.40,300844833.33,343690149.51,215142122.81,202968536.47,249956379.25,284035292.77,65415342.69,61014587.62,77681666.36,95361570.90,35152108.56,56799490.55,64644112.21,81910004.11,31800379.18,63422410.00,85787502.62,107909727.88,35408997.13,43442589.58,52299463.50,100506510.64,33252796.14,37902925.40,29928825.31,67709458.62,17423078.00,30228970.89,35902290.89,76129665.64,32892054.79,53087016.36,41180355.60,41108752.25,27697814.85,35287076.27,25836041.30,26425035.79,19363643.66,13188199.60,6050404.82,14324061.85,17666780.08,11634288.46,7535268.45,14766173.03,7943920.00,11220220.00,2315000.00,6054100.12,6326121.00,7724003.93,3601610.36,4414824.36,2807869.50,2504364.60,2307000.00,2762080.00,1938000.00,0.0
7,应收账款,471786662.88,654909850.39,580949669.77,489969347.98,403010930.40,574163101.46,520903031.91,467603953.24,390140663.18,270752975.96,221222743.00,180216477.96,139866368.11,256974410.73,219918144.04,178767032.91,162362744.59,239009712.88,221846996.73,185365709.69,197417578.90,245419921.51,256672688.18,197786652.44,175375127.73,292641751.05,292973463.51,251489290.36,207538263.47,269878240.87,233428683.61,217737967.39,139124479.38,176376186.61,158543283.35,141083593.97,93300461.02,116185712.48,105327657.74,76117518.82,63042427.16,78524605.59,62027053.10,50142429.33,37805429.31,61702234.13,54679839.95,47069182.03,27921190.33,48608902.05,45073078.56,37012575.12,22468752.69,42591737.08,33148014.53,35816603.97,20031502.70,32011335.81,24644461.05,15343748.48,21500313.52,21252610.59,0.0
8,应收款项融资,140179884.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
