,报表日期,20191231,20190930,20190630,20181231,20171231,20170630,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,
58,应付利息,1865422.09,0,456123.64,572426.24,541011.34,775631.11,1068510.50,1001347.43,948042.07,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,11122411.32,0,5988056.68,2076117.00,2317337.02,3012779.50,39450081.87,167587.74,63486917.03,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,77458167.76,166000000.00,166000000.00,126000000.00,9000000.00,9000000.00,150000000.00,70000000.00,22500000.00,0.0
65,其他流动负债,45392178.87,63284355.40,70584449.88,79381154.04,58641430.38,0,22258206.77,0,0,0.0
66,流动负债合计,379466535.25,512960514.75,486127283.99,484790117.95,275764089.33,341811043.19,611670426.66,372081180.89,310814180.95,0.0
67,非流动负债,,,,,,,,,,
68,长期借款,0,79458167.76,79458167.76,152458167.76,278458167.76,284458167.76,146458167.76,220000000.00,291500000.00,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,40775775.00,40775775.00,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,63946003.42,64963071.66,65979860.73,68013438.87,71694328.11,59423705.82,60982183.50,22813666.68,23891833.33,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,63946003.42,144421239.42,145438028.49,220471606.63,350152495.87,343881873.58,207440351.26,283589441.68,356167608.33,0.0
80,负债合计,443412538.67,657381754.17,631565312.48,705261724.58,625916585.20,685692916.77,819110777.92,655670622.57,666981789.28,0.0
81,所有者权益,,,,,,,,,,
82,实收资本(或股本),282568577.00,211926377.00,211926377.00,211926377.00,211926377.00,211926377.00,162350000.00,162318115.82,156110520.00,0.0
