,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
30,在建工程,0,71218283.09,0,52016492.37,46778526.48,34972694.87,27283097.69,18175847.38,16528340.12,14639671.49,10652117.81,7436876.84,9266293.60,5789513.45,6433111.27,5245880.62,9677451.48,8672976.11,14840589.04,9450053.77,5816810.80,2821855.23,8776817.88,8211383.38,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),86231652.82,87629615.42,88999944.74,91894434.08,89115973.22,92416816.36,95054779.37,98821741.51,0,104472584.64,0,109609704.99,0,110880241.35,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,87629615.42,0,91894434.08,89115973.22,92416816.36,95054779.37,98821741.51,101938993.35,104472584.64,105980606.35,109609704.99,107434520.20,110880241.35,111285819.74,113224091.00,107071940.91,107148661.95,98136765.25,100916295.25,100433544.08,101406038.73,97036681.72,43579571.35,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22076.22,0,0,0,26348.06,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,47105313.52,47370393.67,26686677.52,26847187.96,27007698.40,27168208.84,27328719.28,27489229.72,27649740.16,27810250.60,27970761.04,28131271.48,28291781.92,28452292.36,28612802.80,28773313.24,28933823.68,29094334.12,29254844.56,29415355.00,29565200.67,19924326.51,20350515.27,20776704.03,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,537715.15,546530.14,555345.13,564160.12,572975.11,581790.10,590605.09,599420.08,608235.07,617050.06,625865.05,634680.04,643495.03,667310.02,692625.01,714940.00,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,646597.58,534672.53,527572.59,527572.59,504297.57,523401.74,539506.52,539506.52,577072.92,566048.61,582158.84,582158.84,695036.55,655496.31,526146.38,526146.38,645519.67,518114.81,427891.21,427891.21,464298.29,454827.07,372031.32,379827.00,0.0
44,其他非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,209777181.02,207299494.85,182113555.97,171849847.12,163979470.78,155662911.91,150796707.95,145625745.21,147302381.62,148105605.40,145811509.09,146394692.19,146331127.30,146444853.49,147550505.20,148484371.24,146328735.74,145434086.99,142682166.28,140209595.23,136279853.84,124607047.54,126562394.25,72947485.76,0.0
46,资产总计,699331104.02,703592712.34,694387792.32,663031717.81,628528401.20,607026618.07,643860557.29,612640114.37,582743633.18,548718204.95,575132003.14,543068356.29,514493351.72,494930635.16,496406495.79,470967159.12,477518988.22,447628106.20,326405227.27,328556815.71,294239022.94,303421562.26,228667696.24,153143023.50,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760301.30,30892609.85,36138632.29,22404077.27,33154716.96,33929848.19,35426030.47,15394074.70,32000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,9895959.19,11924218.42,18254171.08,18133888.29,13159699.39,17665166.21,19057880.49,18655644.30,0,13694255.44,0,15006866.13,0,24625696.13,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,430000.00,3598429.09,0,8405234.12,0,7766416.60,6430711.60,1043616.20,6579090.20,5000000.00,2800000.00,1567940.00,7695650.50,9326553.70,4176738.00,4548000.00,4548000.00,0,0,0,0,0,0,0,0.0
52,应付账款,9465959.19,8325789.33,0,9728654.17,0,9898749.61,12627168.89,17612028.10,16724378.08,8694255.44,15563737.57,13438926.13,10418370.68,15299142.43,11532907.79,13693233.99,9773511.24,7584372.80,12534616.32,9196142.49,7420950.41,17607445.89,17210449.99,14222876.64,0.0
53,预收款项,355582.71,156843.45,220490.65,225841.43,228384.35,78028.17,221958.72,106124.46,267919.98,355278.83,365927.92,179607.93,308639.02,353863.73,107450.00,433705.78,269433.35,152269.17,469592.02,607097.39,112397.72,186849.97,521954.64,541309.35,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
