,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1032174833.50,479334643.79,627852297.63,595235941.30,738735272.56,403473267.71,359135640.36,459738519.44,448970646.73,385629258.31,301987579.56,302384215.31,309863448.71,286955617.68,322995015.95,368450121.17,292261635.26,309418039.66,414730960.17,216591676.69,233811301.20,230620007.78,233575940.73,251457888.43,314719349.27,300656666.34,300011079.82,412926641.75,340748179.82,419441804.68,450081009.11,405042694.79,529742094.92,456094517.44,436170468.86,594816716.27,175613885.36,128856971.81,151569630.16,162550988.18,158862697.48,126777460.65,209397645.73,121761773.46,87423905.72,82995198.99,97685423.58,48781725.74,76583130.59,44387317.77,60009825.47,71103109.05,138700989.60,101759341.06,108844974.10,65217993.65,112558399.92,91231039.37,90507400.47,82910002.15,84754700.05,80034555.34,71181630.52,89062963.64,121220971.43,105575635.72,89766563.45,119010089.59,136509505.91,99650838.31,92725881.01,95665964.36,128097870.89,76824898.48,95822188.04,127652627.93,85724485.47,99809657.71,89931833.96,44821666.71,25842566.52,69891288.96,0,85942183.53,0,57816456.48,0,68267817.68,0,35360558.66,0,0,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21108683.10,0,30952029.81,0,75000000.00,0,0,0,0,0.0
4,衍生金融资产,5665520.00,9646020.00,1940640.00,0,16201804.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3445511412.84,3277352462.07,3040697683.86,2986388533.33,3194616733.97,3408105487.18,2893485862.51,2890419732.53,2641524330.70,0,2091350142.14,0,1981873254.46,0,1251560178.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,464067125.28,53978700.00,1344775.54,185538648.00,10801144.67,3872589.97,315023307.41,400338638.21,10603660.88,4203000.00,103552673.41,225510125.81,4818720.45,9249557.41,38109813.78,51226475.80,3022743.42,15753639.71,8327585.32,4360850.60,1037659.02,62323938.58,47703883.96,37152757.10,100761034.17,101745403.29,98687152.97,84502161.97,22391435.30,43293704.76,63449500.00,33655602.76,93320283.01,5111552.61,2042192.51,32029753.38,21531107.63,30399090.22,30367474.19,43885410.44,38129814.96,74912520.75,35692522.48,40730449.73,945125.04,1551651.92,1510621.53,5552128.55,3001352.00,3682000.00,8263996.05,5682887.73,7961000.00,6337100.00,6464148.40,6327641.10,2770000.00,3460000.00,1220000.00,5600000.00,2040100.00,982478.00,4265000.00,500000.00,745763.82,200000.00,0,1289579.78,-1500000.00,300000.00,0,0,0,0,0,500000.00,700000.00,0,800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,3445511412.84,2813285336.79,2986718983.86,2985043757.79,3009078085.97,3397304342.51,2889613272.54,2575396425.12,2241185692.49,2147251474.69,2087147142.14,1744990841.11,1756363128.65,1354449875.06,1242310621.11,1199631913.82,1307970518.53,984239282.47,902430000.65,792299010.70,910946191.13,686879588.33,647941984.18,542384237.40,644863139.31,377746033.58,421757655.32,292560150.96,382070853.14,286571573.01,273563981.55,208557598.84,205952552.54,200054775.19,258543361.04,179412253.24,145939195.75,135163778.70,139353027.88,125225980.95,122144747.28,136782038.13,128290337.40,149358557.90,130116775.52,185459373.37,198706179.12,196048018.21,152902501.56,137990367.47,129688388.36,100559840.55,101517910.12,109678609.00,109804736.44,135965340.94,87248302.40,101679055.03,106051434.31,124682507.90,85599478.24,119093418.23,118167913.86,110957044.44,76070488.56,121247931.93,101491038.07,104348379.03,78545207.87,120019004.00,121564165.49,158740602.95,120970879.31,122387380.69,106293429.57,82325779.68,130732522.16,113500193.53,78445171.02,74894804.35,33878687.91,31798041.56,0,28957862.96,0,33800198.90,0,23645884.54,0,29765489.29,52792264.48,0,0,0,0.0
8,应收款项融资,830372620.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,964633606.77,1309973192.70,1167086677.61,953737889.05,919383093.93,972459610.42,727451337.84,568995149.02,492839290.30,576097419.17,588041149.68,568471464.41,438239231.03,390277611.28,415669779.08,392160827.83,418435310.69,390330218.76,394686027.03,358481200.14,332960401.44,400861824.21,341754701.12,305779552.54,288436684.89,239250103.72,223721538.19,189272274.12,238374739.93,233442589.77,262890466.50,167961469.01,111732200.15,73557751.58,70676710.20,81655657.72,95072047.10,24114131.43,40502080.41,38916500.63,41244745.27,23374345.34,31819857.81,5276862.80,6274708.28,14597955.14,15015780.94,42415104.18,42024454.30,26281393.63,36077228.63,25854638.63,38773644.33,20135750.02,23153214.06,24051139.17,34424868.29,38173217.29,38075002.29,38909500.84,47607877.50,35396899.37,29093866.19,38408367.87,46444583.63,145142.29,39059805.27,27957710.62,28167365.62,688039.38,14144759.18,10724688.57,10795065.87,9494537.24,0,8704865.70,0,14369424.54,0,5485572.07,0,10753156.96,0,3891467.69,0,34883313.31,0,4592608.12,0,16249370.54,0,0,0,0,0.0
10,其他应收款(合计),44563735.00,34051620.99,36406771.57,44921803.54,43482024.68,29842163.07,22331065.06,32188489.01,23730120.49,0,25308656.79,0,45115813.52,0,70162838.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
