,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20161231,20160630,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,
2,货币资金,556323062.23,607259581.73,489165927.98,403091181.37,642525360.07,737754768.87,681273922.36,747642372.75,407401548.36,408606270.77,277352017.83,336864990.58,268035979.27,242202749.55,138594003.27,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,35307449.12,41209403.38,36907924.04,36674292.53,31318342.56,24557600.86,25082995.87,24403065.85,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,200000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,35307449.12,41209403.38,36907924.04,36474292.53,31318342.56,24557600.86,25082995.87,24403065.85,36379750.75,23324037.61,14036182.48,27114797.05,28537715.41,21783241.23,33629486.37,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,43041290.88,7138262.61,4595362.03,13351970.35,13724324.39,10097959.11,7380082.55,6131850.02,3958831.50,6540242.66,8638085.64,12787962.81,16983346.13,17135006.21,22499695.79,0.0
10,其他应收款(合计),27454392.98,10083774.38,14240154.72,12859500.92,7928720.64,7549268.28,18885193.72,13290298.02,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,10083774.38,0,12859500.92,7928720.64,7549268.28,18885193.72,13290298.02,21966593.98,8583201.91,8459133.76,25839194.49,59326629.60,6728879.21,10092581.40,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,82033262.74,62039377.89,72712270.49,88920515.66,57242096.20,49833515.09,62790932.85,71078079.91,72454055.57,54567467.97,75056150.90,53937715.03,86350297.57,108644750.82,121321837.43,0.0
16,划分为持有待售的资产,0,0,0,0,0,6360442.94,6458501.72,6458501.72,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,96698.15,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,13678687.80,9482437.31,3445448.45,2732075.27,3827185.14,5874777.90,0,3087413.98,0,0,0,0,10000000.00,0,0,0.0
21,流动资产合计,757838145.75,737212837.30,621067087.71,557629536.10,756566029.00,842028333.05,801871629.07,872091582.25,542257478.31,501621220.92,383541570.61,456544659.96,469233967.98,396494627.02,326137604.26,0.0
22,非流动资产,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,33720671.00,33720671.00,33720671.00,33720671.00,33720671.00,33720671.00,33720671.00,33720671.00,33720671.00,33720671.00,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,8442888.58,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),217565746.25,195422455.82,72043019.88,37670284.43,36688194.11,22971640.55,41043644.07,40475357.07,0,0,0,0,0,0,0,0.0
30,在建工程,0,195422455.82,0,37670284.43,36688194.11,22971640.55,41043644.07,40475357.07,33731926.70,34773218.78,32991482.70,34942122.92,34643616.19,29399661.15,35358578.33,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),927434783.52,897407329.08,903457115.92,939220755.53,699715215.05,710336432.11,662237001.01,625799144.70,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,897407329.08,0,939220755.53,699715215.05,710336432.11,662237001.01,625799144.70,622464430.85,632609456.79,649886647.22,658362137.00,616083647.40,588245655.54,534995400.21,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,277032670.40,252783200.00,271420593.74,270304000.00,193298600.00,188366654.95,181860148.51,175815804.71,145204394.00,128514902.38,126289066.55,109734133.10,133500341.20,103264031.57,79577735.65,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,44406042.41,50628613.49,52359820.81,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,73522259.60,73769345.83,74252697.39,74720414.54,20647457.06,20818549.08,21029746.80,20571548.22,19107228.56,18908504.96,18983266.83,19055654.01,18947731.40,14965859.63,14179302.57,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,58690507.80,58690507.80,58690507.80,58690507.80,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,4784499.59,5007868.51,5487822.07,8121802.02,4719364.03,4272761.52,1341682.51,1629589.78,1599255.59,1701894.00,1643755.31,1862065.49,2760801.65,1013101.17,2033604.52,0.0
43,递延所得税资产,6704902.66,7142825.14,6514091.31,7437269.96,6223677.47,6223677.47,3523729.85,4877752.80,815691.05,3955320.28,4108356.81,3855721.88,5222027.00,3775532.30,3399873.59,0.0
44,其他非流动资产,82767547.40,94270000.00,171672701.83,94270000.00,79909476.00,48153626.00,20670000.00,28736250.06,57506208.21,80991208.21,90423075.90,25350544.56,26670344.56,30609000.00,31594558.84,0.0
45,非流动资产合计,1692953430.63,1635166616.67,1615942841.75,1490479505.28,1074922654.72,1034864012.68,965426623.75,931626118.34,914149805.96,935175176.40,958046322.32,895325938.54,871549180.40,804993512.36,734859724.71,0.0
46,资产总计,2450791576.38,2372379453.97,2237009929.46,2048109041.38,1831488683.72,1876892345.73,1767298252.82,1803717700.59,1456407284.27,1436796397.32,1341587892.93,1351870598.50,1340783148.38,1201488139.38,1060997328.97,0.0
47,流动负债,,,,,,,,,,,,,,,,
48,短期借款,595000000.00,475000000.00,442000000.00,437000000.00,450000000.00,466000000.00,396000000.00,406000000.00,380000000.00,380000000.00,300000000.00,340000000.00,350000000.00,371500000.00,360000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,188410441.62,194846637.80,194530345.13,195492406.72,127475593.69,142863946.00,105519682.51,120877706.97,0,0,0,0,0,0,0,0.0
51,应付票据,19498748.00,58298777.92,0,30545185.82,0,0,0,19492581.98,19492581.98,28495094.28,4000000.00,0,18398174.62,40911681.80,0,0.0
52,应付账款,168911693.62,136547859.88,0,164947220.90,0,142863946.00,105519682.51,101385124.99,121256602.65,92701159.65,105355778.61,122006858.70,90309511.61,87648015.49,72411890.21,0.0
53,预收款项,0,0,0,0,7721813.84,6417398.68,8035577.45,24062136.66,5051928.60,4108151.99,20289629.93,8483892.99,20697314.72,28106645.74,17513959.37,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,2947870.15,2642235.26,2627344.76,3137339.49,2947346.70,3191960.48,3659361.11,6186062.94,4088966.29,4894039.41,6575435.59,2679672.41,4783068.39,2977640.21,2422203.61,0.0
56,应交税费,12823606.68,34351971.55,35561208.14,43114591.17,5856440.44,6019707.97,5126283.28,8674754.06,9425286.58,10154462.77,18888594.40,15896667.79,19118988.95,16765241.99,9408568.78,0.0
57,其他应付款(合计),63554523.47,78871427.37,44048146.25,41599096.36,14432943.36,39278881.88,16709766.45,21251742.31,0,0,0,0,0,0,0,0.0
58,应付利息,497805.56,528190.83,499585.53,367508.92,0,162868.04,402807.58,403694.71,401280.51,305455.50,431893.67,467131.28,383748.67,877692.39,907097.37,0.0
59,应付股利,0,12739120.00,0,0,0,13675820.00,0,0,0,10425100.00,0,10003600.00,0,0,0,0.0
60,其他应付款,0,65604116.54,0,41231587.44,14432943.36,25440193.84,16306958.87,20848047.60,16106765.40,20516374.02,18601046.60,20101454.11,20952254.29,19236472.84,20170273.29,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,26243811.14,28683977.24,34575741.25,33751973.50,5727136.71,15563180.42,16828352.32,20054483.87,0,5063763.97,6151330.20,6348397.09,9402953.17,13864903.39,7385577.59,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,895053904.75,827677730.87,765712070.61,780714577.75,614161274.74,679335075.43,551879023.12,607106886.81,558110187.77,576226710.98,487293709.00,532487674.37,540046014.42,586888293.85,496719570.22,0.0
67,非流动负债,,,,,,,,,,,,,,,,
68,长期借款,267023324.06,267586029.95,187469334.65,39559300.45,25733573.63,22267244.84,24793660.55,26559671.60,24500000.00,29634369.41,44500000.00,52000000.00,59500000.00,73500000.00,86500000.00,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,32340724.02,33378698.56,36471770.48,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,2360888.31,0,0,2814710.12,1394555.79,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,2360888.31,0,0,2814710.12,1394555.79,27046639.15,2375187.72,3303196.05,0,857057.17,5515507.11,8850412.46,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,487295.34,479185.63,470318.64,11403.51,0,0,55199.83,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,6048262.92,6131363.38,6214463.83,6297564.28,0,0,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,37781120.59,38763054.25,35364767.88,34758573.96,40625456.65,34975130.85,42358501.66,40991391.67,45844903.58,41008992.64,46256278.33,45433978.33,46052346.66,40170749.98,38921819.96,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,343680726.93,346338331.77,265990655.48,82987730.51,66359030.28,57242375.69,70022072.16,68945619.06,97391542.73,73018549.77,94059474.38,97433978.33,106409403.83,119186257.09,134272232.42,0.0
80,负债合计,1238734631.68,1174016062.64,1031702726.09,863702308.26,680520305.02,736577451.12,621901095.28,676052505.87,655501730.50,649245260.75,581353183.38,629921652.70,646455418.25,706074550.94,630991802.64,0.0
81,所有者权益,,,,,,,,,,,,,,,,
82,实收资本(或股本),190680600.00,190680600.00,187340000.00,187340000.00,187340000.00,187340000.00,187340000.00,187340000.00,140500000.00,140500000.00,140500000.00,140500000.00,140500000.00,105370000.00,105370000.00,0.0
83,资本公积,530942205.24,528700758.09,508790782.09,508790782.09,508790782.16,508790782.09,508790782.02,508790782.09,242972723.34,246127082.09,246127082.09,246127082.09,246127082.09,155590288.17,155590288.17,0.0
84,减：库存股,23250576.00,23250576.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
