,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,1150697091.00,670390512.00,995850752.00,770633448.00,987661510.00,755433430.00,593628727.00,587126751.00,827453107.00,1041632450.00,776634073.00,708511473.00,593145184.00,603407804.00,146418990.00,226447504.00,259672951.00,324688294.00,62745936.00,150734013.00,170297086.00,223122002.00,169765539.00,141404773.00,249825413.00,226323431.00,99099583.00,118558011.00,219037618.00,154633989.00,81254356.00,64799585.00,102254523.00,114447865.00,87444793.00,40275676.00,63834391.00,54543695.00,85710406.00,41375396.00,474525931.00,481668145.00,197155338.00,46467616.00,49642139.00,135251957.00,129833562.00,112038696.00,100689353.00,87131618.00,61629466.00,51157753.00,78706583.00,100516561.00,128503599.00,95975765.00,140898472.00,82668637.00,156526588.00,33146357.00,434291175.42,149544229.73,57543515.30,26977683.00,101228184.31,85146317.17,64645357.61,28897741.00,40291049.46,31652121.46,45936458.60,28531783.00,19660841.85,12540934.00,16192832.00,37079293.00,1789345.00,3899000.00,4025896.65,5001000.00,0,2135000.00,4536000.00,1141000.00,0.0
10,其他应收款(合计),1306620088.00,662620903.00,708631265.00,2454174971.00,724420493.00,741287661.00,820192620.00,818024132.00,0,1054979212.00,0,1028210989.00,0,647440721.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,199832235.00,173298920.00,153524757.00,140597317.00,0,127018762.00,97251941.00,89628559.00,102086542.00,89188241.00,101354581.00,125141573.00,95871850.00,107730119.00,102873613.00,194518278.00,251422668.00,241603019.00,289509584.00,275877747.00,304242276.00,211529571.00,78249771.00,109045546.00,96346279.00,82336282.00,39178603.00,30850933.00,37642050.00,46241459.00,67999851.00,105243519.00,86537208.00,80535776.00,57234109.00,57851997.00,50151702.00,30321304.00,38198522.00,36303904.00,24206069.00,18713672.00,6192252.00,6561758.00,4758428.00,1818092.00,467594.00,1516906.00,3315917.00,8856198.00,5514140.00,0,0,0,0,0,6894406.00,5024157.00,9542814.00,4632591.00,3089731.38,2471914.25,7266074.06,0,1793702.38,5429884.26,825550.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0.00,4367120.00,3711768.00,3711768.00,0,5950240.00,196070.00,0,0.00,10250449.00,0.00,0,0.00,6651480.00,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6698641.00,0,0,0,0,0,0,0,20723612.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,484954863.00,0,2309865886.00,724420493.00,608318659.00,722744609.00,728395573.00,819425747.00,955540522.00,870575850.00,903069416.00,677705782.00,533059122.00,908282661.00,593329847.00,535458917.00,603411448.00,596358914.00,720716550.00,686015242.00,573638739.00,660638348.00,618124736.00,824029886.00,743304125.00,765923647.00,459082392.00,1857399676.00,1790351375.00,1750219654.00,1735824884.00,149443189.00,138113585.00,134171235.00,333128771.00,154920871.00,134790823.00,123001025.00,106764069.00,45771391.00,66292696.00,57001921.00,91430944.00,155077730.00,139422141.00,214610971.00,80595468.00,83555950.00,63436866.00,195141385.00,180356253.00,296233569.00,317487864.00,418380393.00,330522944.00,185938174.00,243769247.00,263916120.00,244054338.00,296086218.06,198301644.02,200109644.14,267212776.00,327996546.31,328122113.07,252051350.92,353722869.00,217518550.86,247111014.91,217516911.44,149472471.00,233943303.04,205948581.00,234569945.00,135152905.00,99565715.36,106897000.00,94771065.49,54671000.00,0,96322000.00,89699000.00,95938000.00,0.0
14,买入返售金融资产,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,12276290821.00,14352489459.00,12802431291.00,11985398172.00,12178965256.00,10933542222.00,10661929415.00,8957719381.00,9363701031.00,9759164036.00,9262441237.00,7833138532.00,7833058021.00,7200449513.00,6388611021.00,6609406228.00,5969882176.00,5713761409.00,5036243739.00,4163304029.00,4043797340.00,3587133465.00,3793976626.00,3018804659.00,2805826602.00,2904438373.00,2886258773.00,2668906527.00,2830217937.00,2573854565.00,2411386287.00,2116218705.00,1849196851.00,2187471001.00,1427181550.00,1300479825.00,947819726.00,919742228.00,859949712.00,780639882.00,839318397.00,609923915.00,489215697.00,472233966.00,974151877.00,919328872.00,827268881.00,791698020.00,931617285.00,967617644.00,963885952.00,1266043525.00,1052427181.00,1815636671.00,2408432800.00,1919901660.00,1956847993.00,1389380724.00,939737902.00,1127066283.00,1578471503.89,1548957280.58,1416046150.55,1252507882.00,1052000707.12,969198456.03,775120926.46,560401754.00,561776324.65,460693226.71,450022649.83,262124348.00,354010197.49,324457794.00,225184310.00,174866383.00,112102824.89,96930000.00,92044991.50,89201000.00,0,85649000.00,63375000.00,48549000.00,0.0
16,划分为持有待售的资产,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0.00,0.00,0,0.00,0.00,25416682.00,17303152.00,29356094.00,28941602.00,40113951.00,66321715.00,63332886.00,25062419.00,0,0,0.00,0.00,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17960005.00,17960005.00,17960946.00,44030980.00,0,0,7258647.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4611412.00,9205617.00,11840455.00,17002721.00,11414807.00,37860134.00,33771625.00,13886272.00,12665274.00,19169922.67,4737751.52,6008173.83,11078380.00,11177926.25,6866364.89,8415970.73,4732714.00,6999727.20,5106577.24,5950579.35,3532879.00,1681975.33,2360602.00,2905613.00,867688.00,1458092.57,1773000.00,1791160.75,2167000.00,0,3603000.00,4781000.00,6093000.00,0.0
