,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,275088719.70,237815453.97,36971967.11,382463817.72,480754081.70,8784215.08,165884902.66,22384639.42,136917220.46,65043099.64,111859297.16,142927019.22,138462007.17,114394545.69,34527027.67,124157113.39,173847426.46,126547081.97,218400358.58,54026088.42,79659770.35,83792750.14,101990078.99,80219188.10,14538572.47,98099891.63,52905589.06,22477499.15,81633916.16,16139943.61,96277460.05,24455375.16,5670562.67,44152522.04,5327513.18,49704285.02,59729268.17,10830461.95,119996715.43,202828253.29,136836871.94,39702837.19,66901806.18,36992675.15,42104696.49,29892343.82,40243148.85,19923141.29,105068308.86,11399148.54,16890535.96,14136944.88,98520338.03,79705085.35,67708847.97,53978538.72,108292141.47,88629388.95,83588344.93,92808897.46,73941658.43,87838911.58,97784516.83,83684639.43,107520357.76,111298790.50,43442037.94,52542739.25,57753430.95,45109355.46,47667844.76,59013097.46,72140681.13,78344361.04,57653553.09,53669113.23,81408799.01,55578534.16,53448192.68,16994301.89,39506600.27,0,29921918.06,0,20863463.10,0,32688000.00,0,16805515.84,26677566.91,37910877.78,35497889.09,29383887.59,0,0.0
3,交易性金融资产,308510000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996804.81,0,0,0,4000250.00,1024875.02,2660269.46,4652859.18,2694050.00,2692833.59,2692833.59,4882036.73,2779230.00,0,1634387.48,21615000.00,1615000.00,13615000.00,23703000.00,22000000.00,15000000.00,0,20600000.00,0,32931496.27,0,0,0,151596.00,151596.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3623580.38,2564469.29,2611536.54,85109875.21,76008341.06,337787249.86,352827743.54,467189828.01,431528012.86,0,348541683.76,0,382768193.16,0,292374838.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,4236000.00,3870000.00,3439840.00,3604340.00,4687915.30,4200000.00,6700000.00,7800000.00,4200000.00,7600000.00,400000.00,1100000.00,2500000.00,1430000.00,1100000.00,1500000.00,200000.00,1200000.00,600000.00,1000000.00,800000.00,0,2619125.09,800450.00,0,0,400000.00,0,0,363744.00,1000000.00,0,0,200000.00,0,0,0,0,0,0,0,0,0,20000.00,0,0,0,0,0,0,0,50000.00,400000.00,460500.00,20750500.00,20370000.00,106535844.97,111312384.97,1335956.00,1970500.00,1558000.00,1998000.00,3331000.00,1055000.00,2439710.00,2355560.00,2300310.00,2700000.00,3168500.00,3273000.00,4600000.00,5840600.00,3664880.28,4525000.00,3453015.86,3973097.31,850000.00,1377000.00,0,1446846.23,0,2018549.11,0,0,0,2077318.30,369005.42,752000.00,0,1685842.00,0,0.0
7,应收账款,3623580.38,2564469.29,2611536.54,80873875.21,72138341.06,334347409.86,349223403.54,462501912.71,427328012.86,327979102.53,340741683.76,307250836.53,375168193.16,351936587.78,291274838.34,211566479.38,312130373.57,199066243.65,194696369.33,157821963.31,299912964.58,240223725.50,262276430.01,256552337.61,314853907.18,218633139.45,237918500.43,248943002.10,263748233.29,217061976.05,227839797.46,219106446.34,258100885.97,195518289.71,233387116.26,255739145.25,214247194.75,183272036.11,240221825.40,194347360.77,199015971.65,174507442.99,168557202.55,199098583.15,217713819.96,260084060.51,210057280.29,119791879.74,112265234.01,154614102.58,185107732.32,163533977.62,158319149.50,308631139.45,264113549.23,235501710.57,304808974.52,148267847.00,103559618.68,192036291.35,120363729.77,203629210.31,194865675.85,125040360.80,105342889.78,97978561.33,97093356.49,67595339.71,66370642.71,69692728.93,72868488.89,69845816.32,69239530.06,80380135.75,76203945.71,95026958.64,91172708.91,79559687.43,76784529.77,100211105.00,96847703.53,0,47816859.08,0,45144676.20,0,0,0,42623707.21,45104112.55,35600774.35,109491069.97,34825953.24,70955828.55,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
