,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070331,20061231,20051231,20041231,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,现金及存放中央银行款项,172806000000.00,182390000000.00,174720000000.00,214901000000.00,203456000000.00,196965000000.00,193623000000.00,184714000000.00,177419000000.00,179457000000.00,168888000000.00,166285000000.00,167076000000.00,160848000000.00,154452000000.00,153182000000.00,161699000000.00,169922000000.00,168219000000.00,188007000000.00,172743000000.00,172679000000.00,159473282000.00,170686723000.00,157046998000.00,151387437000.00,151853568000.00,146923009000.00,137681855000.00,136867666000.00,129120077000.00,125984465000.00,122313172000.00,117215783000.00,105127690000.00,104196879000.00,85832512000.00,82836376000.00,74381184000.00,68132832000.00,64935984000.00,59588775000.00,50425727000.00,49286815000.00,59554293000.00,52087459000.00,46949932000.00,45608121000.00,35936922000.00,25875709000.00,35459954000.00,25855036000.00,32015007000.00,14888340000.00,10904461353.55,8846195041.01,0.0
3,存放同业款项,44192000000.00,42744000000.00,46579000000.00,42356000000.00,48134000000.00,49040000000.00,63108000000.00,87200000000.00,118295000000.00,128588000000.00,180708000000.00,210935000000.00,284870000000.00,315085000000.00,315696000000.00,265953000000.00,236644000000.00,108364000000.00,103392000000.00,99626000000.00,100956000000.00,108178000000.00,107937138000.00,117840344000.00,76237572000.00,98830958000.00,58048905000.00,60889427000.00,61480598000.00,77251796000.00,81355257000.00,114193383000.00,61401362000.00,50245262000.00,40687687000.00,41436843000.00,47361937000.00,42522116000.00,18323531000.00,13810866000.00,7804496000.00,8219096000.00,9298226000.00,13928483000.00,10680738000.00,13956404000.00,9396228000.00,14177452000.00,8836150000.00,8733313000.00,10178035000.00,17176071000.00,10100862000.00,10366990000.00,6877947242.49,3437525482.41,0.0
4,拆出资金,55663000000.00,56871000000.00,70063000000.00,68787000000.00,63010000000.00,62925000000.00,53639000000.00,63406000000.00,56204000000.00,57220000000.00,64641000000.00,72380000000.00,93693000000.00,82506000000.00,86911000000.00,88953000000.00,69329000000.00,81376000000.00,81047000000.00,74505000000.00,86632000000.00,69320000000.00,57180033000.00,56388362000.00,50479996000.00,59130131000.00,64612155000.00,74099817000.00,103259902000.00,113032420000.00,122317072000.00,96732846000.00,42150176000.00,34408142000.00,17926245000.00,22556667000.00,48265373000.00,23593254000.00,11543421000.00,10721546000.00,18308945000.00,10017214000.00,17143272000.00,14977765000.00,15443128000.00,4145119000.00,14259345000.00,11508360000.00,4031571000.00,4199002000.00,5846777000.00,4619318000.00,2353114000.00,3296350000.00,3146377295.84,1067520937.29,0.0
5,贵金属,584000000.00,392000000.00,78000000.00,355000000.00,102000000.00,242000000.00,221000000.00,124000000.00,215000000.00,280000000.00,315000000.00,344000000.00,414000000.00,303000000.00,30000000.00,55000000.00,30000000.00,23000000.00,5000000.00,0,0,0,0,0,0,381697000.00,358323000.00,16671000.00,17999000.00,16048000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,交易性金融资产,143091000000.00,144591000000.00,140752000000.00,49156000000.00,38265000000.00,35887000000.00,45505000000.00,42911000000.00,33885000000.00,25656000000.00,37680000000.00,40952000000.00,22290000000.00,28939000000.00,29835000000.00,16522000000.00,17027000000.00,11877000000.00,12972000000.00,13360000000.00,12235000000.00,15468000000.00,9799361000.00,13221224000.00,10045293000.00,11846635000.00,5772989000.00,7040694000.00,8940150000.00,8154152000.00,5674265000.00,5360628000.00,5559547000.00,5763533000.00,11235161000.00,16717668000.00,12560951000.00,10794162000.00,11552874000.00,11515704000.00,14480407000.00,20222967000.00,24240100000.00,16811309000.00,13435408000.00,5729871000.00,6904015000.00,6254853000.00,6483202000.00,4854024000.00,6648736000.00,14852721000.00,6603935000.00,0,0,0,0.0
7,衍生金融工具资产,279000000.00,218000000.00,224000000.00,262000000.00,238000000.00,352000000.00,445000000.00,206000000.00,225000000.00,227000000.00,222000000.00,210000000.00,258000000.00,294000000.00,182000000.00,137000000.00,99000000.00,100000000.00,75000000.00,53000000.00,55000000.00,64000000.00,65799000.00,89884000.00,61130000.00,48177000.00,34758000.00,30317000.00,32507000.00,38081000.00,21545000.00,22225000.00,33199000.00,27460000.00,34498000.00,26598000.00,39073000.00,28562000.00,17595000.00,18615000.00,18892000.00,32609000.00,37820000.00,51716000.00,36961000.00,16547000.00,17462000.00,12831000.00,7674000.00,1776000.00,1609000.00,1048000.00,5889000.00,0,0,0,0.0
8,买入返售金融资产,45867000000.00,70505000000.00,65044000000.00,43001000000.00,40766000000.00,51302000000.00,35510000000.00,63072000000.00,49682000000.00,37930000000.00,47680000000.00,82643000000.00,70027000000.00,45473000000.00,77570000000.00,138722000000.00,152588000000.00,136495000000.00,94669000000.00,133179000000.00,140427000000.00,166550000000.00,149416464000.00,123747705000.00,91459398000.00,78446351000.00,92588674000.00,88487945000.00,109857940000.00,108440903000.00,46058925000.00,23228642000.00,62902378000.00,71320147000.00,46857327000.00,65114658000.00,18244388000.00,31472485000.00,12030631000.00,42746679000.00,17721971000.00,29184125000.00,30274820000.00,42704369000.00,32650362000.00,10754083000.00,25706567000.00,27895294000.00,20416565000.00,9424070000.00,10499247000.00,10024597000.00,7320500000.00,7341210000.00,7478211266.67,9831561000.00,0.0
