,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2244292530.14,2772728810.29,2591506347.92,2977421482.18,2871556202.92,2332218227.01,2277466919.75,2251060710.46,1791012349.46,1544347147.02,1474003350.62,1501858505.64,1595248273.35,1912584709.13,1781580886.49,1943709077.40,1895329046.98,1775991798.20,2003799042.40,2261280306.70,1895364142.44,1687137010.49,81754663.96,164055927.23,168684085.04,143213247.60,205595805.85,212983437.66,329520039.05,231526951.49,259663480.64,323680233.42,339191764.48,193505588.01,135482023.55,122012961.71,256434182.45,112017230.19,89948875.36,68068111.02,125532811.52,52279820.53,47267190.01,236577266.40,430135027.06,306159238.00,306809537.75,355057777.72,369192955.06,196146290.60,185515585.18,167502224.69,207374375.22,101681917.71,81795447.15,62724982.79,98701771.83,51781399.45,50679114.65,48976429.73,100229471.67,75882987.13,52450298.64,49548446.65,88979417.61,70151503.03,76275256.20,82051756.24,71093644.07,40240679.64,49602178.78,20546237.62,27066525.21,37033782.56,30449725.93,92814132.21,29327038.60,39569585.49,34869150.99,32340392.63,107440663.25,0,143633351.41,0,73170092.93,0,30052000.00,0,12101375.00,5213585.48,0.0
3,交易性金融资产,438307120.00,58152900.00,57327060.00,59254020.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500.00,0,1548680.00,6177099.97,8762000.00,8905000.00,7969000.00,7293000.00,8645000.00,8957000.00,9256000.00,8640000.00,9689162.50,9689162.50,9036000.00,9665000.00,9665000.00,0,9500000.00,10200000.00,6590000.00,6721800.00,16090000.00,0,0,0,9996764.58,49993058.20,30986948.39,0,0,3223748.20,0,5630884.37,0,13382000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,57509051.16,29224506.43,33492331.07,34695165.49,50628635.48,30847380.91,33373638.90,42630292.76,28982720.52,0,23541405.07,0,46754725.47,0,15024578.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,0,0,0,0,0,0,0,0,0,0,0,0,1990000.00,32249.00,1382249.00,600000.00,1100000.00,0,0,0,1410590.00,300000.00,0,0,0,0,0,82250.00,100000.00,100000.00,0,470000.00,0,220000.00,900000.00,1216348.00,0,100000.00,750000.00,180000.00,60865.00,100000.00,2326996.00,12573910.00,100000.00,0,0,0,0,0,0,0,0,0,1100000.00,0,0,0,0,0,0,0,0.0
7,应收账款,57509051.16,29224506.43,33492331.07,0,50628635.48,0,33373638.90,42630292.76,28982720.52,27863942.89,23541405.07,21811358.44,46754725.47,17179925.49,15024578.51,10030482.85,33899736.03,27585032.67,17808223.45,22577885.04,33251953.73,50211440.61,4668031.42,5472263.62,30378808.39,12224613.33,14017170.99,13860468.91,28016076.78,20523112.40,15010679.32,5526879.66,34681256.38,21218835.77,7192797.48,4907414.86,42834782.84,31484288.44,4395112.03,2599925.78,33089134.22,13014353.48,8622225.90,5812158.08,36097048.57,47966274.57,2979217.60,1118378.46,24492254.81,32044121.60,6419349.34,5791202.31,20273036.67,14601473.26,3127363.68,2277779.35,11182888.85,7453725.58,5864667.12,6001123.79,10923887.15,12367458.40,3482300.96,5805836.71,11781886.37,9020922.57,8070900.98,10370010.32,13273483.15,9665051.91,9154131.31,11836786.40,15226201.67,8512253.44,7936898.28,18690594.71,15732768.27,11485083.01,19050972.98,37669576.78,38287234.95,0,30256827.71,0,15216970.59,0,0,0,239269.34,529389.89,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
