,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20111231,20110630,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,885787992.20,1211957233.41,1167055920.34,1274375771.30,1180012262.00,1161724953.37,1395613786.49,1511825547.56,1374919589.03,1351881502.50,1332411045.07,1485319171.69,1316004866.45,1186342950.91,1260593975.18,1372980911.80,1264135390.49,1505377469.79,1605638692.83,1137833637.97,1030740566.41,1231245165.27,1724865055.24,1618414477.88,949662242.19,1155316686.06,1580622489.00,1667485951.72,1638009428.95,1750767420.87,355801278.08,502028842.30,859488752.36,202445463.82,294216201.99,0.0
3,交易性金融资产,482916288.00,482916288.00,370000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100.00,1206020.00,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,656574103.00,526017563.82,661759366.37,704242624.31,570235064.47,547495953.57,524584295.80,534446916.92,0,466993137.98,0,489149593.98,0,364720259.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,212579023.93,159272220.13,295749439.03,374163576.82,0,176750557.63,244557126.50,258383324.58,148051774.32,96828005.22,207245452.45,248653974.80,59178696.29,35339632.44,116523627.87,200606296.83,103086218.86,61569863.04,118693685.42,126185741.08,36337604.76,62004214.62,98706957.83,173144605.36,195442048.96,129434449.56,73028770.87,80719671.41,59099663.75,58911405.28,54811054.99,54281022.46,35936681.45,23378365.53,15820009.24,0.0
7,应收账款,443995079.07,366745343.69,366009927.34,330079047.49,0,370745395.94,280027169.30,276063592.34,381351601.22,370165132.76,307066977.53,240495619.18,350273993.21,329380627.26,226600679.26,214776249.39,343938175.75,382867980.53,341665933.70,327432429.50,267132985.87,202706856.75,144132337.54,144660524.07,183473019.37,221965012.58,202230442.61,135952280.94,161528071.15,156799508.85,102984682.01,105542604.72,99423039.68,92778920.32,63815004.36,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,46508816.81,30838761.22,36724747.99,15660156.25,37648146.75,32455063.98,36548433.41,12718445.36,34286464.54,28634918.14,37149854.28,23352887.02,20432719.72,25285155.55,18289052.47,10836184.38,26432227.35,19383008.93,51270291.70,13644443.50,49972585.87,77026426.96,64623541.69,19108302.30,34625046.96,35094179.08,33985999.12,24513769.07,43520478.56,39456781.00,79064798.44,88202658.10,142897675.29,90545486.67,19850421.86,0.0
10,其他应收款(合计),45547566.08,55415496.10,27936318.65,36020580.78,37600901.02,36644435.24,42337523.06,40592643.43,0,57432605.52,0,65950490.11,0,50445097.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7796850.89,7796850.89,0,0,0,0,0,28504.55,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,55415496.10,0,36020580.78,37600901.02,36644435.24,42337523.06,40592643.43,42280603.40,57432605.52,79317844.11,65950490.11,63292642.92,50445097.88,39751897.38,31258936.72,31455419.61,26232075.33,39649603.78,62833835.25,118323100.91,39566045.47,26499708.51,30522998.59,58285087.66,56957265.10,59284784.79,72602354.82,61109564.30,50069622.29,49119146.88,52732506.80,46528863.21,37081407.39,26135923.30,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,354437350.80,348825514.30,320546996.71,240019985.83,343628918.19,310132352.39,279216875.03,173765240.32,244771799.70,227363488.29,234609565.35,162594472.67,232534792.23,229639620.51,223298912.97,195666600.62,237032339.75,240223564.30,194648521.62,175514471.01,297039303.20,309858474.70,263460698.19,176524483.04,216929866.55,234681823.45,316554423.22,270484928.43,328276840.70,323960840.66,329303965.31,381545721.53,252158371.64,159870261.26,116387845.62,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,14285504.75,19376871.71,13644285.34,428606015.33,484111891.78,480260767.45,490766418.14,421490956.98,391309632.32,484413428.18,425559942.00,427114704.21,427311085.30,426870587.30,440059382.62,431016212.74,200431237.96,13192671.65,748758.87,503567769.16,500000000.00,350000000.00,20000000.00,120000000.00,400000000.00,400000000.00,0,0,0,0,343895.46,0,0,452051000.00,105000000.00,0.0
21,流动资产合计,2486057621.64,2675347728.56,2597667635.40,2698925133.80,2653237184.21,2568713526.00,2769067331.93,2694839750.57,2616971464.53,2616719080.61,2623360680.79,2653481319.68,2469028796.12,2283303671.85,2325117527.75,2457141392.48,2206511009.77,2248846633.57,2352315487.92,2347012327.47,2299546147.02,2272407183.77,2342288299.00,2282375391.24,2038417311.69,2233449415.83,2273503760.50,2259555807.28,2291544047.41,2379965578.95,971428821.17,1184333355.91,1436450483.63,1059385429.54,641225406.37,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,55007284.83,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,197107601.30,199744541.16,188207871.78,188509906.64,171543182.95,125353492.19,123896203.53,126756125.77,95370317.00,96733118.46,98155854.74,62031129.74,58924345.51,57914625.67,34560001.56,36397297.37,34592432.81,33658942.59,35571516.25,35822312.78,35793770.97,38809764.66,40443136.72,40775958.35,39805621.94,40154149.23,41088260.87,42519972.69,43009167.97,43610642.94,42564632.20,44479618.78,45767477.69,28224287.99,11057773.01,0.0
28,投资性房地产,35892448.89,36264083.08,28696885.45,31152459.12,43977599.29,28432400.88,29851733.52,20948032.18,19088975.90,19303857.26,30721779.20,21176446.08,6264965.39,6365556.50,6466147.61,6566738.72,6667329.83,6767920.94,6868512.05,6969103.16,6724747.91,6825339.02,6935876.24,7152556.65,6952380.52,6635304.41,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),677522690.47,688874214.16,776749322.38,742836293.13,613131781.85,538107187.76,442412760.47,353260170.53,0,229158860.86,0,165760929.13,0,227135474.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,688874214.16,0,742836293.13,613131781.85,538107187.76,442412760.47,353260170.53,261127065.55,229158860.86,188765912.14,165760929.13,258879744.68,227135474.59,429529045.36,399987123.23,321005006.88,264640178.91,225049780.21,209208814.33,229895099.92,221400578.78,478409047.18,417290820.66,1055912205.39,955885812.60,887044186.85,782612270.37,687050822.91,568738100.40,410755229.84,257701362.85,135056579.64,60337914.21,63461914.46,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),1936989280.84,1806359604.99,1689401246.62,1697153554.45,1625749515.60,1656377250.28,1669615973.91,1699191853.77,0,1593259623.58,0,1601304043.58,0,1505805790.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,1805172687.09,0,1696007976.86,1625749515.60,1656184655.29,1669423378.92,1698999540.77,1587769314.17,1593258817.24,1596535025.07,1601144220.06,1490258545.44,1505801111.02,1307406560.06,1288470687.31,1296264779.21,1310599680.03,1314402848.95,1307529993.73,1244693293.13,1245747259.47,985074492.11,974886827.79,288904286.40,291998371.95,295297604.76,301926798.80,279053953.33,284486097.45,290367296.77,290980514.09,294257507.92,214297777.78,150609039.07,0.0
34,固定资产清理,0,1186917.90,0,1145577.59,0,192594.99,192594.99,192313.00,0,806.34,155949.96,159823.52,860217.69,4679.90,4679.90,0,0,16205.00,0,0,0,6974020.49,8000000.43,8000000.43,0,0,0,0,0,0,0,240.66,0,2914.09,2098.00,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,233004899.85,231552023.50,233680470.29,236366357.30,210910682.52,210662679.63,212351014.04,209872708.95,211276813.75,213250689.68,213089390.23,214180807.65,215856522.07,217969779.39,218461230.31,218329522.33,219593573.98,220556140.66,221816511.52,215816953.68,215553151.09,201986140.83,210019204.68,210668541.07,228216365.92,229290729.09,231145323.67,232992549.32,234726553.14,236561065.10,239832212.27,243448556.34,247085823.07,253374717.92,154063179.39,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,5394862.38,3382894.88,3607093.64,3854875.79,3832548.38,3974560.88,3998751.87,4052990.97,8743334.79,7475638.27,8292040.33,9591349.59,5178726.11,4031838.23,2907356.51,1378562.11,1548987.19,1578611.01,1690203.54,1886091.41,1913388.60,2034981.13,2030457.91,2248166.19,2639037.97,2887840.76,2376859.55,2732587.67,3115591.11,3540356.99,3769859.42,4501832.30,5038789.55,2204025.71,20830.00,0.0
43,递延所得税资产,49401777.57,49649895.23,51831916.11,52791086.76,49751574.53,49312363.48,55970488.12,56498714.71,51616464.44,51716617.73,51818692.60,50661084.18,41281454.22,41134828.85,40510093.73,40397517.27,31484027.74,31252427.29,29390448.78,29894910.61,25403926.44,25314465.48,24304820.50,25582741.43,19787319.68,19811156.05,20234961.44,21177473.40,18792070.71,18774381.93,16480999.09,9470785.93,10527833.16,5262425.40,4063728.99,0.0
