,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,80359540.46,72942771.15,67830291.44,31395889.00,78254425.08,47719063.25,47260165.02,35235144.22,78764940.29,67673725.82,72456631.29,46863190.94,69673066.05,72027027.00,69480371.16,65051898.74,120055448.95,93940387.43,82708939.88,48981157.91,100079859.69,75556457.66,81760979.99,57469053.34,89235153.84,71495938.86,74524337.35,33823750.73,79842545.97,33510294.22,31837574.14,31318713.78,69664464.24,86599377.00,61351262.43,50175584.30,78333819.03,61802980.68,63039659.06,56055935.11,55540426.01,25614168.56,55751481.92,46358175.71,36601679.46,45668890.18,24682372.38,19459444.63,21180975.61,25785692.88,25185525.71,14887552.64,19536905.60,10133366.65,14410376.03,16145283.76,16935298.93,9599877.79,11653277.83,18698276.02,14126089.03,11890322.11,10720260.00,11536909.11,13144300.00,7295000.00,3206300.00,3996576.11,7679100.00,4378405.07,3845322.44,11785104.68,8234998.45,0.0
10,其他应收款(合计),68690739.52,69413798.42,99691371.26,32910275.12,76100436.42,38958676.22,78998024.28,36928910.94,0,79191580.27,0,37485926.83,0,67532643.40,0,0,0,0,0,15849601.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174858.32,193581.55,156135.81,146145.77,264965.54,48910.00,119987.56,13023.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322547.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,69413798.42,0,32910275.12,76100436.42,38958676.22,78998024.28,36928910.94,82657020.05,79191580.27,45595112.44,37485926.83,66028921.38,67532643.40,18548427.58,10965157.37,40940025.25,31482194.03,27654129.08,15849601.14,63992253.08,69072398.16,55822801.43,57000112.87,60883533.72,63153420.83,40148969.63,33888709.60,23685924.56,28689536.37,24567572.12,14852840.28,20421108.91,21145731.31,22673529.68,17415528.71,50589954.97,45054703.40,67014494.71,48986503.77,41264284.96,35226640.21,28205833.79,23594815.47,54452021.10,38243781.39,37730827.93,32969555.68,43835052.32,39894739.22,50846533.82,50660648.66,55865541.62,62272399.64,58440478.29,50798701.90,58808585.98,54880819.78,43732733.96,40294103.02,67655524.30,59352051.01,33969920.00,28504736.53,14945900.00,23901000.00,29637900.00,36743535.91,38714800.00,26707972.15,24148599.34,14480064.84,32566245.89,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,516300365.12,505914807.94,490984065.93,556844501.87,509119949.19,509591444.12,471492469.74,508640940.43,488580935.06,468514703.92,435780833.91,481758960.34,294434756.38,341060741.27,396979953.45,378668839.94,343336182.38,330624660.91,345092036.18,333305987.27,292073460.40,268855348.96,263292603.75,265638876.71,278628258.07,249484152.80,260667656.03,288517564.19,276840585.43,196568956.34,224928644.65,221842882.96,570216314.12,524241901.18,475257057.58,427887599.35,422921072.90,336938169.47,368511230.26,339918212.79,306706921.01,294594082.51,305297507.29,304343352.03,258390142.10,146549610.45,131064529.18,132177148.88,133567816.96,115146556.74,123987879.84,126569108.72,112027836.79,116386744.78,105780845.89,103911600.21,109345541.80,105118190.22,105332203.17,101731658.13,106434559.69,99277553.03,90778500.00,76051457.21,70436100.00,43273000.00,37265500.00,33475071.66,35666500.00,33893108.63,31666226.43,32475115.09,22826610.61,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248558.89,4845581.01,815695.74,1048306.76,875277.36,1809087.82,1411489.26,869846.99,818651.23,3673611.64,1134932.86,1224230.00,553956.98,5653500.00,4804000.00,4601700.00,357251.07,7151000.00,6339929.84,6168529.10,3520814.06,3856309.06,0.0
