,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,202094199.63,186231922.16,185023292.80,186074558.37,176675051.95,169765301.71,145018463.69,162534827.33,128473528.16,126471958.21,120021225.76,119227647.65,127944821.74,87734518.90,121048454.73,120508246.59,130170021.25,122297549.66,116503809.99,211698211.05,192356673.50,165935012.06,216793385.31,208628661.04,288758965.32,202437865.84,231393588.27,209555447.91,363355912.72,207180789.68,200341806.28,172942069.60,218520822.64,213817751.28,145881243.39,92973071.03,49787065.39,67922719.62,128898203.82,121398458.25,49496582.92,66488125.52,48829576.20,33888308.84,34891540.55,34582521.10,53577343.28,68617178.67,63196916.70,68145117.12,107078771.00,109294429.12,101366952.54,95407399.47,99043809.69,104451674.35,101498148.34,84909272.92,76733794.29,35328553.67,35474605.52,44268638.33,41416508.20,61538864.41,36332361.91,34869380.23,12278462.25,12725587.35,24331435.87,45429546.72,29016935.18,31142961.77,25191143.03,33413698.69,19480148.49,22361205.16,5581555.84,3799783.98,3591877.64,4149856.79,1017149.26,1013837.34,0,306485.66,0,6620586.63,0,2823365.82,0,7358706.58,0,0,0,0.0
10,其他应收款(合计),84380070.59,91848022.04,61244715.99,67015560.25,62563854.47,49482179.59,98222933.93,99283601.40,56595340.17,63640601.96,0,70205098.06,0,48808469.78,0,61923793.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,282020.55,1036541.10,0,0,0,0,5945063.41,8134657.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944111.07,2294755.52,663327.75,500888.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,11475000.00,0,0,0,0,0,0,0,0,0,64226.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000.00,0,0,0,0,0,0,0,0,0,0,0,0,4680000.00,4680000.00,0,0,0,0,0,198353.24,2340000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,80373022.04,0,66733539.70,0,49482179.59,98222933.93,99283601.40,56595340.17,57695538.55,78326320.14,70140871.98,64954812.91,48808469.78,66999626.42,61923793.71,71776282.30,67649763.66,70154830.04,79298120.26,80701330.28,52132444.90,59357435.34,56615414.49,56889204.29,39477295.95,65909288.04,47501154.02,64795382.84,53040257.13,59213582.77,55639367.04,46722086.77,44488052.86,51230138.84,44890195.55,41380528.28,44079280.01,45658030.81,34155311.17,29741233.94,20939387.04,26882826.25,24442507.70,23163844.14,23100296.48,31063315.01,30540902.50,18502894.12,16634847.44,24969296.18,31916645.30,36484735.46,29973247.92,25855657.47,27466350.99,28034930.98,28277459.50,44528240.91,41801295.50,65688871.66,51282569.67,71860428.21,51711539.49,59921746.51,61790532.12,82510987.97,60098813.55,96372176.64,108096747.30,154913737.22,168759415.40,215651821.58,167343454.69,151775671.92,151134166.07,212509034.00,168848029.53,168453469.21,159924431.70,113345921.72,144346920.42,0,140530785.84,0,111799065.99,0,82758937.60,0,41508852.96,0,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,1263476417.25,1168854337.03,1090731727.22,1036661443.83,1042977204.09,1117007240.91,1082441955.82,1154373372.75,1172799111.00,1102620734.51,1111875931.81,1088003959.31,1126068974.22,1099199376.02,1088282004.15,1035807509.06,1020453958.39,983915770.14,964755224.62,959968030.85,925211836.08,847479822.39,863876845.27,828596708.67,739756778.55,641649965.85,640081664.36,593451494.82,583527990.51,546497999.53,518130519.32,482657284.64,427283152.68,424422841.35,448712874.60,428331735.09,418570032.13,450214441.42,476313118.55,451875420.33,421351600.67,339323059.73,292830490.41,323227366.80,320301464.55,346075150.03,370462568.62,319611384.15,304113577.21,325407503.85,284772849.49,279179322.98,323166667.93,281210829.85,272650780.87,288306696.20,248123561.85,238911324.95,219468515.63,226347113.56,202213179.49,212617510.94,175437261.10,191907930.10,179253823.18,188001371.88,175016096.27,191045845.91,202302222.49,199333548.78,231144841.84,225789918.01,219335173.07,197570721.16,238477796.16,209088711.97,289891022.49,198610216.10,243313542.22,221021914.17,194522129.57,223866297.90,0,156521546.53,0,175467822.57,0,118895475.47,0,150757609.79,0,0,0,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,33729017.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,17582233.94,17497288.62,10486396.62,10143994.37,0,10869100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,20000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377292.87,0,0,865895.34,2317003.34,2771366.86,4176465.84,1963952.31,2243117.30,888494.72,2735888.85,917471.13,1029576.38,3086587.19,4091467.89,467230.71,1529145.40,1171210.33,2807878.74,1304587.14,8192558.06,2990292.11,843858.32,206797.83,3293169.90,1069695.12,7338852.73,4094615.17,2841719.98,935595.67,31671037.09,28868469.71,0,53586189.92,0,28409666.21,0,18935963.55,0,9904138.89,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5621.50,0,25070.93,0,0,0,1392723.83,1452135.50,0,6886218.00,0,0,0,0,0,-957303.14,0,0,0,0,0,0,0,0.0
20,其他流动资产,107210766.70,110786443.02,129773046.21,114323802.32,102332186.59,109664922.90,126318044.44,110156167.87,106336571.04,124263427.92,307511575.94,277715068.05,289600674.52,689748423.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
