,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130630,20130331,20121231,20120930,20111231,20110630,20101231,20100630,20091231,20090630,20081231,20080630,20071231,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,52914629831.41,51377643589.36,53751968936.98,57052749790.09,36237178969.50,39502861014.33,42790005032.83,42738063703.68,40039538427.43,51324208666.11,48695915445.57,52071150755.82,54209561942.59,54915304150.46,72050846717.60,77794539959.31,79147115688.62,94988947328.81,136494758186.86,69440809781.31,53056451125.94,34656562255.46,27553371608.11,22403289200.00,22776184388.22,23875552412.05,28128627100.00,29619530355.12,27139559371.67,30068539216.93,43066183227.99,41429035724.25,53757956328.92,61359106174.76,41578056361.60,36803922734.00,34366678686.01,51789231948.73,28924218758.75,0,10608980456.64,0,5960935162.33,0,2658053380.21,0,4081873350.89,0,2930353356.47,3248561146.97,3730948462.95,4121689024.55,5022378085.51,9321683680.87,0.0
3,其中：客户资金存款,46352426655.52,43636204861.64,47787906612.20,51595400403.83,30634681015.01,34197077751.16,37381826750.15,39728634403.07,34956365293.47,38287761468.65,42887798384.41,46272001680.80,49151750191.55,47089119629.54,63277031327.34,70755951088.99,72670717759.71,83933574473.81,120653168328.17,64554034676.90,45375593593.68,30629388953.40,23683393617.45,20394075600.00,20844459916.09,21253452382.36,23488040200.00,24767759604.66,21430124237.74,25916953875.42,33756316853.19,35680868040.63,46528962591.77,53102262208.26,31221233606.32,26386772945.42,26478789883.05,46778828916.85,27334052871.90,0,8767897290.37,0,4913330740.68,0,2403600577.62,0,3081215960.70,0,2644396716.08,2979379183.94,3493351766.33,3395357607.85,4356385104.40,6840792923.88,0.0
4,结算备付金,6792949934.99,7455663656.95,7390886895.29,7566594786.60,6089556885.03,5963409110.24,6189908927.45,5932101806.89,7427365616.24,7064956325.57,6340673486.08,6572651615.87,8351743291.25,6794547939.62,7345609852.80,8221560805.82,12694952205.83,12119032171.30,19032473512.51,9081150607.37,6200974479.56,3949396676.90,2794257931.17,4083446600.00,3246115824.40,2585387722.16,2865398500.00,1826784643.77,1884481678.17,2269560818.05,1774747071.35,3895662684.60,1695460405.71,3116634824.71,2079003997.75,1263790195.47,1740933142.35,2178811624.14,5893123419.73,0,1417617025.09,0,809531294.42,0,462207759.87,0,313829251.32,0,201908429.77,144575141.65,262718508.34,307769381.64,263866517.84,73002309.47,0.0
5,其中：客户备付金,4964700968.10,5357024313.92,5634008010.97,5953128073.43,4530903411.12,4747581467.24,5138508727.26,4811539001.16,6666725114.92,6455824055.91,5808142442.69,6086039762.05,7588873016.52,6339799143.56,6873620165.29,7792330584.75,12047900442.25,11410414602.16,18177014437.93,8637708708.64,5648732612.85,3632146536.22,2343657265.89,2921923600.00,2650499595.96,1913000939.23,2291891900.00,1540558198.78,1604367633.01,2025097698.56,1553524382.64,3771593677.19,1509285188.16,2963469075.37,2035290872.77,1077877072.74,1682825513.63,2074170321.11,3437782294.89,0,1218747648.88,0,761018741.09,0,122414421.23,0,212057072.23,0,125831294.34,122834698.36,203038997.58,82824116.18,186822403.10,73002309.47,0.0
6,融出资金,37708047436.61,34801483862.17,34394098371.26,36163152930.72,28963117104.20,31695746819.12,35128578719.90,38332938366.13,40144388273.90,39803656965.99,36488256291.66,38930030735.87,40154454324.03,38084462690.87,36293536764.86,37582647531.22,47304595493.25,42166261034.74,105995961974.83,78415030269.74,50022345756.16,25034909261.53,16490373023.48,16428968800.00,15735680792.23,10710524201.52,8589221700.00,3874874766.24,3184510032.82,2446203758.45,1575201101.66,845781650.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,交易性金融资产,62511569002.17,67392571131.95,74486636848.08,74462335253.06,65788101462.96,50236576340.96,45369880318.62,34720974592.37,32278598121.89,27660896680.01,24160626571.30,27168216493.99,32356279456.84,32895041509.30,43755842185.30,54406415284.59,47035832324.84,77126551578.80,28041284209.73,24057878827.30,15657508116.99,14751992171.29,9585082622.19,10611894200.00,13130681296.11,14169701488.98,10849880800.00,10981120925.15,11346480379.50,11096937656.62,11611373212.42,8523767172.84,6831987159.91,4924073013.15,3063512469.29,2303469852.46,4312178750.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,衍生金融资产,18933954.93,11161543.16,53509257.59,166559792.61,137942650.63,166784258.36,66036422.18,10425007.35,4868106.75,0,75181877.08,1837550.84,0,1126935.71,1528301.02,1932824.17,2069239.63,1492698.02,1034523.65,516266.73,1483814.50,0,483016.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2049570.00,52125922.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
