,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060630,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29688000000.00,0,0,0,0,47957000000.00,0,0,0,0,0.0
10,发放贷款及垫款,16805050000000.00,16660486000000.00,16315044000000.00,15932402000000.00,15458863000000.00,15263939000000.00,14934137000000.00,14568014000000.00,14233448000000.00,14095664000000.00,13865909000000.00,13572444000000.00,13056846000000.00,12914203000000.00,12677317000000.00,12345706000000.00,11933466000000.00,11880659000000.00,11642085000000.00,11319842000000.00,11026331000000.00,10853652000000.00,10646115000000.00,10372180000000.00,9922374000000.00,9644520000000.00,9437642000000.00,9264954000000.00,8803692000000.00,8637812000000.00,8424037000000.00,8158090000000.00,7788897000000.00,7599040000000.00,7334040000000.00,7063351000000.00,6790506000000.00,6571512000000.00,6354384000000.00,6062793000000.00,5728626000000.00,5580469000000.00,5436469000000.00,5208429000000.00,4571994000000.00,4420065000000.00,4355365000000.00,4133824000000.00,4073229000000.00,3935917000000.00,3915606000000.00,3696433000000.00,3631171000000.00,3461080000000.00,3289553000000.00,3707748000000.00,3402277000000.00,0,1072810000000.00,888793000000.00,686772000000.00,476596000000.00,406547000000.00,0.0
11,代理业务资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,可供出售金融资产,0,0,0,0,0,0,0,0,1496453000000.00,1566570000000.00,1632329000000.00,1761001000000.00,1742287000000.00,1712001000000.00,1607498000000.00,1558482000000.00,1444195000000.00,1388838000000.00,1438093000000.00,1260509000000.00,1188288000000.00,1157309000000.00,1128582000000.00,1062402000000.00,1000800000000.00,999922000000.00,1026407000000.00,986866000000.00,920939000000.00,903829000000.00,869836000000.00,875768000000.00,840105000000.00,824069000000.00,829832000000.00,824339000000.00,904795000000.00,955466000000.00,1027881000000.00,987291000000.00,949909000000.00,793669000000.00,648498000000.00,553175000000.00,537600000000.00,487003000000.00,589512000000.00,582927000000.00,531241000000.00,509383000000.00,517669000000.00,448420000000.00,504609000000.00,0,0,0,0,0,0,0,0,0,0,0.0
13,持有至到期投资,0,0,0,0,0,0,0,0,3542184000000.00,3319221000000.00,3090298000000.00,2985395000000.00,2973042000000.00,2937066000000.00,3133551000000.00,2945719000000.00,2870353000000.00,2815399000000.00,2646489000000.00,2544829000000.00,2566390000000.00,2593886000000.00,2621864000000.00,2599485000000.00,2624400000000.00,2658787000000.00,2674164000000.00,2638793000000.00,2576562000000.00,2560186000000.00,2525686000000.00,2500723000000.00,2424785000000.00,2399262000000.00,2274928000000.00,2286856000000.00,2312781000000.00,2279470000000.00,2075392000000.00,1460853000000.00,1496738000000.00,1410205000000.00,1273141000000.00,1278510000000.00,1314320000000.00,1328673000000.00,1348421000000.00,1343519000000.00,1330085000000.00,1346107000000.00,1406324000000.00,1384261000000.00,1228937000000.00,2652398000000.00,2300385000000.00,1222439000000.00,1034264000000.00,0,0,0,0,0,0,0.0
14,长期股权投资,32490000000.00,29821000000.00,29837000000.00,28122000000.00,29124000000.00,32055000000.00,31719000000.00,31980000000.00,32441000000.00,31006000000.00,32220000000.00,30830000000.00,30077000000.00,28101000000.00,26096000000.00,25213000000.00,24185000000.00,25590000000.00,27577000000.00,27408000000.00,28919000000.00,28860000000.00,30291000000.00,29899000000.00,28515000000.00,28534000000.00,28983000000.00,31074000000.00,33284000000.00,33246000000.00,32313000000.00,34409000000.00,32750000000.00,33180000000.00,38530000000.00,38643000000.00,40325000000.00,38880000000.00,36220000000.00,35900000000.00,36278000000.00,35670000000.00,33880000000.00,27408000000.00,28421000000.00,32066000000.00,32995000000.00,33133000000.00,172000000.00,41000000.00,125000000.00,121000000.00,127000000.00,7090000000.00,7069000000.00,9009000000.00,11452000000.00,0,0,0,0,0,0,0.0
15,应收投资款项,0,0,0,0,0,0,0,0,277129000000.00,296377000000.00,343822000000.00,409635000000.00,291370000000.00,327071000000.00,335503000000.00,342623000000.00,352143000000.00,369843000000.00,375282000000.00,367442000000.00,331731000000.00,343417000000.00,339002000000.00,330080000000.00,324488000000.00,349056000000.00,369542000000.00,369685000000.00,364715000000.00,447435000000.00,461022000000.00,449092000000.00,498804000000.00,477634000000.00,493341000000.00,503087000000.00,501706000000.00,498529000000.00,610276000000.00,1049052000000.00,1132379000000.00,1134031000000.00,1163169000000.00,1162769000000.00,1162769000000.00,1165408000000.00,1212167000000.00,1213273000000.00,1211767000000.00,1215258000000.00,1141038000000.00,1116034000000.00,1106163000000.00,0,0,0,0,0,0,0,0,0,0,0.0
16,固定资产合计,284616000000.00,287688000000.00,283790000000.00,287829000000.00,288606000000.00,275137000000.00,257047000000.00,240997000000.00,245687000000.00,241314000000.00,243468000000.00,243603000000.00,243619000000.00,230550000000.00,224447000000.00,221087000000.00,221502000000.00,211160000000.00,204713000000.00,194651000000.00,196238000000.00,175857000000.00,171910000000.00,164405000000.00,160704000000.00,144973000000.00,139977000000.00,135092000000.00,132879000000.00,121011000000.00,117969000000.00,115844000000.00,116300000000.00,106041000000.00,101408000000.00,98754000000.00,100839000000.00,92632000000.00,92044000000.00,92995000000.00,93319000000.00,82971000000.00,82467000000.00,83384000000.00,84948000000.00,77695000000.00,77292000000.00,78019000000.00,79146000000.00,76946000000.00,77713000000.00,83822000000.00,81537000000.00,108117000000.00,112641000000.00,79250000000.00,81438000000.00,80734000000.00,64616000000.00,73571000000.00,59385000000.00,44622000000.00,40022000000.00,0.0
17,无形资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034000000.00,0,0,0,0,0,0,0,0,0,0.0
18,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
