,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20161231,20151231,20141231,20131231,19700101
44,其他非流动资产,145538660.32,114832879.93,107912300.16,72733878.85,39652792.28,22206509.81,5138000.00,20704100.31,0,7853015.89,2706901.91,188200.00,1246200.00,3654660.00,0.0
45,非流动资产合计,1232914974.94,1107275159.85,1044137071.39,983989664.40,946477603.12,915193695.53,850928677.09,803359212.54,697311651.14,697428959.02,609965550.67,431042026.05,324088992.60,334752010.21,0.0
46,资产总计,2747009290.51,2521843393.68,2446086464.26,2424602384.47,2262903329.98,1811669235.33,1720907072.98,1658236847.81,1530334831.81,1244562129.53,1091865354.83,754131065.54,656538832.96,704492371.61,0.0
47,流动负债,,,,,,,,,,,,,,,
48,短期借款,400028724.71,794484345.10,755626374.10,771049981.03,659017149.80,318651915.80,276376701.99,217547858.87,197400607.62,354094401.23,323255460.93,153787280.80,269884625.00,218943902.55,0.0
49,交易性金融负债,0,0,0,407000.00,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,218456630.49,189750342.59,179365209.69,217073810.85,233697193.33,208877902.20,208099779.24,223050796.73,191611555.24,232530917.07,211043993.30,141510200.07,162048825.81,0,0.0
51,应付票据,65182483.09,44138830.04,0,62659632.91,0,56052451.24,60425264.49,53943950.29,46605516.46,52323417.12,57276814.29,34308895.15,55349816.33,27864272.08,0.0
52,应付账款,153274147.40,145611512.55,0,154414177.94,0,152825450.96,147674514.75,169106846.44,145006038.78,180207499.95,153767179.01,107201304.92,106699009.48,145418100.43,0.0
53,预收款项,18793373.83,19216424.19,21142348.37,25061001.72,21707095.01,19800688.85,17578933.18,15772528.75,16181593.39,15953132.87,10806222.46,6068750.02,6064837.52,4948220.74,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,18764557.35,17257744.39,18526924.31,22956737.28,21019752.11,15123437.28,16063028.29,21200596.83,12687584.88,13407124.92,17884530.60,11163508.56,8679489.95,6888414.94,0.0
56,应交税费,14261934.81,6025964.52,4763697.78,4658476.39,12538997.78,7960128.35,11371389.00,10952249.89,14051395.58,6943913.69,3928298.33,3027082.45,4836314.15,965033.13,0.0
57,其他应付款(合计),48084803.10,48743338.59,43824256.98,31669393.59,45273701.46,35759091.39,36034675.35,38092851.86,3801555.77,14690313.42,15048290.42,17168145.27,17805501.99,0,0.0
58,应付利息,2309467.40,3414630.54,2350116.82,1373114.12,0,926422.54,412672.67,330695.22,211596.33,811494.79,1451646.52,719838.18,1093107.42,672920.34,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0,0,6591678.71,6591678.71,766168.27,0.0
60,其他应付款,0,45328708.05,0,30296279.47,45273701.46,34832668.85,35622002.68,37762156.64,3589959.44,13878818.63,13596643.90,9856628.38,10120715.86,150203079.15,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,718390024.29,1075478159.38,1023248811.23,1072876400.86,993253889.49,606173163.87,565524507.05,526616882.93,435734292.48,637619803.20,581966796.04,332724967.17,469319594.42,556670111.63,0.0
67,非流动负债,,,,,,,,,,,,,,,
68,长期借款,117034372.66,87409753.81,80007236.12,43706364.44,34123806.63,33155948.08,31825348.26,33402329.16,34257625.87,35297996.16,0,0,17000000.00,0,0.0
69,应付债券,424518672.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,11869530.28,11232185.44,11869530.28,11869530.28,8724865.88,9946850.36,10149175.22,10149175.22,7408377.18,8149214.90,7494073.20,6215166.31,1843471.15,0,0.0
77,长期递延收益,32219240.30,29319798.69,23098390.36,23069827.86,15536829.40,13807524.96,1346562.46,557999.96,573499.97,588999.98,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,585641815.39,127961737.94,114975156.76,78645722.58,58385501.91,56910323.40,43321085.94,44109504.34,42239503.02,44036211.04,7494073.20,6215166.31,18843471.15,0.00,0.0
80,负债合计,1304031839.68,1203439897.32,1138223967.99,1151522123.44,1051639391.40,663083487.27,608845592.99,570726387.27,477973795.50,681656014.24,589460869.24,338940133.48,488163065.57,556670111.63,0.0
81,所有者权益,,,,,,,,,,,,,,,
82,实收资本(或股本),198299014.00,198413614.00,198220614.00,196418614.00,196468614.00,196468614.00,98234307.00,98234307.00,97239307.00,72929480.00,72929480.00,72929480.00,58314614.00,58314614.00,0.0
83,资本公积,637306790.25,636489476.25,632075096.25,617872676.25,617133352.08,614303704.25,708727093.37,706679011.25,682048630.40,267660656.79,261036651.71,261036651.71,92637482.82,95856424.64,0.0
84,减：库存股,29405454.00,30707640.00,29055560.00,13630440.00,23452150.00,23452150.00,23452150.00,23452150.00,0,0,0,0,0,0,0.0
85,其他综合收益,5880044.47,3864521.02,3520433.61,3161666.86,2428601.40,2240393.95,1429904.81,1398843.38,1907025.81,1946534.62,956541.83,5505.30,-1434086.53,-1181360.35,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,7727764.31,7727764.31,7727764.31,7727764.31,5127852.13,5127852.13,5127852.13,5127852.13,3856239.97,3856239.97,3856239.97,1194924.39,1980767.88,1194924.39,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,557560124.89,502615760.78,495374148.10,461529979.61,413557668.97,353897333.73,321994472.68,299522596.78,267309833.13,216513203.91,163625572.08,80024370.66,16876989.22,-8062305.58,0.0
90,归属于母公司股东权益合计,1418476518.09,1318403496.36,1307862496.27,1273080261.03,1211263938.58,1148585748.06,1112061479.99,1087510460.54,1052361036.31,562906115.29,502404485.59,415190932.06,168375767.39,146122297.10,0.0
91,少数股东权益,24500932.74,0,0,0,0,0,0,0,0,0,0,0,0,1699962.88,0.0
92,所有者权益(或股东权益)合计,1442977450.83,1318403496.36,1307862496.27,1273080261.03,1211263938.58,1148585748.06,1112061479.99,1087510460.54,1052361036.31,562906115.29,502404485.59,415190932.06,168375767.39,147822259.98,0.0
93,负债和所有者权益(或股东权益)总计,2747009290.51,2521843393.68,2446086464.26,2424602384.47,2262903329.98,1811669235.33,1720907072.98,1658236847.81,1530334831.81,1244562129.53,1091865354.83,754131065.54,656538832.96,704492371.61,0.0
