,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,475184392.05,583485228.15,536534639.24,460752008.92,569390109.81,530198647.76,652329012.64,1352553355.31,1173227305.55,1265802929.94,1795983666.43,1842088341.56,711903718.13,666196148.02,710772153.04,1822183041.65,1594754818.17,1926723690.25,3043487280.97,635064287.05,192863022.51,167819803.22,202637879.45,204117673.11,177893547.64,180721443.20,242025126.27,247829702.24,173124886.75,227202159.01,222746060.40,321562002.10,408719144.59,375091648.50,164040774.16,226974327.57,335520745.14,154082929.53,238558507.12,321950289.77,259418575.87,271075361.89,262524249.97,330962369.29,255691154.81,303844921.25,302903992.86,348469093.47,356816942.83,316439186.40,297883526.57,350111188.57,322093321.85,375714578.18,285804590.19,347057809.89,260252743.48,228750163.79,247972614.23,280138384.20,206778864.61,233861698.11,200542875.68,273995680.67,289665541.06,271525805.15,215453476.03,282954468.46,238751321.27,365177065.56,242620238.98,295084022.67,396544835.81,168770572.46,112387795.65,144428977.16,143778015.03,186100297.86,83259731.10,96349400.13,0,73075456.09,0,34735730.42,0,20929000.00,0,26865852.79,20684286.49,1461268.96,21878815.14,914711.11,718473.39,1134185.38,707723.69,0.0
3,交易性金融资产,23910000.00,5200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800546.19,750884.52,719101.05,753864.22,708175.48,10676121.35,779000.00,852000.00,948537.98,957477.08,875000.00,3472080.00,2308724.75,1058404.75,6378680.00,12694850.00,9411595.72,17400229.11,23130383.45,28428500.00,35921400.00,32571855.49,14345704.62,31792500.00,28302600.00,11032613.36,29011716.38,24988054.35,25132731.31,22076297.43,24226989.77,28109526.86,33186489.12,28421905.53,18832000.00,19318715.58,12741073.93,7667818.99,13514643.82,19461736.83,25765946.64,24704900.00,24915256.07,27708431.51,27045601.67,27045601.67,10764101.08,2400400.00,5455101.12,0,0,0,0,0,0,69174446.78,0,79814062.06,0,81392000.00,0,29062634.70,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,541031224.80,572942300.91,564349416.37,652594579.29,650634759.31,582929064.57,615229455.45,700838898.89,0,2496837974.97,2491627413.67,1037505239.25,0,2381911186.42,2122275917.07,1764324630.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,11321415.64,12235144.88,17189113.52,22349767.59,16573682.21,6871728.30,7284267.30,6393193.11,315440101.80,318342215.40,215512718.58,51362003.10,27276401.00,24066401.00,5041281.00,13828407.68,16677535.90,1354909.95,642000.00,9072143.86,138567059.76,75068641.16,58923751.37,77803765.48,68566427.36,82000605.50,64666302.16,86555843.35,61041378.20,56695178.13,45157732.71,77038278.12,54207842.93,48398716.27,48649024.59,47365845.97,47045985.83,55990452.55,55495226.14,42480723.15,45194282.27,42583221.32,41666419.23,39941737.39,53948794.95,40857876.28,42955816.25,37360129.14,23097152.15,30949224.78,22245018.05,51209739.70,22290880.91,22250270.34,25997203.22,40083949.84,21269273.73,32857089.78,39114572.40,53354897.38,25214903.57,27040129.04,22482702.42,31574886.22,20051994.40,25942985.94,16872392.19,22441336.44,16144161.65,13953720.83,7613664.50,8178049.24,4737402.51,5781199.60,1865604.84,9060355.99,3664900.30,2378335.99,4152176.73,2165299.00,0,132970.50,0,1838895.92,0,0,0,1496236.50,1004180.85,736608.80,0,0,0,0,0,0.0
7,应收账款,529709809.16,560707156.03,547160302.85,630244811.70,634061077.10,576057336.27,607945188.15,694445705.78,2224305982.41,2178495759.57,2276114695.09,986143236.15,2737862213.73,2357844785.42,2117234636.07,1750496222.73,1314039755.19,1187819296.51,1032719113.97,972500434.25,449139804.87,494916996.40,445342419.24,428057158.57,453627740.94,467078419.78,428735047.92,391258254.47,457815069.62,474090753.83,463887804.52,393444730.20,288530622.88,301781537.58,293183436.02,248229501.52,298272257.13,288340744.92,265830581.34,240296692.84,312398459.13,308523069.36,267747090.62,269167986.60,352445832.51,358839043.02,346274419.23,317647518.56,437728728.45,437665299.42,404280883.04,357446465.50,471308153.48,436768182.42,416713195.69,384565609.80,432033828.47,415511803.16,392139393.79,298538592.69,340726859.70,324719789.56,312513283.73,302294816.50,306693368.56,305747468.90,308013132.09,290326444.25,292519640.81,284437551.53,282703531.53,241628187.02,244378748.19,225411001.73,353005632.32,302977573.24,291501579.05,241562154.74,273100683.22,212356378.88,0,184847758.16,0,127179308.98,0,0,0,50662070.16,42888594.87,35254479.21,45431512.31,49072431.89,30557153.55,22656301.99,24156522.18,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
