,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1769820892.23,1862478069.55,1813590599.55,1901704251.41,2299291349.28,1933594077.03,1505691613.38,1625207463.83,1624754074.91,1458135383.45,1200079484.94,1316126513.19,2199378580.42,1199716268.59,1507868515.75,1321101780.28,1982895108.33,1123980228.87,705426742.50,1184093773.20,800958476.80,565288156.70,650220083.99,816602888.45,746790772.49,610546565.50,526318570.07,729612480.94,556626591.82,515633729.74,608836198.64,559886110.30,311119371.33,354724896.19,303235024.05,377509743.22,259375944.39,330317759.37,223641681.81,177440547.94,286320163.61,305544711.19,350631625.12,274275148.59,278255205.13,254377196.26,181389487.56,268993472.36,288407120.26,228156038.38,197108092.99,258527413.75,237118938.38,303327704.30,247690657.08,237898713.49,267003253.31,311071583.81,284868756.38,284849084.85,233194675.39,195646741.01,181941455.81,212020123.36,79159877.85,72031500.56,95924310.69,94873536.22,117582175.33,74348793.84,0,70225822.79,44454454.15,22861282.74,142369693.27,225237288.67,4196084.27,10327959.68,8685817.60,6776528.96,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793000.00,290900.00,0,85696500.00,6054860.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43000.00,0,0,0,88860.00,0,0,0,0,0,0,0,850770.00,0,0,0,510000.00,1410000.00,2610000.00,3810000.00,1385666.68,3783333.34,3728500.00,4891500.00,0,0,200000.00,200000.00,198000.00,198000.00,198000.00,198000.00,30200000.00,30000000.00,0,0,55000000.00,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,6500863759.28,6432172722.35,6808682512.57,7130725618.89,6874119416.55,7002620971.51,7714865123.37,7506553468.05,0,4822689163.35,0,4036500304.04,0,5996668228.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,73008012.97,92927970.01,134729619.85,0,719659416.02,844132480.40,1101634078.88,927963540.60,164552310.14,181294056.94,48067902.51,319200.00,19493303.00,94438591.76,19812892.14,16839600.00,28539142.00,63007295.95,47020375.90,14962159.00,84941600.22,133237696.32,129202171.22,209466137.80,74264954.03,124581850.70,105134816.00,148367459.11,26259161.66,29505031.73,24884486.38,45012338.78,6997447.65,23333254.48,9826592.87,29329506.00,29631222.39,34166816.00,38629502.48,49064836.44,15523900.09,10532912.78,2441593.50,18120000.00,18575980.00,9057880.00,6819779.39,7382794.59,2548160.00,28791094.50,29466700.00,23912000.00,1709010.00,2024600.00,19742939.99,19343987.03,49070800.00,50581433.34,42468670.20,50733250.00,38782840.00,41831300.00,81061100.00,79977000.00,44998500.00,62986313.16,45967412.16,51437913.16,1466000.00,19625796.00,0,2029000.00,0,0,0,0,0,0,200000.00,3183750.00,0.0
7,应收账款,6427855746.31,6339244752.34,6673952892.72,7130725618.89,6154460000.53,6158488491.11,6613231044.49,6578589927.45,5541565555.10,4641395106.41,4279587871.81,4036181104.04,6700020969.81,5902229637.13,4250145662.98,3549997104.31,1950580088.38,1676247965.59,1363423835.15,952108233.92,1591944216.43,1250837096.64,889818885.48,650089242.91,1253456778.87,1183230441.97,954545569.55,698485652.94,715409585.33,822322420.00,802688850.80,696493068.15,654060480.56,572076743.65,565107630.84,401720471.12,376498179.51,341715395.23,291771903.27,294538436.19,370276560.07,243108986.41,250093146.90,289905222.73,266837241.85,212841269.26,185199711.20,192800432.94,185349893.42,140794974.48,168187448.13,152252830.78,220645238.53,189079669.98,189785540.93,169049779.98,176896171.14,164434973.45,161129512.04,169692801.47,167726270.86,155269868.89,118353539.87,118848810.41,154390237.99,125263897.89,128488531.88,114814429.30,173137023.00,174565817.41,0,121448672.20,160792030.47,182879769.15,190960357.37,176493441.36,84322526.23,82496478.18,59959365.47,45798269.13,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
