,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,138379800.10,430689409.61,138065524.84,113376773.82,120181442.89,293268069.36,1024213762.34,500436966.88,912843489.70,382711901.44,85382747.88,85029876.68,67598789.02,208170541.47,174617724.95,108767004.24,108236943.90,147411455.28,136033295.38,116668597.23,128625359.78,167600945.34,165823877.97,89540360.80,91018812.99,173594989.13,163972326.82,159735271.89,148283887.61,148212551.27,152107124.73,73942145.83,76803784.89,65058695.39,61654998.64,58690918.67,53898082.24,61708254.44,12406780.15,25033218.36,44285760.93,48783304.74,41501405.97,37211357.72,28251517.83,48733611.60,37851991.90,24268215.04,24141033.43,30149645.65,48274046.65,54181542.65,58655036.09,71266791.44,89453732.13,70612615.37,65636443.97,87482127.07,70265691.29,66715128.13,27510465.12,13551973.18,16516232.00,19417056.31,13192196.21,0,59943226.15,46773951.67,47088534.20,46695202.86,8165664.08,0,1430819.00,4306186.78,3519002.36,3687090.96,3983118.06,1145936.76,5721103.19,5747678.81,59277150.26,0,83316348.41,0,80689872.80,0,79625718.81,0,51664304.28,2262497.75,742721.26,1176520.53,0.0
10,其他应收款(合计),19220097.34,65460014.32,44773393.44,15756505.97,18256513.93,88438332.04,86978080.57,84246078.58,75722139.87,0,303215939.18,0,353840942.84,0,228312900.48,0,0,0,0,0,0,272394590.93,0,0,0,313960317.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,3927438.90,483694.45,3199806.95,2133849.72,2400877.51,0,2486224.44,2558004.44,2657591.11,1344210.00,2710880.79,2710880.79,2710880.79,2710880.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,1190015.00,1190015.00,260015.00,260015.00,260015.00,3235015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,260015.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24565287.48,0,0.0
13,其他应收款,15292658.44,0,41573586.49,0,15855636.42,88438332.04,84491856.13,81688074.14,73064548.76,387323095.97,300245043.39,318036622.50,350870047.05,237259111.84,228052885.48,257282766.24,256036391.03,276918024.71,261993360.85,250521722.27,238352004.55,271204575.93,274024371.58,308036553.77,287625206.34,313700302.41,319805498.42,304890518.38,314281649.69,302946150.24,252922380.41,344881841.38,305101592.12,299398164.10,321668389.71,295512040.71,258266331.45,317271244.57,282249356.46,322477557.46,189594736.47,35987853.32,186263316.22,37060402.61,33822326.10,97097391.45,91042242.83,94571754.61,95953771.19,93151356.09,89624818.41,45769712.53,43253569.07,45187890.04,46832523.71,49436337.10,47352493.99,61782426.02,58601132.02,60500196.86,56537701.60,62135890.31,65772027.63,67023563.31,73978667.39,0,58149598.99,57848173.30,58077884.70,71403276.80,106516840.29,0,80273197.90,68419754.39,68153108.28,199463353.11,191611955.32,241818351.19,245086967.55,241721573.61,123862601.46,0,68521968.89,0,127685999.31,0,90245685.61,0,42961247.19,38841949.44,21016661.94,10813934.57,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,1412755661.65,992709551.35,1099248108.72,1240776747.17,1224186963.07,1412314191.90,1620402879.95,969712592.48,1393958764.07,942254413.97,158016371.89,113680381.94,297867807.05,693760735.17,642409074.77,573148670.00,531145489.05,483271424.89,439605383.59,407348059.84,386635994.05,292718620.97,274697883.46,249248993.61,118546684.93,111169943.97,111776232.18,108513934.85,109749172.81,108978036.82,107822162.83,111201192.66,118087721.51,121777671.79,123097218.30,134355213.73,154866011.08,168881585.43,179724687.76,356558350.85,538999748.54,566000811.89,544340892.20,503348900.08,454982865.16,382695962.75,346840992.25,308927124.41,286795984.18,253495372.94,286875691.30,299226352.15,330041268.60,316026605.73,544609369.98,500750343.46,458056633.88,359059479.05,337857036.46,325916501.07,323362589.09,307949538.11,274857767.84,268164748.19,261728457.42,0,235935285.72,233526187.90,233930043.70,273861086.42,288303588.50,0,273831686.69,279783054.39,299978303.44,309419987.23,310024750.40,324260640.41,344384185.74,442851122.61,469246587.52,0,510782452.05,0,461630227.22,0,389669938.00,0,421690680.58,115124279.14,8705539.11,1254263.65,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,21000000.00,26000000.00,73000000.00,51000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751025.63,14418685.29,8196152.00,6801030.80,21600.00,27225.00,0,27225.00,35426.17,111471.87,65810.93,129871.87,0,136710.39,36689.98,66052.01,61408.39,278804.98,0,241609.07,0,0,1500.00,0,9000.00,0,35870.00,16968.00,0,0,0,10764.89,0,1030904.05,0,61700.02,7000.00,0,2770.80,0.0
