,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,144256046.76,58550578.65,108445004.85,90829437.40,82809804.46,87146547.81,144145677.91,73400040.44,116701442.75,67149797.76,207049483.53,240899115.04,247989619.61,359006892.42,367007399.52,348263629.75,101054472.27,39961062.95,359160862.27,520527384.31,175164077.31,259540636.22,97611790.29,211446133.53,114518353.24,147327360.36,167807830.61,219043563.21,257803836.93,221221120.83,343849218.30,233592980.20,233580043.53,199006439.68,203065068.84,200535938.77,335801774.77,249789313.19,246002965.48,413146000.59,391166510.63,379851198.02,341944037.49,584704978.61,317004208.69,321745558.49,333592360.21,203871068.12,200286043.13,219625501.78,254589899.70,229833504.24,250843412.21,220120816.21,240462202.79,257501180.15,244301085.02,256625031.64,266536610.70,309198906.06,343806260.08,359360809.26,398967737.78,0,78657513.57,121254799.15,141647674.11,0.0
3,交易性金融资产,332166733.98,344268581.19,336566301.19,358555301.19,0,0,0,89996000.00,63997000.00,54997000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120550.00,0,86660.00,74940.00,52500.00,78785.00,63675.00,44575.00,54430.00,54430.00,0,0,0,0,0,0,0,2972.91,1764752.91,1767772.91,1645036.39,1645036.39,1896095.09,1896095.09,2013728.56,357999.70,0,362785.36,103618.74,133864.84,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,332008436.01,587094155.18,524263386.10,480190672.05,440881987.17,415713373.69,586903281.25,636736255.72,712715002.78,0,642812989.06,0,623302338.77,0,577090690.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,147769868.09,119781475.54,123168837.19,129689324.39,108193909.15,154039118.93,215006573.69,223006209.36,176307934.98,167335228.50,183077710.46,191936219.06,169822786.89,161666290.33,175490376.33,197659842.91,228183960.98,156374021.49,144020190.42,171617183.90,215190955.16,197465473.10,176002730.14,199665861.90,214963957.79,175192721.80,161609639.73,172251741.18,175321928.21,161548480.18,183471409.88,181339236.81,170905938.16,117100658.57,52104757.18,44941794.29,106761157.84,90997096.21,112854463.77,134906062.89,87924256.62,71251528.33,37910339.89,67726753.00,100605514.02,61466119.89,93496890.94,112548319.07,85645825.96,116526921.12,83027313.62,79835391.68,113426072.96,77448139.32,66478898.70,108642631.46,56224610.49,27297803.21,50184499.11,61628421.60,51185566.55,49715231.32,0,29856752.15,16397662.84,8823830.98,0.0
7,应收账款,332008436.01,439324287.09,404481910.56,357021834.86,311192662.78,307519464.54,432864162.32,421729682.03,489708793.42,498855994.41,475477760.56,509479385.95,431366119.71,449182997.50,415424399.79,428668651.87,343845757.95,402109830.25,388100472.30,390614589.56,308061782.26,354256018.76,354343320.38,345844518.12,283655328.77,353880837.07,386918049.61,384702190.69,165316598.79,243156079.59,252129831.76,241959590.63,101674463.85,169568074.28,190161205.25,156244004.64,93612393.22,190243985.26,159617227.39,223005600.74,187099721.46,197248593.52,190942295.59,111022686.79,123242751.50,113883935.51,125784075.71,91367215.44,86999036.17,100484011.46,131706767.96,137919072.85,112329311.08,123749586.24,130293197.69,151629869.71,123545586.82,134143398.30,104118108.94,77946861.20,95688370.54,53962635.48,69931535.83,0,54671768.53,41667107.63,27051192.88,0.0
8,应收款项融资,173142000.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
