,报表日期,20190930,20190630,20190331,20181231,20180630,20171231,20170630,20161231,20160930,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,
52,应付账款,153711799.04,171855369.33,155261958.84,164864778.18,0,118367293.70,118816325.67,0,78289587.37,54079438.04,47854049.25,0.0
53,预收款项,2514052.38,1949606.97,3622325.77,6073715.20,2796671.48,3529964.50,2749658.34,2361492.33,1733316.30,927337.14,3016442.14,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,4004866.86,3605359.10,4793387.38,7728352.25,6084566.58,7759711.75,3190180.57,5123991.32,2667959.04,2749725.64,1075926.37,0.0
56,应交税费,2897079.70,14277333.92,11550778.72,6769680.78,21270221.79,7266687.85,15086078.88,15824139.27,15027635.77,13003607.50,6390443.81,0.0
57,其他应付款(合计),545577.72,9338668.99,93489.02,374895.30,333354.90,438818.04,5893951.93,6822526.47,0,0,0,0.0
58,应付利息,55595.43,75465.26,0,66251.30,0,51902.38,39320.82,0,52890.60,250292.00,805597.81,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0,1453500.00,0.0
60,其他应付款,0,9263203.73,93489.02,308644.00,333354.90,386915.66,5854631.11,0,7008557.55,8683023.47,39722618.15,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,1700000.00,3400000.00,3300000.00,3300000.00,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,260653375.70,314226338.31,260461939.73,253971421.71,245635467.52,254412475.84,261731195.39,195690521.67,184179946.63,155042312.67,129768577.53,0.0
67,非流动负债,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,1700000.00,5000000.00,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,293859.87,293859.87,293859.87,293859.87,150514.32,169013.37,79705.30,106500.06,14233.62,43046.50,69546.21,0.0
77,长期递延收益,7703460.28,7922597.10,8376073.92,8829550.74,9866570.87,10046384.00,11350585.32,11676120.00,11908554.00,12255856.00,10805592.00,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,7997320.15,8216456.97,8669933.79,9123410.61,10017085.19,10215397.37,11430290.62,11782620.06,11922787.62,13998902.50,15875138.21,0.0
