,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030331,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,620385085.69,755214229.10,732125349.39,550799403.96,853974936.61,866276543.65,950778514.09,1165547188.51,974802125.18,867114363.99,992616550.48,1025332525.85,1158806572.69,793985569.86,786096957.30,1049749417.58,702455261.81,619692657.49,766985101.74,1052857704.37,1287827316.17,1492606195.49,1208256969.24,148688148.82,170542096.67,645866917.12,194216832.78,192426566.67,318080436.39,420097921.75,206290320.25,164846232.81,111440425.51,196419806.77,133961421.19,189916537.46,153030042.53,159707493.54,156021940.43,188804122.41,179202654.83,116979303.94,84115871.15,160017897.16,84778782.72,57395442.64,72760435.43,139297167.41,87709945.64,183908899.68,110398674.65,132321498.05,92617179.70,43500978.79,58053073.36,109254344.07,50729998.64,81183672.53,55459595.37,113663247.06,99716606.24,161554127.28,293227808.17,61226745.54,61226745.54,87930428.39,36610460.10,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,983259712.08,948612179.64,1120564744.22,1048720565.07,1226458516.62,1172603550.50,1205941357.07,1032709828.69,0,922972876.52,0,1097059097.39,0,804633157.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,634857692.67,582916105.80,691323772.86,724665070.60,516320699.47,488054321.24,549821751.34,650183058.95,489123810.78,438952881.45,685671585.28,744566532.52,376978398.95,390615233.85,576943034.79,681173295.89,380725158.62,425004643.21,580097439.43,665464452.32,447963618.68,474909031.90,596758994.19,878275549.54,213230404.18,176219301.89,474300588.16,802411994.57,361886025.03,273188635.15,532184298.76,548921356.51,358399875.35,298788709.58,354796189.95,370504543.90,193840897.03,192220418.90,218289625.93,245625044.56,164101103.14,159641820.66,173155951.39,128042442.47,42286956.55,55560752.85,98466443.96,140472097.95,95976311.54,115059927.40,42756124.11,42058705.89,650000.00,979074.09,108702503.13,227622800.52,60323051.01,20629003.93,48168857.33,79042476.34,29636643.05,30149383.09,10611381.93,0,0,0,0,0.0
7,应收账款,348402019.41,365696073.84,429240971.36,324055494.47,710137817.15,684549229.26,656119605.73,382526769.74,482711077.14,484019995.07,434435706.83,352492564.87,534913808.41,414017923.20,304194587.22,236274890.54,445787815.32,347637755.09,371437955.89,245677051.12,273722776.60,230445075.86,229500515.13,177245692.44,264604778.92,200782866.35,286745819.75,97548634.74,200790964.97,178305896.62,170697336.23,128798731.42,187136406.76,118254434.79,103267161.38,102502214.96,144037967.84,109527614.76,99691394.36,112722304.41,132027515.22,92663051.99,69607833.42,102487076.96,119476772.92,92185548.99,90242664.59,79646647.31,70858231.82,56718780.18,44369161.44,38533595.63,70849731.19,75740692.59,68072045.82,85006298.01,33327771.79,95203287.00,109447755.91,110392649.69,86947714.13,64989321.17,59941873.58,50086982.63,0,60062444.47,48897007.90,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
