,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1127217082.95,958971574.80,954997964.98,1164804391.97,924924851.06,961172035.42,806997515.99,654390790.74,1304971626.45,770375556.08,711934245.74,539249372.97,590400135.47,523632382.36,629777763.07,1028986072.71,952228076.59,996809937.90,836489826.60,1092345616.95,859590277.93,451156523.13,392150463.32,265584811.44,417649436.92,560052428.11,314832119.85,373595958.10,450445339.23,300729336.15,535996920.95,215102577.64,231927474.50,261638166.76,320558721.95,237629821.23,368429141.53,300209914.63,240230207.97,375953993.97,267020810.24,323713543.59,523918076.56,206780468.55,353767385.82,374778125.43,403201428.22,552431934.86,365246107.79,460124313.14,322996217.49,383548226.96,405759169.97,336349873.92,243708276.99,143772074.14,133013150.83,138816926.18,105956479.28,102432675.52,119542432.90,91500481.91,97643131.07,155272266.30,167619176.74,95671796.81,152946257.14,113400911.31,197890097.74,59095683.95,153067275.51,205981632.67,297275751.28,139038570.60,296117810.15,27537798.95,40808345.32,12030325.31,8415781.05,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350607.09,219526.92,2986543.58,148570.00,1955680.02,339500.00,15542108.76,4473993.90,26435223.21,36512489.25,45310402.40,50184403.04,20072760.27,17443424.00,37296975.52,944000.00,7140329.68,7140329.68,6140822.70,6984484.53,19881316.86,26394092.41,70559668.16,103751161.07,164235479.68,188931960.95,191060970.98,168691580.06,239554629.00,198073695.60,216344260.93,69375864.26,135899821.89,76399821.89,75359027.70,5359027.70,174340761.33,34000000.00,9000000.00,9000000.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,485874772.31,377708042.35,410461872.61,489743884.55,382159758.84,636897630.36,684960270.51,764537312.18,537007442.17,0,617300312.81,0,509530295.40,0,365626668.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,287982853.52,193123191.56,200421185.00,214945032.69,229693391.85,399286273.94,441286815.27,555764059.03,328193775.62,340006267.60,360045424.03,229193144.42,341058435.49,157519437.71,158389092.15,157849550.81,170152883.24,187482733.46,171698459.79,196645374.14,191707870.27,168458764.09,127837217.01,123181041.51,155649774.41,126938661.69,118902577.24,93136736.24,132648253.37,91857660.59,87299346.44,72890310.31,135319088.10,134681576.69,79328670.14,79616734.75,70450755.19,34221838.00,17026391.39,29473423.00,21691539.00,30757865.33,19622560.00,26865632.98,38590252.79,25634528.25,18158073.91,21161513.66,5382494.00,17923219.03,24310268.35,29030329.55,39777167.40,38262074.29,17578342.84,15275502.45,25561974.25,33251464.99,26410108.53,21637842.11,26453180.54,29474166.11,17599645.38,14245111.47,12395328.80,28946605.00,24595227.23,16617019.51,12275757.51,22456464.91,31878020.72,32196820.71,16296715.77,5178881.00,3230000.00,1904000.00,0,400000.00,500000.00,0.0
7,应收账款,197891918.79,184584850.79,210040687.61,274798851.86,152466366.99,237611356.42,243673455.24,208773253.15,208813666.55,232524919.84,257254888.78,244910921.38,168471859.91,210615327.10,207237576.48,237260507.04,173717732.84,203962838.89,220222735.67,207284467.27,166326027.75,237668282.24,249027817.28,223455906.79,151790785.49,243473785.84,189423871.09,162350116.69,145416199.32,203515275.10,183187793.35,155246483.22,122717741.04,157751811.23,199483832.06,142809199.40,135147622.05,145551460.55,101151379.94,83661762.38,64642060.05,92916136.37,74833682.58,62729262.55,52734893.55,68767029.41,60047959.31,49170696.42,40656088.37,29929879.54,24672696.11,20305525.70,23098357.67,18541290.03,25107867.75,27263727.02,24745140.86,21081266.75,20699164.25,19176601.28,18956626.36,13574532.50,11084131.04,12641154.31,14700905.42,14987782.04,19309515.34,27889709.28,30588487.11,30967503.49,31559412.51,32040874.00,32911775.33,28365471.30,27711037.76,19426364.31,23199071.20,16837105.70,19867908.89,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
