,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,8456273.98,27952032.33,28529097.72,28275727.66,8318000.38,101603322.11,46238639.08,71022272.71,36653861.21,362351726.84,249343698.12,424896011.53,13935483.58,243099457.69,344956092.13,193790719.18,28373158.12,30552245.58,21968457.40,14677326.04,16525585.67,1814564.14,3615944.87,3465788.17,4994775.25,15597326.81,7872455.79,4111900.44,6279345.47,33943018.37,41844894.79,46059963.47,26806065.22,8907132.46,13968081.44,44174935.44,19259368.61,3426554.82,8542917.45,9577657.23,17416415.20,4711195.41,4242038.37,12355582.61,18907206.48,25827015.71,18864132.03,36925975.41,31047039.59,51646164.62,51232387.46,51475859.00,57189658.31,126242.86,442319.82,196467.86,3359136.73,2854022.18,4183026.87,160870.74,3709634.36,43342252.93,9048441.70,8956652.08,9921142.09,7162145.94,1593525.37,1900828.82,1593844.73,1644312.57,2446268.01,58334.84,1492832.60,116854.75,1882.69,2010827.35,598910.90,3677735.52,3685454.52,7054238.67,12685361.86,0,22147431.78,0,21041936.46,0,15645256.14,0,6308190.07,0.0
10,其他应收款(合计),118529102.82,114911272.98,54961403.27,64988447.58,66476918.23,30786154.64,30977280.12,19276035.53,3976145.57,0,2620559.44,0,1539598.17,0,4058897.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358720.84,358720.84,358720.84,358720.84,358720.84,358720.84,358720.84,358720.84,358720.84,358720.84,0,358720.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358720.84,0,0,0,0,100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,118529102.82,0,54961403.27,0,66476918.23,30786154.64,30977280.12,19276035.53,3976145.57,3856416.98,2620559.44,1994672.68,1539598.17,4121017.83,4058897.08,3281662.08,2906367.24,3609702.29,2081264.18,3080035.03,2689515.55,11374455.95,12022871.32,11860047.69,12179657.21,11992995.75,31769496.31,13590027.22,9433879.07,7197281.23,7175404.91,3740974.01,1194679.83,3476695.70,2781840.47,3499343.46,1803330.62,27003461.51,4073834.50,4671227.96,3072951.84,10685837.47,11662153.70,12051573.22,10801840.34,10864659.37,12325021.58,11137860.17,8584625.80,33892686.46,32879454.49,32716942.98,30899940.74,35282277.55,60026139.66,99895468.39,97268927.47,92154503.51,94348905.35,94465176.25,93526849.67,31655836.41,29469602.52,30880347.33,25312357.07,25634081.25,27426706.24,22716384.14,20467051.69,19833780.84,19113824.85,19028211.54,21268117.36,16114352.52,13524582.46,9649633.64,9922622.41,5358522.19,7384506.09,7943762.20,4300110.81,0,5988660.31,0,4457396.43,0,9710613.60,0,17181131.73,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,105077814.79,113549053.07,119368249.49,118093960.82,125705248.22,113193380.09,118098072.13,114089420.89,118717184.60,102509447.84,107391861.11,111667746.22,108655754.89,105173560.71,108008508.84,123889836.48,132525119.17,124498661.73,107837222.17,105371225.27,135724682.21,109347240.35,107392460.36,121876705.51,125907979.41,117834117.66,113087399.25,118600640.57,106929408.97,114564663.68,111769284.81,118719983.85,108318447.51,128724992.41,126540502.97,112397369.25,118739970.21,121506125.71,127711926.88,133225426.12,143279365.96,100864015.46,95442087.37,88923198.60,101312927.28,115937106.68,115637522.70,80759712.36,81215219.82,85196587.90,76332078.10,66261974.56,50939451.56,43706008.26,42121085.79,53590531.95,57162568.55,50719397.12,51053509.17,62312244.84,63558472.63,57617141.06,71112733.52,71052285.74,70596722.76,66532687.20,67193480.79,60746670.15,59993772.04,60830900.49,63083636.34,57795396.49,57574429.16,64131824.93,60767966.74,58862891.04,66001954.34,62324648.32,63548228.74,70301558.81,78229249.42,0,58161745.28,0,57781837.61,0,34441375.14,0,61833089.73,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21097.40,77388.77,125675.45,248797.00,103386.63,185180.06,183920.83,206041.60,4660.63,170409.68,251543.63,147907.94,72419.52,145092.00,164813.00,119986.41,51572.97,382430.44,95453.34,141343.74,16535.24,376971.36,9283.60,155882.22,115160.68,521350.51,466460.63,558884.55,679565.83,0,989779.29,0,4255185.30,0,5673580.44,0,0,0.0
