,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170331,20161231,20151231,20141231,19700101
44,其他非流动资产,3129477950.11,2628572894.39,2192047313.62,1892222305.94,1825919726.46,1122232989.45,710416604.11,702249479.44,606076187.78,727305529.02,748427394.73,347809520.55,510099117.05,0.0
45,非流动资产合计,4101603279.04,3563809694.08,2905398635.28,2174762672.88,2087648853.52,1379827852.36,966848450.38,929990534.51,824160871.22,900670985.39,920323942.38,449560866.83,606521382.24,0.0
46,资产总计,6772436588.87,5490500424.11,5221375960.66,4768349914.59,5132398231.08,4433441380.95,3942161631.38,2563535174.50,2911144598.05,1977618486.76,2104256003.81,2142435746.35,1611890629.82,0.0
47,流动负债,,,,,,,,,,,,,,
48,短期借款,0,0,0,0,0,0,0,0,0,0,0,116204203.99,76638985.95,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,376146995.14,253022531.61,205951858.69,119681023.31,262862796.85,186044967.52,152588851.03,100406697.68,187070983.75,63923796.52,96136109.56,73342481.83,43599742.04,0.0
51,应付票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,376146995.14,253022531.61,205951858.69,0,262862796.85,0,152588851.03,100406697.68,187070983.75,63923796.52,96136109.56,73342481.83,43599742.04,0.0
53,预收款项,396342643.68,343993478.44,297934493.23,285912877.84,317713054.56,195248376.57,214668577.30,192267759.57,256749328.50,182347471.29,191669453.36,165343445.94,132961868.20,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,569322944.64,348688411.45,347622905.33,267338006.01,369355783.15,306428523.98,228224878.41,172306217.08,250274068.50,144711373.37,188469113.89,195083215.55,165031134.20,0.0
56,应交税费,110673076.78,66754830.41,60506218.74,44652039.33,130293028.55,65478088.37,47680370.94,83207940.19,123507066.71,60983588.56,106141210.12,119055544.41,45634210.08,0.0
57,其他应付款(合计),770978683.40,515811822.88,629553081.30,447001782.32,429468248.46,394485754.63,223483511.87,197902180.50,226466255.64,218543611.50,222565683.37,289206866.90,92369263.83,0.0
58,应付利息,0,0,0,0,0,0,0,0,0,0,0,143302.77,145928.18,0.0
59,应付股利,0,0,0,0,0,0,0,120000.00,13664000.00,81519367.07,88113196.40,181280478.09,0,0.0
60,其他应付款,770978683.40,0,629553081.30,0,429468248.46,394485754.63,223483511.87,197782180.50,212802255.64,137024244.43,134452486.97,107783086.04,92223335.65,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,2223464343.64,1528271074.79,1541568557.29,1164585728.81,1509692911.57,1147685711.07,866646189.55,746090795.02,1044067703.10,670509841.24,804981570.30,958235758.62,556235204.30,0.0
67,非流动负债,,,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),1500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,1500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,52128422.33,61194156.33,61228786.16,53990597.76,53337413.28,60755743.14,58338872.15,55315579.01,55202115.15,66964242.98,57947120.70,52781576.85,50821376.32,0.0
77,长期递延收益,174371109.19,146002357.81,132456554.82,128576572.06,131952660.37,102067460.65,89725568.29,78219308.25,71337377.30,44314128.39,30610042.25,30532969.53,32784482.37,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,227999531.52,207196514.14,193685340.98,182567169.82,185290073.65,162823203.79,148064440.44,133534887.26,126539492.45,111278371.37,88557162.95,83314546.38,83605858.69,0.0
80,负债合计,2451463875.16,1735467588.93,1735253898.27,1347152898.63,1694982985.22,1310508914.86,1014710629.99,879625682.28,1170607195.55,781788212.61,893538733.25,1041550305.00,639841062.99,0.0
81,所有者权益,,,,,,,,,,,,,,
82,实收资本(或股本),408943550.00,403112000.00,403123200.00,403133000.00,403133000.00,400010000.00,400010000.00,360000000.00,360000000.00,360000000.00,360000000.00,60000000.00,60000000.00,0.0
83,资本公积,2426677998.19,2086962118.29,2066683269.27,2045350876.27,2022367455.14,1850890872.31,1845728920.55,721170222.52,715948857.06,697333491.07,690851599.63,208022013.11,158758142.01,0.0
84,减：库存股,374880542.40,149734800.00,150741144.00,151215660.00,151215660.00,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,15862844.97,16503592.80,14745230.89,13074002.89,14449185.07,13821822.95,11450859.85,8141058.87,11182959.79,15154531.56,15465310.03,987095.78,811665.85,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,191326309.55,125077642.61,125077642.61,125077642.61,125326780.03,69248081.72,69248081.72,69248081.72,69248081.72,18816338.95,18505530.35,30000000.00,30000000.00,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,1653042553.40,1273112281.48,1027233863.62,985777154.19,1023354485.62,788961689.11,601013139.27,525350129.11,584157503.93,104525912.57,125894830.55,801876332.46,722479758.97,0.0
90,归属于母公司股东权益合计,4320972713.71,3755032835.18,3486122062.39,3421197015.96,3437415245.86,3122932466.09,2927451001.39,1683909492.22,1740537402.50,1195830274.15,1210717270.56,1100885441.35,972049566.83,0.0
91,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,4320972713.71,3755032835.18,3486122062.39,3421197015.96,3437415245.86,3122932466.09,2927451001.39,1683909492.22,1740537402.50,1195830274.15,1210717270.56,1100885441.35,972049566.83,0.0
93,负债和所有者权益(或股东权益)总计,6772436588.87,5490500424.11,5221375960.66,4768349914.59,5132398231.08,4433441380.95,3942161631.38,2563535174.50,2911144598.05,1977618486.76,2104256003.81,2142435746.35,1611890629.82,0.0
