,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1001537101.00,663739474.00,847533134.00,542748293.00,462274088.00,533895150.00,420903203.00,941445953.00,819378883.00,644779344.00,763829689.00,423749556.00,386291156.00,430894763.00,415284240.00,472891713.00,449549797.00,672938171.00,466814048.00,790386059.00,256566531.00,454782210.00,333054606.00,423912391.00,152182124.00,426125141.00,177500407.00,443971052.00,116651251.00,350991587.00,229637143.00,420995861.00,184903462.00,298142978.00,362404220.00,241638229.00,219585268.00,138732467.00,198421720.00,183943897.00,235964530.00,167564993.00,370529406.00,192766589.00,256339732.00,251413214.00,488194289.00,322469492.00,260009368.00,245442571.00,537463618.00,205100160.00,207451209.00,344481602.00,537285000.00,584822000.00,267522000.00,214982000.00,269921000.00,170893000.00,141248000.00,222260000.00,277821000.00,203061000.00,173519000.00,166757000.00,268186000.00,457147000.00,525927000.00,464880000.00,448961000.00,323585000.00,234946000.00,342144000.00,357848000.00,451153000.00,422652510.00,80912000.00,265115000.00,161635000.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000000.00,0,180000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28224000.00,27924000.00,0,159719000.00,30394000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,431619038.00,420069094.00,386999127.00,325786547.00,304972005.00,310519898.00,306438310.00,299260334.00,0,228614422.00,166838695.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000.00,0,0,0,0,33000.00,223000.00,0,0,142000.00,0,321000.00,611000.00,239000.00,278000.00,859000.00,339000.00,572358.00,0,0,0,0.0
7,应收账款,431619038.00,420069094.00,0,325786547.00,0,0,306438310.00,299260334.00,281713672.00,228614422.00,166838695.00,144293862.00,153952794.00,161241139.00,131356947.00,141547001.00,144051785.00,135067047.00,149083550.00,143657938.00,155149459.00,156334398.00,159805115.00,151977606.00,154102611.00,182103426.00,190612824.00,167759766.00,160734517.00,161740719.00,167361779.00,158757262.00,155450024.00,127755568.00,109990070.00,81337162.00,40559892.00,17417552.00,18493172.00,16525875.00,16874019.00,16621083.00,13114284.00,8873541.00,7914661.00,7625188.00,12319615.00,3746680.00,-2147900.00,9047141.00,7871380.00,4352658.00,9079357.00,6634028.00,4989000.00,3957000.00,6174000.00,6092000.00,6580000.00,4751000.00,5396000.00,3898000.00,6953000.00,2632000.00,3261000.00,4702000.00,2607000.00,4321000.00,4553000.00,9967000.00,5228000.00,3190000.00,14806000.00,9612000.00,33863000.00,12761000.00,14583897.00,7864000.00,8201000.00,10230000.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
