,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,280027379.16,340829689.29,597886087.05,588235479.20,685439878.98,987764229.40,1843362790.73,1662156074.71,2194423638.63,2830286553.40,1509238605.71,1848936120.62,1498740626.94,1900520538.73,4176987948.54,1574482951.75,1162545448.38,1092389358.45,933652036.40,1348846909.80,811876558.44,1506536177.09,1175405415.21,1255709927.59,932159274.86,951067603.77,1602048232.77,1616163434.89,1616836553.89,2022241465.52,1406069082.89,1351752600.07,1030215141.96,1607437726.26,1119105557.83,1139211031.30,962536511.63,1096956542.27,1278864611.75,1733360968.10,1805427463.52,2273720043.42,2337674696.20,2151046172.84,2450548857.88,2047116652.49,1836232151.72,1896816904.70,2112915212.98,1620665850.10,1537827328.52,1405511520.13,1625055200.38,1293643309.95,1408480992.17,1097027164.83,1055674476.27,1261287941.67,1124763568.19,1154990518.25,977995867.03,880561139.57,1084939578.12,1130953269.17,1219836482.47,1100557078.82,1005456993.20,983535062.95,886307726.45,1035069492.49,580608968.65,589615213.40,815407156.96,744923046.45,643922908.09,482083687.01,359576035.79,320205386.45,358509603.00,427135288.81,40957444.18,29355001.64,19934538.81,0.0
3,交易性金融资产,0,517200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227350.00,107505.00,0,0,0,0,0,0,0,1109700.00,0,985750.00,1448840.00,726000.00,903080.00,438000.00,438000.00,586000.00,586000.00,1287400.00,1287400.00,688000.00,688000.00,688000.00,688000.00,868000.00,868000.00,868000.00,922000.00,50868000.00,868000.00,868000.00,1008580.00,290668000.00,290668000.00,490668000.00,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,853371731.13,807750878.97,786206764.19,550787042.18,1395183442.55,1247876862.08,1387555268.47,1087405274.09,0,1042682450.98,0,1161101803.64,0,1113157327.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,300000.00,476376.74,1196375.54,0,297629679.20,262429967.95,195289975.55,243462759.83,167599881.60,113301665.71,227547590.85,276029677.27,276593204.20,259691875.63,152436495.63,266273059.69,22120878.58,126067165.74,39009093.37,48445022.00,64680269.21,115529672.02,95943067.21,197225394.58,57460540.83,62615946.28,165939477.69,296742881.22,120897773.07,82953900.27,26987193.30,47278486.91,27180489.88,74900491.32,61463555.18,104163776.97,27909618.19,78017231.67,68118381.34,109475616.98,36456713.80,31685034.99,17648491.36,38501965.78,8007890.20,36926234.48,50200006.70,61034108.60,7595500.00,18391331.59,11019020.00,16333420.00,10370525.00,26635000.00,47595000.00,43530000.00,17914600.00,21532400.00,44210000.00,49795000.00,1094100.00,1226670.00,1367691.00,13722500.00,9606786.00,0,255300.00,751900.00,434600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,853071731.13,807274502.23,785010388.65,550787042.18,1097553763.35,985446894.13,1192265292.92,843942514.26,975547837.92,929380785.27,1045485918.34,885072126.37,1024878579.48,853465451.44,870560218.48,653027033.98,587375494.22,528802835.37,551316637.15,445588865.31,1244894333.66,1144454064.43,996552347.51,964984844.05,946522114.13,902770247.83,827322594.59,665876000.87,788496101.48,772087321.71,730440655.42,637306921.46,726576197.98,691052356.76,732558764.57,567168091.97,775183905.62,772718583.62,608458701.00,440895342.22,540694607.32,527944899.53,531381148.34,448519077.29,461239498.67,467865790.02,396449672.04,362603858.73,535839629.48,451620471.49,444427688.20,319650593.13,1003702581.09,876773046.53,824347897.39,751830836.54,919424017.85,761609871.70,754175875.21,629709234.13,950763178.52,873195992.75,840677846.71,832100185.47,798955845.04,646292356.74,469584473.35,352493093.12,354741976.97,332461154.95,253809219.57,236821722.11,185070067.85,220546296.13,261513769.61,238286263.98,123066465.12,66035829.29,84955093.46,38232468.80,42020486.36,45208299.20,24328648.01,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
