,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,134722109.60,119616413.92,63816465.74,80531132.82,101470540.40,113774920.89,115488991.11,93481769.00,120462907.60,124122233.11,143404764.83,111981905.16,70339076.42,62474575.52,67709984.74,55833798.70,99727468.33,88380788.94,103294499.49,89225135.14,1287762544.63,99888156.15,128204263.61,100159588.77,77946161.68,137688132.25,66265314.25,67727899.34,75895517.39,107917920.84,91068908.63,96331063.40,66245105.09,48360223.98,41894837.51,54373042.20,19703482.14,22981915.55,20636050.43,29352363.30,6392649.67,4209774.35,4703471.29,15535974.23,23254728.67,13397002.15,20073225.25,10205360.80,31896878.35,14486987.91,16586912.65,7040984.84,9158566.93,5108237.10,7849083.50,6744335.86,20704660.90,16551243.56,22691023.06,20718088.96,50281025.95,49050524.86,137074026.08,98154654.35,100317031.34,82709900.71,61409061.72,84702513.43,79376885.26,124460622.40,109023132.57,139481660.33,152222861.11,157518243.30,126133749.77,116350154.01,70096724.59,67342005.50,2343912.76,2434594.70,4028208.99,0.0
10,其他应收款(合计),214027741.73,210845435.00,206393096.15,172865555.01,147480886.24,135168386.19,137030580.63,160033416.65,0,0,186321864.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,5694502.72,3137744.57,5590313.46,17099239.94,0,16435403.35,20976780.83,20299119.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160000.00,0,0,0,0,0,0,0,0.0
13,其他应收款,0,207707690.43,0,155766315.07,147480886.24,118732982.84,116053799.80,139734296.98,150236860.90,177123275.38,186321864.72,130910819.31,48114411.66,59434771.47,53867562.53,49812730.54,23833728.55,48151974.04,27446050.25,24831829.18,18153788.18,30480282.08,18629820.68,21054014.83,28928347.33,29120468.87,21843793.76,28204977.10,33300609.86,34676241.11,30192712.33,33150204.01,33001288.73,34646418.90,32084378.96,27842145.75,14945336.89,33915027.73,14127845.67,26529874.58,24820720.24,22247013.96,23551725.75,12041785.43,11610241.45,2755698.62,8467693.52,2629904.33,7680755.85,4359579.19,20228524.50,7595857.87,3218957.90,4755825.59,8951503.86,5314879.24,265562192.42,262503802.65,279137745.41,286472993.11,72239128.04,71761396.24,55042044.17,86056969.97,53200379.03,46358765.12,60982702.12,58181195.15,37620072.79,35082282.60,25440874.85,25383593.20,22960572.53,23232708.31,34148097.01,50348649.89,28995829.79,29790189.56,8216554.07,6182960.38,6452164.98,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,2221258505.39,2170485886.70,2206691759.51,2082244233.21,2279476307.75,2233246720.90,2070359158.66,2008140480.22,2015953037.94,1870424504.75,1806295520.74,1416553872.30,1395652465.53,1230039874.94,1293623618.19,1145742122.45,1117666494.61,1190889803.06,1145781247.93,1117677413.84,1070118340.61,1117158465.36,840953852.69,815905300.15,781922344.39,895510389.08,913981987.87,794714983.62,723612889.53,735977068.86,793043987.54,751834746.73,659527163.11,629131463.49,616247885.56,544618007.28,392389281.48,429424271.66,388405245.31,347509307.77,268719266.86,264418350.44,281713528.83,178947520.13,218075181.48,122448267.36,109662119.47,101379581.81,92092500.41,91946530.62,81954662.41,79989496.06,41919928.18,33426625.71,36007719.85,35332227.27,48630596.27,47425039.62,65706061.50,154326186.52,583415746.63,586150638.43,504546178.46,307259419.23,457089231.05,446831890.22,421002217.57,387586169.05,327633787.85,319404672.85,302419482.01,278809353.41,255816184.66,219700349.37,237258315.07,181534816.85,161360231.65,114433584.87,121681090.41,80699015.81,55436662.73,0.0
16,划分为持有待售的资产,1278756.77,1289179.72,1227464.60,1273993.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32668.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63929.74,0,0,0,0,89461.83,178923.69,287884.21,158361.06,611942.20,1033817.51,1440500.93,1482716.64,1487240.61,1534338.54,1783776.01,1364761.37,1620468.61,1781477.13,2090969.39,1299840.74,2502715.62,2636117.67,2905423.22,4232577.72,1063662.88,1198604.83,1381668.00,1224142.24,5706642.64,0.0
