,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19941231,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,78651773.01,82736935.80,88171536.40,147979019.56,99045987.17,108767615.32,57487600.53,231211982.67,22827494.28,26459905.09,132261765.23,145795726.46,70461147.49,67644622.41,121656745.87,149448771.06,62554836.92,66851835.47,73021009.29,75861259.03,78358037.18,79186641.67,143691948.22,157163592.68,105305178.12,106862199.63,111108499.34,111830770.71,117946032.72,114054634.55,118093116.89,119387806.84,105965660.70,95067301.12,99262492.21,101509012.96,18663983.79,24661160.25,36986199.08,75630375.20,32723331.45,33025184.68,11914006.99,13709363.98,21490592.68,29381391.31,155686667.02,115447901.37,111750538.41,80386748.52,73000859.29,55208207.33,60313253.64,68837869.53,115120388.44,128832042.10,91156974.38,185244501.68,189627978.82,298299388.93,312293495.49,372139920.66,565033264.41,555567536.34,826405203.22,528620058.86,0,43305140.33,120618248.76,138911221.82,40794223.95,49660965.79,284226101.49,52865647.42,86700258.47,82521386.03,215581188.92,98056275.20,178713993.83,287369753.84,0,85516771.31,0,66336948.83,72830109.79,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215063.79,1234064.79,1231064.63,1229064.52,1173061.58,1158060.79,1180061.95,1224064.26,1199062.95,1088057.12,1139059.80,749986.89,839991.61,949997.38,969998.43,969998.43,133158854.18,133158854.18,167502092.24,167502092.24,203761765.70,203761765.70,224991859.89,224988865.19,96040000.00,95040000.00,0,97500000.00,0,0,98000000.00,97882116.80,0,50000000.00,50000000.00,42655900.00,0,10000000.00,20000000.00,0,0,56604126.50,0,0,127945.20,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162108.80,162108.80,0,1305630.00,51470000.00,56330550.00,1960000.00,21543000.00,650000.00,4223390.00,30729740.00,12963564.50,40551458.00,18329856.04,28799050.00,84053850.00,0,121469630.00,0,68696616.56,0,0,0,0.0
7,应收账款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000.00,0,0,0,0,0,0,1234724.50,784735.16,784735.16,784735.16,784735.16,1209265.66,831705.66,831705.66,1209705.66,1311176.16,2158660.90,2308358.77,2131094.82,2009736.47,2162243.52,5280876.32,8202027.54,34474177.09,35672863.69,0,115078077.33,69930559.21,73569001.46,113936030.99,116608346.81,143259475.50,142219661.19,79251676.68,63059054.01,44037263.72,144498216.69,97700382.29,76335555.85,0,149687241.52,0,148843328.70,79046327.41,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,3643932.00,5194200.00,4143100.00,1480000.00,3723100.00,5014200.00,6585300.00,120000.00,1631100.00,3142200.00,4812966.67,159666.67,1640100.00,3080683.53,4608300.00,0,0,0,0,0,100000000.00,100000000.00,0,0,0,0,0,0,0,0,0,0,0,1350439.40,1385457.32,1535457.32,1535457.32,2635457.32,2535457.32,2535457.32,2558802.60,2558802.60,2558802.60,2558802.60,2786560.60,4204810.60,2695310.00,2695310.60,6745288.98,3450288.98,2950288.98,2950288.98,1547363.20,1547363.20,1737363.20,190000.00,4300000.00,5093252.96,72325.00,572325.00,8569881.22,8412465.27,9763265.27,60446655.27,32697989.04,39157835.26,0,29056465.42,32378109.68,69957756.84,116397705.80,83575597.89,163856185.86,62019637.52,15815755.37,27638050.81,64891581.34,3304354.45,0,0,0,0,0,22924439.13,90068051.03,0,0,0.0
10,其他应收款(合计),6636942.76,6548861.33,6878580.23,7097350.42,6685682.51,7023816.50,7002695.51,6420436.65,0,6437465.25,0,6578976.70,0,6238479.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288000.00,1138750.25,0,1002303.28,0,0,25833.30,1066433.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40002.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
