,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20171231,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150331,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
39,无形资产,41393140.43,23101408.09,24243532.67,24487271.83,24620689.74,21704140.73,21907955.65,22250121.58,22609994.98,16024227.58,16134845.88,16239311.66,16337550.75,16597403.92,16441180.58,16805082.26,16926382.81,5372352.40,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,12595785.93,12652102.04,13233047.76,11891363.93,14808305.01,595946.54,659353.33,786166.91,395000.00,474000.00,474000.00,632000.00,553000.00,632000.00,632000.00,750500.00,0.00,0.00,0.0
43,递延所得税资产,2614167.60,3475381.92,3288532.18,3605582.64,3588630.36,983596.04,725372.98,120341.29,299165.06,198705.32,216086.40,510417.13,506803.76,510417.13,510417.13,328103.04,818858.18,884106.34,0.0
44,其他非流动资产,2063642.28,8220814.23,6820744.37,6578438.47,1662722.61,0,2081092.36,43410979.43,104073753.19,83709001.03,50439376.13,27424687.49,1021732.10,17067569.01,7926665.14,0,0,0,0.0
45,非流动资产合计,637313228.50,609026995.60,619200643.05,620223316.63,630917737.13,613536651.59,649676716.50,593704933.88,517961188.90,494582065.13,463089022.85,442315115.20,416637297.45,417435976.93,410094852.70,420548747.95,424891185.11,122580390.65,0.0
46,资产总计,2653761067.12,2555054947.58,1123066249.56,1072510185.38,1013356700.00,973757401.94,918430964.51,798742292.62,745206973.03,615174225.01,567734160.25,602817598.91,516647125.89,520272033.53,525185479.16,514403098.07,520198366.59,213409450.06,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,
48,短期借款,0,0,162000000.00,138950000.00,94000000.00,97700000.00,115500000.00,77000000.00,65400000.00,59000000.00,32000000.00,15000000.00,15000000.00,18000000.00,18000000.00,18000000.00,18000000.00,23900000.00,0.0
