,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,513343272.93,417425982.53,375872293.11,397296498.85,407589903.45,317657971.34,180798954.99,190174748.35,192197172.77,397779762.67,130172502.39,17764560.17,52271855.89,24433432.46,37866866.52,137095885.15,155901062.39,167407430.94,190158401.40,183518004.74,383098973.09,599424353.68,660018918.64,983483541.01,716219160.33,663903193.05,704721989.26,603866236.73,912383349.73,807608675.87,1110848493.98,1090366419.13,818986627.24,792216635.84,1161524615.02,956855385.98,1232000438.85,1147446865.89,1299150638.60,1577499468.01,1616885542.39,699327748.42,608372604.98,492324715.29,356625018.07,586004815.85,457544484.22,527158459.73,634434481.88,166337264.93,347407189.70,350179737.69,419938756.39,190846294.26,215837095.65,447301952.05,328023691.61,397742587.75,286053971.42,275352959.23,109133715.52,69187771.76,165933096.28,260569570.19,445475306.33,461600671.70,342396671.77,216662009.65,28371730.59,48665367.16,39507896.92,19470672.74,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1481331481.50,1374044683.00,1210349620.29,1013389633.51,1029622901.26,857355290.50,1142964480.09,1354193247.32,0,0,1679376674.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,21020000.00,19282402.00,21665551.16,16280000.00,91215000.00,89734737.30,35830000.00,64712270.40,69748302.88,59591835.00,12395434.61,1270097.66,6630000.00,62400000.00,193200000.00,60000.00,13094000.00,25200000.00,180000.00,77723000.00,298790807.57,331704282.20,245575000.00,296834959.00,100638554.65,179995782.26,359850000.00,492610000.00,306000000.00,301000000.00,129816540.00,182065442.80,73399760.00,68145562.00,49997194.40,152322550.69,101561905.43,101876960.00,38004275.82,113987024.23,1274608.00,1051886.60,113012806.50,211040000.00,16250000.00,34400000.00,39953982.00,46472144.60,1944475.14,300000.00,8538231.57,747648.34,0,3831292.86,4463641.50,3950000.00,3000000.00,13775000.00,7400000.00,3998971.47,4300000.00,0,6255992.00,1920000.00,8869960.00,1000000.00,311904.20,2360870.00,2200000.00,1800000.00,0,189250.00,0.0
7,应收账款,1460311481.50,1354762281.00,1188684069.13,997109633.51,938407901.26,767620553.20,1107134480.09,1289480976.92,1387672957.17,1313864603.54,1666981240.14,1921172907.46,1776929188.09,1774043743.89,1677294091.95,1851337212.61,2127963104.56,2394326052.31,2012345600.19,2002342477.91,1544757262.47,1219232320.32,1223352371.77,1218017477.94,948733428.33,679580155.35,722005335.71,978565719.27,926497870.76,937087669.21,777147792.26,853664055.49,886283262.56,720923733.75,706003567.65,977705274.20,803859064.40,802996413.64,844051876.53,851027096.80,816866874.07,668193042.50,526931076.14,846505890.17,676290274.31,572377660.02,532869082.37,365927939.50,408048917.19,278603146.87,117857248.26,20975588.33,169166251.55,373698530.94,213422877.38,168809656.65,100186914.99,75223003.36,12033343.26,16464488.06,50438615.69,5012377.49,3304422.06,1780028.53,21159819.52,12136252.60,46891446.42,22755034.79,20694314.82,34299726.29,9251237.81,34638664.49,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
