,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2080650176.46,1710174068.19,2159236809.70,1970238025.04,2053163439.04,1992520362.37,1940845956.19,1647432184.48,1765704006.13,1406118440.01,1497857029.27,2345287651.66,1911750637.10,1850546769.97,3277991371.77,3771537564.05,3527566399.20,2616842171.98,1404287069.52,3136415053.57,3004386443.44,2571543984.52,2348530672.44,1003499506.22,1052547473.53,2597653008.93,2147748456.02,2467354649.08,1045059569.49,2588966659.52,2415264115.41,1749426589.11,1902526501.17,1115758641.82,2024352322.66,1269168208.61,1998667295.34,1721393296.78,1669980233.98,575527664.79,502993993.21,573866260.96,742531340.09,651221510.56,725437984.64,759830393.77,757304478.48,546366398.00,753363292.99,517698646.63,632153867.20,708892922.89,931333022.80,914572582.19,892368548.90,598884711.05,1002542004.21,911886541.13,946550610.13,562843639.08,697702192.97,307201069.58,415911404.70,337765440.84,401144122.31,317459046.03,295904112.87,269228228.67,344035250.95,209100530.09,264010278.27,380454068.22,435135148.60,442470190.98,177554442.69,139714272.42,153853337.88,156877625.88,155719503.49,240587895.39,14995329.31,0,16718.37,0,3938.14,0,2355662.93,0,484860.00,1824079.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65626485.00,0,0,0,0,0,0,0,0,0,0,0,0,4400000.00,19952000.00,64080000.00,49487348.00,10090608.96,42183406.83,0,52337000.00,0,71000000.00,0,54000000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1931959309.34,2517898864.01,2812551151.38,2876674110.15,2795187950.68,2941739198.06,3352461427.24,3268085282.50,3067404927.73,0,3255325736.12,0,3467998769.88,0,3230467850.57,0,0,0,0,0,0,0,0,0,2774864922.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,2755961.21,769657314.39,1020555219.28,914533852.94,954307099.42,1150543081.46,1342699963.74,1201656294.39,1151157495.26,1323150066.16,1393024779.77,1378897536.09,1451779000.04,1353928813.92,1101158980.44,1032510705.63,1153712929.09,1149224753.99,1059181924.68,947195975.51,1170993678.78,1128858911.84,1243339940.43,1359664114.22,1132503733.13,1113208428.18,1171663246.66,1016377513.60,946881908.52,910514557.21,965840052.77,959845204.56,888736936.48,761259281.38,804330682.09,815388743.48,771044164.57,611405976.80,606147705.90,464834887.12,440300854.41,321770302.07,343140146.72,285568839.08,304371381.94,407784586.58,332603595.92,379763924.38,303880159.22,298896880.82,276986224.62,285467288.35,332709675.16,199053248.14,202193397.20,123139217.58,223902521.46,214385278.12,234358047.53,197835397.61,217941531.87,166445288.93,165994178.49,171228905.55,76083608.44,67301232.74,78835487.04,56374844.10,56030455.18,32484196.60,29246050.30,21881924.00,24528238.40,17310157.32,17673944.00,34039702.75,22090243.04,18156858.00,7401428.00,9718400.00,2280000.00,0,3973980.00,0,1000000.00,0,0,0,0,0,0.0
7,应收账款,1929203348.13,1748241549.62,1791995932.10,1962140257.21,1840880851.26,1791196116.60,2009761463.50,2066428988.11,1916247432.47,1776048171.58,1862300956.35,2008158900.99,2016219769.84,1862502002.56,2129308870.13,2043631200.10,2038638770.34,1648889040.08,1883603419.06,1880244323.63,1769140531.26,1740608990.17,1846052616.80,1699223464.35,1642361188.89,1509294268.38,1734284468.49,1518482319.51,1438217627.57,1342547306.42,1462228759.94,1413702385.68,1296651961.46,1238080694.48,1243405778.47,1242093725.94,1077255296.18,1071792100.68,1075153341.68,1052498593.78,938823234.75,866894539.86,872314431.15,720518509.04,680496715.43,812481951.58,792893139.75,684367761.30,581493462.09,678030877.95,621485767.37,686808294.06,547560600.70,498293883.67,605395257.54,557497554.37,459103098.37,486348244.74,491585920.02,510120689.10,382020507.62,440565668.15,397203154.16,318543079.73,254743388.23,222784725.45,250745165.69,245464944.20,217079060.06,229714552.20,227641938.81,195022249.13,162210296.82,135088365.31,166576009.72,167005639.21,163727402.37,132861960.15,130880217.95,155401738.09,119654956.16,0,94237696.81,0,40903649.43,0,38626662.31,0,23917047.00,6473.00,0.0
8,应收款项融资,848941049.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
