,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,351613557.97,367205389.99,382827559.68,362010803.09,303005060.20,505697198.99,287352506.00,361141619.69,625379854.96,443282526.35,283430176.64,368920180.61,592601874.18,494335756.87,327998576.76,455387876.28,493577361.28,489421052.93,354128164.62,171017955.56,89557773.85,424672380.71,597637448.91,546083543.30,162339314.59,158462347.98,412179644.09,606228558.87,350511499.30,442531251.88,422474773.89,352158173.12,513690589.32,366893495.74,307347072.55,285474825.70,547679073.35,346978346.06,414237255.59,475145695.85,580598034.02,323881647.59,395162326.83,347455824.65,710409235.66,279389395.30,404215945.57,322196962.98,457397948.85,589966842.05,595417323.53,214676273.39,340575429.52,419041493.02,354905985.62,349491356.36,370176820.12,334702771.70,174439930.98,402628537.59,126964540.46,116571096.91,102539942.89,24294436.90,38231906.51,111021247.82,79535897.37,97445609.01,73616803.39,132361338.82,62143754.96,70494995.33,73026888.99,87330433.08,52221322.00,103675237.28,81658319.89,107041312.69,33719620.80,45129034.40,43046791.73,31874899.88,0,11852801.72,0,8925194.67,0,19057000.00,0,18235697.00,18931429.00,23918799.00,12802657.00,27622993.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200.00,8200.00,126400.00,65160.00,0,0,87240.00,87240.00,87240.00,87240.00,6816810.00,5851440.00,24624150.00,3498000.00,1502750.00,2001280.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,26000000.00,26000000.00,25000000.00,25000000.00,230000.00,20230000.00,0,20694537.00,0,26500000.00,0,34300000.00,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3286075484.15,3194945163.17,3226882037.89,2940135142.38,2967529357.50,2471035722.38,2778756875.80,2688425583.79,2764280366.50,2844159902.77,0,2736133463.14,0,2880329512.63,0,2644099754.89,0,0,0,0,0,0,918688174.61,0,0,1523796198.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,183711126.42,97617965.33,171595285.70,129090257.42,132500594.43,112702696.08,178264270.96,165104669.96,183396038.57,173217612.48,317420990.06,290968868.03,256395835.33,119519790.88,139190337.85,197026891.71,233191916.62,631518564.21,364026626.51,396059442.46,918333378.42,1100220628.90,293583189.46,305038644.05,861727779.68,899134952.27,655959001.59,860313422.55,767442851.90,807471245.62,1151378049.01,419387839.53,404791093.70,822673048.54,913357836.83,159377020.62,305764115.64,644625048.15,1006465915.79,440282567.46,235296321.37,740652622.76,1117841896.96,389692233.28,402272449.41,296423985.76,503007761.56,181235573.68,384069838.24,252440553.07,494333861.93,69515197.03,187152827.81,90691273.50,308135101.21,136961189.11,195620648.86,76685997.19,309744001.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,3286075484.15,3194945163.17,3226882037.89,2940135142.38,2783818231.08,2373417757.05,2607161590.10,2559335326.37,2631779772.07,2731457206.69,2942470756.54,2571028793.18,2537654493.47,2707111900.15,2461957901.80,2353130886.86,2187414853.59,2002155821.45,2081158433.92,1880293812.58,1679080815.90,373397137.17,554661548.10,614252616.39,554858819.22,423575569.73,1044102255.90,790525083.28,591075252.14,478214591.47,546417584.79,468139382.07,485667461.81,322737548.62,473892545.25,492755690.02,349989407.59,248802518.49,326535336.03,377090567.53,318204691.45,210308973.76,276236468.35,355610116.90,364409167.75,285935020.83,252818204.73,354132107.29,268410657.59,251286121.44,213742074.05,327256301.27,298429618.82,220952214.88,174227615.51,252764607.06,245295533.02,182199020.10,235458417.66,193071511.47,323987332.57,185648160.95,159876710.95,112826175.54,100675686.24,78743830.81,124752541.21,113951348.19,77316816.91,59764145.64,117732764.57,98681195.55,84082024.39,69744160.07,98803903.94,55594906.87,82882962.16,64928768.18,96103036.61,62294459.85,102020344.23,56113134.44,0,49634692.56,0,55840092.53,0,0,0,88345792.00,16683152.00,55732900.00,64024847.00,69005758.00,0.0
8,应收款项融资,171445468.00,270025374.87,146722594.52,125853793.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
