,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,468865858.87,654967337.89,711357784.15,1164436869.99,923151129.21,1757682185.42,1942261289.75,3332783574.51,1573615823.38,2133132531.38,2281964629.13,2223733833.62,2145426943.00,1582345923.04,1617049961.68,1653642366.27,1573745936.42,1763205749.62,1917313840.64,1583756479.26,1566502787.86,2025948927.81,888662293.47,915416105.61,637390236.47,900931374.98,1579702469.18,1105138374.28,939250066.90,1463483820.24,2298129169.79,863023585.32,1065256035.67,1121745657.38,1474929858.18,1619237199.70,497110801.16,373510327.00,500320673.94,411678176.39,249874117.19,241176301.35,247971740.16,244659569.61,214101739.53,214139672.42,242299073.55,146184140.20,121011676.30,185515318.41,170152682.10,219154886.02,289950877.69,209245713.36,210189059.79,269361207.26,370925305.24,340570547.28,400435968.06,451356441.03,472298631.87,710131956.44,114711274.24,109193366.23,33085122.77,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317972.60,2658716.06,0,0,0,0,0,0,0,0,0,0,109313.12,374266.31,764660.02,358411.75,976965.45,0,0,0,0,2168.28,2190.62,206604.74,206900.83,0,570374.48,570697.99,570607.40,0,0,0,0,0,0,0,0,1140758.40,1140758.40,1232964.13,1952869.33,1738741.11,2656672.75,4994449.70,2994449.70,2894300.00,2894300.00,3000000.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,897376497.04,911564934.52,981345916.02,1068330661.45,1272620599.02,1142501498.02,1207009146.37,1158183938.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,23067211.61,36167758.31,59844504.26,80381558.38,23995318.08,59298997.92,41992184.88,77537194.48,68052013.65,112539304.93,105491566.82,61498299.81,88906349.10,111292555.44,168882019.09,164066974.33,129439503.77,48013090.01,89771091.31,84012633.21,64277220.41,89997239.73,42968852.29,59006849.23,33329543.03,25852833.10,9119906.24,12146623.47,17794122.03,24824174.55,20274595.44,23395464.18,23433905.35,12452160.78,7697200.69,6976693.20,3978146.42,3777288.06,7945448.89,4936428.00,3853900.00,4919680.10,8464595.92,2641265.00,1343570.92,2800301.00,466096.59,1150000.00,6557600.00,13456464.18,10468028.34,5112822.60,2539001.54,1952942.54,2036455.53,161063.55,482870.80,638000.00,1807488.98,811687.62,581894.00,938000.00,0,0,0,0.0
7,应收账款,874309285.43,875397176.21,921501411.76,987949103.07,1248625280.94,1083202500.10,1165016961.49,1080646743.77,1302036971.80,1465887719.45,1286558738.86,1221834139.72,1462840228.99,1329344504.99,1295216130.65,1378549077.15,1857868242.77,1559451488.94,1310613397.01,1459550452.08,1865953795.67,1532129096.01,1394678933.97,1243037505.68,1528967649.88,1448923918.18,1503517159.17,1233035101.82,1228697878.62,976165210.25,975158085.99,1029760286.43,841730818.16,647125239.82,618659790.94,624468701.13,749562818.86,530677757.33,410364929.89,394074381.90,552770348.60,347611220.61,258839508.78,414261950.71,650425807.83,374948475.91,394261351.37,488847359.09,429669378.42,305735641.15,245476527.34,277888318.09,326287826.57,232052982.71,236516170.03,305146031.31,566120118.34,294996214.54,188070889.75,221102285.59,362735166.74,182331273.07,136869494.29,82603176.24,57645566.30,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
