,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,449909000000.00,464114000000.00,505779000000.00,446491000000.00,474059000000.00,498253000000.00,530042000000.00,509139000000.00,568399000000.00,539611000000.00,555902000000.00,541587000000.00,569683000000.00,523011000000.00,521079000000.00,566813000000.00,475057000000.00,465424000000.00,451080000000.00,413188000000.00,442707000000.00,412305000000.00,399396000000.00,391713000000.00,349442000000.00,355831000000.00,338171000000.00,341124000000.00,383223000000.00,296941000000.00,346114000000.00,311857000000.00,242009000000.00,221306000000.00,103079000000.00,78429000000.00,95554000000.00,76347000000.00,82714000000.00,108151000000.00,102775000000.00,107677000000.00,77329000000.00,81705000000.00,52445000000.00,67217000000.00,69127000000.00,72663000000.00,72740000000.00,104374000000.00,83789000000.00,47603000000.00,42585000000.00,90799000000.00,80325000000.00,95342000000.00,85883000000.00,77219990064.00,50668478262.00,28923000000.00,12306140000.00,7880030000.00,1720370000.00,0.0
3,拆出资金,79569000000.00,87544000000.00,84004000000.00,100961000000.00,74434000000.00,89256000000.00,83707000000.00,79824000000.00,60415000000.00,82592000000.00,65968000000.00,69309000000.00,97450000000.00,50172000000.00,67070000000.00,87212000000.00,76636000000.00,104189000000.00,69267000000.00,46360000000.00,45841000000.00,48567000000.00,44582000000.00,47292000000.00,27241000000.00,22833000000.00,36031000000.00,51658000000.00,65426000000.00,17402000000.00,26320000000.00,18452000000.00,8447000000.00,8035000000.00,2116000000.00,3473000000.00,3548000000.00,556000000.00,1336000000.00,950000000.00,4468000000.00,2503000000.00,1397000000.00,993000000.00,304000000.00,459000000.00,532000000.00,1078000000.00,1192000000.00,660000000.00,1101000000.00,1686000000.00,1727000000.00,361000000.00,131000000.00,0,0,0,32619740.00,533000000.00,0,1084400000.00,3865520000.00,0.0
4,交易性金融资产,961073000000.00,910739000000.00,854814000000.00,850743000000.00,824939000000.00,767422000000.00,774932000000.00,700759000000.00,141250000000.00,143506000000.00,146574000000.00,139129000000.00,153963000000.00,100256000000.00,120226000000.00,101815000000.00,73402000000.00,49881000000.00,65266000000.00,66949000000.00,51215000000.00,48238000000.00,55664000000.00,59145000000.00,30253000000.00,38555000000.00,39127000000.00,30418000000.00,27755000000.00,28199000000.00,24825000000.00,22197000000.00,29880000000.00,30845000000.00,30498000000.00,31014000000.00,30664000000.00,38772000000.00,30471000000.00,24978000000.00,29126000000.00,60365000000.00,69785000000.00,51383000000.00,65486000000.00,69635000000.00,76070000000.00,68924000000.00,84938000000.00,64585000000.00,73436000000.00,97514000000.00,44003000000.00,18245000000.00,16533000000.00,4099000000.00,5991000000.00,7788819782.00,3532262413.00,8891000000.00,22008830000.00,341240000.00,234470000.00,0.0
5,衍生金融资产,18957000000.00,24027000000.00,17955000000.00,20079000000.00,21911000000.00,26309000000.00,21853000000.00,19607000000.00,16192000000.00,6376000000.00,5970000000.00,4270000000.00,8836000000.00,5929000000.00,11707000000.00,7816000000.00,8272000000.00,5528000000.00,5133000000.00,5773000000.00,4311000000.00,4912000000.00,2760000000.00,3696000000.00,3402000000.00,1379000000.00,1077000000.00,914000000.00,972000000.00,695000000.00,803000000.00,524000000.00,818000000.00,633000000.00,20000000.00,11000000.00,6000000.00,10000000.00,6000000.00,11000000.00,9000000.00,5000000.00,6000000.00,14000000.00,17000000.00,32000000.00,127000000.00,19000000.00,177000000.00,17000000.00,16000000.00,21000000.00,21000000.00,0,0,0,0,0,0,0,0,0,0,0.0
6,买入返售金融资产,96457000000.00,60797000000.00,42732000000.00,119375000000.00,92951000000.00,56339000000.00,122890000000.00,154404000000.00,99296000000.00,53831000000.00,24116000000.00,79333000000.00,65657000000.00,74605000000.00,86315000000.00,70240000000.00,142050000000.00,276515000000.00,334710000000.00,207429000000.00,197177000000.00,217723000000.00,305445000000.00,370502000000.00,298080000000.00,263979000000.00,319376000000.00,353409000000.00,190788000000.00,141050000000.00,121170000000.00,41436000000.00,37312000000.00,76031000000.00,25742000000.00,19115000000.00,16759000000.00,5052000000.00,18943000000.00,28280000000.00,14748000000.00,17914000000.00,25378000000.00,7707000000.00,13084000000.00,7562000000.00,8911000000.00,11126000000.00,36457000000.00,18650000000.00,12854000000.00,3965000000.00,7251000000.00,850000000.00,0,0,2968000000.00,9348752463.00,6019964969.00,0,0,0,0,0.0
7,应收保费,82416000000.00,78654000000.00,76238000000.00,74399000000.00,67150000000.00,63880000000.00,61161000000.00,56622000000.00,45694000000.00,43632000000.00,42381000000.00,39541000000.00,35325000000.00,34864000000.00,33495000000.00,33113000000.00,34072000000.00,36754000000.00,36310000000.00,33735000000.00,30740000000.00,27762000000.00,25910000000.00,26060000000.00,24205000000.00,19806000000.00,19064000000.00,20242000000.00,18756000000.00,15518000000.00,14217000000.00,12629000000.00,12089000000.00,9021000000.00,8275000000.00,7623000000.00,6298000000.00,4954000000.00,5784000000.00,5461000000.00,4576000000.00,4572000000.00,5699000000.00,5093000000.00,4554000000.00,5166000000.00,6377000000.00,5761000000.00,4568000000.00,4328000000.00,5307000000.00,3459000000.00,3073000000.00,3137000000.00,749000000.00,617000000.00,439000000.00,557414946.00,466978393.00,405000000.00,330880000.00,317680000.00,346710000.00,0.0
8,应收利息,0,0,0,0,0,56480000000.00,51616000000.00,52792000000.00,51900000000.00,52328000000.00,48055000000.00,47801000000.00,44950000000.00,46012000000.00,42579000000.00,42780000000.00,40688000000.00,40606000000.00,35898000000.00,36035000000.00,35387000000.00,36905000000.00,33211000000.00,31677000000.00,28949000000.00,34249000000.00,32730000000.00,32478000000.00,28668000000.00,27890000000.00,27111000000.00,26626000000.00,22735000000.00,21659000000.00,18017000000.00,17156000000.00,14179000000.00,13751000000.00,12694000000.00,11376000000.00,9268000000.00,9127000000.00,8471000000.00,7655000000.00,6931000000.00,7264000000.00,6011000000.00,5169000000.00,4187000000.00,5044000000.00,4716000000.00,4021000000.00,3249000000.00,1931000000.00,438000000.00,718000000.00,579000000.00,572964127.00,125257015.00,279000000.00,0,57900000.00,58870000.00,0.0
