,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20150930,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
32,固定资产及清理(合计),915713689.38,939225157.18,946805258.00,958794169.49,869868466.15,671021514.14,656002985.32,660823026.61,666590123.97,0,518100029.61,0,514661286.16,0,440786747.15,0,0,0,0,0,0,0.0
33,固定资产净额,863948442.81,0,899085892.49,0,826707665.20,671021514.14,614753761.89,614755966.75,621700893.77,594184172.58,477374102.22,471228063.98,475105622.58,397547745.56,404286523.06,342489207.99,229321028.11,182825332.18,172746529.82,171382341.13,172916278.42,0.0
34,固定资产清理,51765246.57,0,47719365.51,0,43160800.95,0,41249223.43,46067059.86,44889230.20,41319015.64,40725927.39,40121443.93,39555663.58,39511523.34,36500224.09,30096112.13,14161997.01,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,366190360.13,337686890.79,339627377.07,341559042.73,343492800.10,181678567.86,155175035.76,154217536.49,152008926.46,149386964.81,142178579.85,143008797.68,141062219.81,138741648.57,139447786.80,176977239.53,178145182.10,181280827.96,175082659.41,139336590.86,108726770.92,0.0
40,开发支出,0,13712931.51,8981400.52,5844217.12,3245615.71,4026558.26,1625506.32,2560320.07,1716105.52,2081385.77,1276066.84,1146952.36,838339.68,0,145493.78,0,0,0,0,0,0,0.0
41,商誉,730376677.04,356390495.44,356390495.44,356390495.44,356390495.44,3215034.78,3215034.78,3215034.78,3215034.78,3215034.78,3215034.78,2292681.82,2292681.82,2292681.82,2292681.82,2292681.82,2292681.82,2292681.82,2292681.82,0,0,0.0
42,长期待摊费用,23933673.96,21580556.14,19539178.14,19543381.28,19367885.92,5029005.15,3646254.87,3945109.02,3897472.07,4010825.73,4083112.36,4067634.71,3908002.08,3977158.60,4009742.76,3673648.64,3669663.19,4986160.13,2672924.29,1552000.00,0,0.0
43,递延所得税资产,31103591.15,18227295.68,18495217.41,20962571.68,21114743.76,12061840.64,12061500.42,14109449.38,13700504.02,11337036.62,11222502.40,12256433.78,12256433.78,12621881.52,12108933.93,14399879.14,12511730.16,12955766.64,9002350.71,6010576.99,4826659.34,0.0
44,其他非流动资产,55925203.17,46707341.61,24052982.11,17243280.00,17703955.26,32663765.20,50562452.27,97543298.49,84984587.10,72544106.00,39941213.00,5138036.00,12497475.54,17221522.91,7981755.50,13496770.50,31391443.50,9853003.00,0,0,0,0.0
