,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,4945034166.23,4707531693.94,4964250052.75,4970961510.09,4840794116.50,4346187439.61,4810575061.53,4226069135.28,3221625623.96,3604584850.52,3247677640.17,3209858533.05,3078029004.44,1953090008.17,1392679071.85,1274862356.87,1080147167.17,1076802833.58,1112574165.37,985903076.22,1148564529.18,2077629298.40,1066098753.30,1101752486.35,850920627.38,634686457.24,597305757.28,881244950.53,842449086.35,502867181.94,611971589.93,638631672.04,1040560491.93,1002941101.64,1303193442.31,1104747191.87,718829899.84,780500330.24,753478004.35,898627419.96,407211302.97,552939094.02,436105208.18,257270746.39,437613394.98,495894988.86,328685117.17,329714093.91,729005335.38,292592285.86,391663851.91,453535074.93,486466520.96,510076094.71,417680560.27,535322454.19,515853797.40,535277475.49,524646560.84,548641348.35,485931341.00,139859213.06,72797699.21,29523741.33,53310451.76,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2297156520.04,2129187607.80,2101483795.99,1975408072.00,2226091820.72,2235466502.10,2056452278.05,2174017624.59,0,2355191497.20,0,1913754359.63,0,1419217551.15,1849084872.33,0,2099504410.99,1859902084.45,2174869701.93,0,0,0,0,2162311323.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,2089407812.73,1933517233.71,1846384126.40,1816816003.25,1977820677.28,2017158323.51,1837662607.60,1985664154.34,2366190078.12,2079641913.65,2090423584.05,1630393841.62,915043811.69,958390837.16,1273873677.35,1301698463.45,1356888363.11,1170774764.52,1572095237.08,2021843864.85,1782789410.00,1290832299.72,1315611078.45,1886620018.65,2211662431.71,1436270305.03,1601070303.72,1961131397.37,1930612137.29,2300357922.44,2179623525.06,1853418680.17,2156241151.71,2298160577.44,1899833105.22,1796533693.10,2268581867.71,1864341826.12,1443257930.26,1006542667.75,1430634788.37,618343704.13,625664377.90,557049644.89,390390267.00,350252481.42,368554578.43,282265588.28,328662148.01,264480869.47,256603672.58,218103318.77,203633406.00,153066960.00,204860016.96,258729790.31,167087158.62,171332000.00,102903375.00,74303867.60,81214817.60,67014869.50,91838771.64,45510611.76,21414403.96,0.0
7,应收账款,207748707.31,195670374.09,255099669.59,158592068.75,248271143.44,218308178.59,218789670.45,188353470.25,251425441.58,275549583.55,357267887.84,283360518.01,342493880.18,460826713.99,575211194.98,593335088.82,742616047.88,689127319.93,602774464.85,421205803.98,755218419.98,867217297.13,809144616.90,275691305.07,531437966.05,697285811.05,710332862.48,232292247.32,459086111.92,316474452.63,241218346.06,118389595.77,90121366.46,59060289.05,257145453.86,111519502.20,119624534.04,113200337.03,190046129.21,160505842.66,196244643.16,315416492.45,296777848.22,189800317.62,32961707.92,31076876.06,28720016.07,40637607.68,62891629.42,83811698.15,54722113.16,28720415.74,44378219.91,54606854.34,31152390.70,38293270.21,56444951.37,44466438.50,44881983.24,28218936.92,28239693.19,13291560.45,11690175.09,19644888.26,20731863.10,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
