,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,3265788514.92,3653205215.53,2534496245.03,2423840714.28,2685790145.99,2730926146.71,1647354455.03,1837955343.80,2154146187.67,2308291484.92,2938872933.02,1210024355.42,1251605440.72,1241167492.86,1264490301.82,792094109.18,1241649839.26,89304078.18,90354379.42,145694614.66,94676934.37,101929399.95,127598260.31,182791297.97,94874041.66,115748412.80,143681799.04,185268009.58,97441466.07,160755534.64,105759978.40,169317767.38,127506473.00,140221525.76,178579923.77,178060638.03,159266440.09,178713701.73,205478217.32,182041427.88,139250742.06,106278022.51,101464652.59,140978960.85,127705686.47,112701514.70,133668973.43,99492994.58,72120820.97,78811363.55,82475670.85,110646147.97,69015921.97,79661911.58,189532877.69,93463900.91,87873299.17,54392693.97,54492679.28,88955729.68,61569060.23,63176420.51,77780175.09,91797881.00,107903428.64,149856953.97,144855578.50,127845814.00,111352472.99,158001931.45,174266094.08,221968887.00,176111852.02,164387852.49,151396404.00,114772863.23,134842001.71,76613470.96,104565210.43,127409226.46,172994242.79,0,92618680.23,0,91691777.84,0,156029000.00,0,55554217.23,0,0,0,0,0.0
3,交易性金融资产,151959660.89,503672140.01,591953780.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29210.00,1014000.00,0,0,36990.00,0,4250.00,56640.00,2082080.00,579295.16,618836.73,400147.95,1229196.56,211186.73,1159747.63,959943.57,1304432.17,944779.09,1734603.72,574740.00,49275.23,12311.91,304830.23,519715.00,683054.47,676983.33,2706555.06,571640.00,2135163.12,2164781.05,740587.00,2353542.33,1862475.32,1299555.24,1924235.03,35372663.61,1576972.75,0,1998192.02,0,2322683.71,0,50938000.00,0,7000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,494757624.52,469168359.03,488445543.23,442212316.08,410837244.87,359712261.57,351261845.33,272862877.58,0,220194483.80,0,165208057.18,0,97156671.60,0,0,118414903.01,619323216.36,565984357.26,0,695503807.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,7395921.16,0,0,0,0,0,0,0,120000.00,550000.00,550000.00,0,0,0,250000.00,400000.00,23692050.24,24595631.37,22991358.59,75653063.58,84769500.02,65579982.55,84983115.49,86341773.22,80411251.64,96197823.63,94346231.63,17531184.77,17501710.27,24662112.30,34032627.57,20563300.51,27529524.27,15510280.08,19956018.82,11710986.25,10134586.80,14745066.20,32313812.25,13204180.61,13148635.19,14225800.25,23430259.11,14283909.36,12177132.45,17904818.62,28051124.70,7584850.73,6723209.30,9681258.00,15372987.04,4617660.00,3597117.00,1814800.00,4467190.31,4385201.40,4214604.50,4061001.00,4431669.00,2222962.20,2403882.31,3328267.27,8787120.00,5068851.90,10470570.22,9160243.58,8597243.00,7767842.58,9227057.15,7467404.61,8827099.00,8809501.91,11102962.92,4403455.00,6128530.35,8576807.00,10527462.88,15176336.91,36476806.24,33754005.00,0,7230368.93,0,6215719.57,0,0,0,7111978.59,0,0,0,0,0.0
7,应收账款,494757624.52,461772437.87,488445543.23,442212316.08,410837244.87,359712261.57,351261845.33,272862877.58,136984677.40,220074483.80,228682804.10,164658057.18,43381820.30,97156671.60,94551214.35,109290092.65,118014903.01,595631166.12,541388725.89,496129838.66,619850743.79,579373834.54,569093941.95,504872355.64,583682146.02,571075941.32,536026465.36,513058256.98,541846014.79,532026001.57,528561276.49,494708042.61,573512182.80,535801932.31,511303827.84,453899372.04,521771840.35,483057321.71,465632594.50,435934262.01,440630496.40,414117741.29,364978390.78,350456288.42,365138356.33,365680808.49,347825235.80,297901372.02,357971334.93,306844156.15,277487456.82,272018091.29,345671189.75,324073478.37,336845735.14,260999826.14,267745340.31,257796967.66,277792539.15,213320773.90,224647657.49,206253631.73,217761196.26,193446506.00,194806335.85,208114506.21,334891190.79,295363326.00,199328240.99,178045836.05,184190780.58,169188948.00,178767496.48,199016756.86,183357238.00,546855423.18,534421233.12,606971899.90,536331448.84,533639192.40,465506762.43,0,434153447.95,0,396998512.63,0,0,0,209897336.61,0,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,25167048.86,51941351.23,57630572.05,38581864.53,61419539.65,80756754.87,138274837.89,25856947.90,543827601.61,375536624.54,159016218.05,134411969.75,31997544.30,7907685.47,4732264.35,4101035.30,38326128.89,56456586.30,61610033.95,59481230.54,81671840.60,95650309.56,96784661.77,75287169.44,89092212.93,111331051.07,67681826.30,71386097.19,72504890.72,93688407.21,83910688.57,99893497.41,84126517.06,74149811.73,63914950.61,69820701.88,96162389.39,97440697.55,86777817.01,73233778.49,85671435.22,90647677.94,58963772.09,66122624.95,96066973.66,78251271.66,73666443.01,59701760.63,62232807.72,65625791.92,62473745.42,89563571.54,40219300.92,52857875.97,88148362.39,103211919.94,69470692.75,56512609.04,65914290.63,41100539.94,39424316.12,41201042.38,50318191.57,26450570.00,11243233.69,15131328.32,31859763.94,31665828.00,27246126.30,11844107.20,19462209.95,21050102.00,16857759.20,20254608.53,65411056.00,5848562.98,19758858.46,38695674.97,38176850.11,113422383.75,129293187.81,0,109289741.18,0,127862513.73,0,0,0,25604006.71,0,0,0,0,0.0
