,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,382980852.14,543765141.22,361359815.87,840816325.23,285408767.32,573980697.97,331523378.40,495506981.87,808459160.77,342558563.29,354284894.02,1065650656.15,347753153.36,334745212.08,300417743.31,703280238.83,328975348.41,312391421.27,331939380.03,389855439.39,388462579.46,513148727.87,546599839.94,954124902.23,142915970.71,209619000.79,366159389.09,543323955.23,172578686.98,414894308.29,504997907.84,750639835.54,260680999.49,382448859.74,717126086.34,908619962.59,57996742.51,153381654.45,291165336.24,470726119.86,40010204.24,115253123.13,87688321.41,216273320.63,53217984.31,90208950.02,68219779.99,107166148.56,45529453.61,45008568.58,69330489.12,263420918.02,56990111.28,72687748.28,53736322.76,87217240.05,61949970.78,54178856.15,56824699.61,63393043.46,57089445.27,89659449.19,72531454.05,79504115.36,54130187.74,68544160.15,62864290.58,44925907.15,64845538.74,81720940.58,92358207.16,137297622.76,178317406.05,206702344.88,161464724.83,169378005.69,156267777.89,433501151.04,51436061.16,26151145.92,20102776.94,0.0
3,交易性金融资产,0,0,0,0,0,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,8665.00,11275.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,11605.00,28105.00,28105.00,28105.00,30014605.00,0,0,0,10000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,869678954.06,759109612.83,663478250.27,366914364.59,803925807.37,543395330.09,469724990.07,268260781.16,0,557642628.31,0,206021670.36,0,656370504.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,82408875.30,113740789.89,121652692.28,106511770.58,26366195.27,25870342.72,16039944.54,35418754.61,11945600.12,17861997.18,8765998.00,18412869.90,9864544.40,10157800.00,10215965.00,27476032.20,10814120.00,9751621.60,15819219.30,27669487.55,10024312.84,16441736.00,17947830.84,18611285.90,17630681.80,22720000.00,2628000.00,3928675.00,400000.00,2678300.00,1480000.00,21988200.00,460000.00,1304500.00,1161500.00,1697700.00,450000.00,1650000.00,0,0,78625.00,250000.00,2307000.00,642000.00,985600.00,2540000.00,8667850.00,10029853.20,6294640.00,2000000.00,900000.00,1595146.00,315000.00,19494325.00,3070424.00,9426887.63,13308005.05,11870921.05,17462659.90,14073884.61,6977304.82,3800000.00,5743450.44,6550000.00,4662200.00,1462200.00,0,1280000.00,940000.00,664000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,787270078.76,645368822.94,541825557.99,260402594.01,777559612.10,517524987.37,453685045.53,232842026.55,776786053.49,539780631.13,485616603.82,187608800.46,807311210.93,646212704.37,586191195.54,196661989.71,909588997.10,675724490.33,600543525.23,242371632.37,852457546.74,684073337.27,738467841.55,404427977.57,1027837979.65,774537847.46,644425595.78,359958224.75,985971832.54,621214906.32,488583442.48,146486716.71,916976871.64,681283511.92,505460645.04,199523049.62,1052857071.39,811998719.60,529383946.88,338429215.28,741062869.35,501126100.70,355618894.53,93399153.76,656036994.50,489472233.26,366966461.36,154572984.11,558306929.75,347719185.42,259352394.51,132107122.44,610975214.24,418528601.51,318379679.26,212277811.73,554080604.13,439215741.51,381652331.69,235246746.74,475175205.60,417888628.05,353969826.99,226959832.62,404945343.17,361636389.02,344153451.50,293764976.53,409850660.53,302799135.46,338363144.17,273384971.79,378507618.25,270810356.69,314727178.48,238255873.48,313736822.28,154615801.43,105524440.45,93326351.32,56879402.14,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
