,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,6587793000.00,8921380000.00,9250602000.00,7884467000.00,6678125000.00,7263873000.00,6776856000.00,8086296000.00,7482162000.00,6835377000.00,6532811000.00,5295014000.00,6463739000.00,7321470000.00,8560940000.00,9542253000.00,9584650000.00,13825787000.00,6233631000.00,7277315000.00,5524452000.00,7069301000.00,5695862000.00,7419415000.00,2953299000.00,4845767000.00,4597031000.00,4040460000.00,3102559000.00,4616470000.00,4716677000.00,8808219000.00,2482816000.00,5088622000.00,4938998000.00,5074313000.00,1266436000.00,1709253000.00,1819590000.00,1805125000.00,1243806000.00,1775166000.00,1987214000.00,2889194000.00,1874096000.00,4500737000.00,2713820000.00,1459879000.00,1393239000.00,949582000.00,770188000.00,962786000.00,1283980000.00,605737000.00,735215000.00,719084000.00,845642000.00,1067900000.00,1200141000.00,1857540000.00,1270879000.00,1214934000.00,589871000.00,1055857000.00,2527362000.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,12261884000.00,10969453000.00,10663085000.00,10343768000.00,10670383000.00,10124136000.00,10105317000.00,10494007000.00,10511497000.00,0,0,7551192000.00,0,0,7493757000.00,0,0,0,0,0,0,0,0,0,8402725000.00,0,0,0,7248126000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,1645555000.00,1222701000.00,1180815000.00,1023480000.00,1132474000.00,0,0,1605233000.00,1348677000.00,921159000.00,1291940000.00,1075646000.00,1177119000.00,721793000.00,1346069000.00,1594293000.00,1478010000.00,1203427000.00,897197000.00,1561564000.00,1456480000.00,1017718000.00,1294838000.00,1538294000.00,1054155000.00,548799000.00,609363000.00,1029789000.00,634417000.00,289245000.00,243749000.00,379535000.00,315651000.00,407226000.00,427621000.00,367993000.00,118623000.00,90260000.00,105164000.00,315051000.00,324616000.00,66578000.00,71096000.00,86731000.00,19106000.00,157657000.00,185310000.00,211491000.00,271011000.00,17093000.00,8604000.00,6576000.00,8551000.00,28215000.00,0,16420000.00,6475000.00,15684000.00,9442000.00,21645000.00,49633000.00,0,0,0,0,0.0
7,应收账款,10616329000.00,9746752000.00,9482270000.00,9320288000.00,9537909000.00,0,0,8888774000.00,9162820000.00,7637962000.00,6309760000.00,6475546000.00,6077765000.00,7326511000.00,6147688000.00,6768479000.00,7901918000.00,6276914000.00,6067663000.00,6074140000.00,7497637000.00,6515573000.00,6782115000.00,7308375000.00,7348570000.00,6411639000.00,5663246000.00,6833586000.00,6613709000.00,4850900000.00,5064624000.00,5968429000.00,4925610000.00,3844147000.00,4141373000.00,4873941000.00,3862051000.00,2915126000.00,3461676000.00,3484203000.00,3258610000.00,2567389000.00,3192862000.00,2839592000.00,1950192000.00,2232722000.00,1916258000.00,2273687000.00,1691300000.00,1284912000.00,1379355000.00,1658321000.00,1566553000.00,1401514000.00,1476014000.00,1561895000.00,1256857000.00,1277975000.00,1383232000.00,1438756000.00,1000862000.00,777700000.00,835677000.00,472708000.00,429760000.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
