,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,7734948210.26,7570300546.84,7055470795.98,7102589101.27,7070308704.75,530897773.88,468287526.00,882443673.34,818193679.32,874564296.60,593542501.41,731754432.58,426036702.87,458277511.84,405872026.99,668171726.50,683138123.66,425584598.29,308172676.22,529158542.09,468635486.47,760968286.61,782831116.07,837282189.15,715539516.48,499600012.00,623420560.00,349008365.00,314855568.00,295410729.00,790131255.00,562412735.00,478788943.00,482482614.00,923185625.00,932643471.00,781720083.00,724161591.00,1108008730.00,830182520.00,741096267.00,474833677.00,594205455.00,610473798.00,641475910.00,408086595.00,796356248.00,620941116.00,781587534.00,369975913.00,421777239.00,276670480.00,168722871.00,153641396.00,131701748.00,97940294.00,143257200.00,82934839.00,127916000.00,228001903.00,92281073.00,60786792.00,62320985.00,72748793.00,42718254.00,52023710.00,69537653.00,75716285.47,55729865.00,80402599.00,106865698.00,91114437.38,162170168.00,177255609.42,152643907.00,194427179.78,118893676.98,117340441.64,157031329.07,123240234.27,110609870.43,0,202297619.41,0,305085731.76,0,198789128.72,0,190122340.11,0.0
3,交易性金融资产,0,0,0,1903946.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064869.00,0,0,40000000.00,0,0,0,100000000.00,100000000.00,100000000.00,100000000.00,0,0,0,0,25518739.91,19162899.00,0,0,0,0,0,0,0,0,0,0,0,10000000.00,0,9135000.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1394652379.92,2183965222.96,2056980485.39,1823381118.25,1120839172.51,339591293.78,307047142.75,324892482.00,257581961.83,0,243504003.91,0,174434496.63,0,243822948.05,0,192343564.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,38192250.02,183280331.85,230573402.76,182523102.29,11608669.43,0,0,0,500000.00,900000.00,0,500000.00,500000.00,0,700000.00,2227000.00,3327000.00,1870000.00,0,2000000.00,2500000.00,3706070.00,5406070.00,300000.00,200000.00,1485000.00,10150000.00,100000.00,1680000.00,0,1700000.00,1700000.00,0,0,0,1800000.00,4640000.00,0,6500000.00,4700000.00,0,0,0,0,7846264.00,0,0,4329725.00,1167600.00,2562000.00,1955600.00,4487801.00,1650444.00,0,2240000.00,4004860.00,3322000.00,7166869.00,0,1750000.00,1950000.00,5827498.00,942925.00,0,114890.00,0,0,150000.00,800000.00,1350000.00,1170000.00,920000.00,1030000.00,2000000.00,750000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,1356460129.90,2000684891.11,1826407082.63,1640858015.96,1109230503.08,339591293.78,307047142.75,324892482.00,257081961.83,357777879.12,243504003.91,213653061.89,173934496.63,268506909.40,243122948.05,265387429.70,189016564.86,253623300.78,232985841.73,212095324.06,203641944.62,288961474.75,288204328.27,215972940.10,223441476.99,266281704.00,304218482.00,286440280.00,251420961.00,273595460.00,235817902.00,239650018.00,230797003.00,221755440.00,246557343.00,196624159.00,179772755.00,255516053.00,246378085.00,244593343.00,209177364.00,264636974.00,200894232.00,158431178.00,145675880.00,236699145.00,233871656.00,209399783.00,217005190.00,297176801.00,241913167.00,275183525.00,240323715.00,313050815.00,271549219.00,265356288.00,235594322.00,263974279.00,287730990.00,249570137.00,224481675.00,246288443.00,240923521.00,218371183.00,178197639.00,179218261.00,153555646.00,145864072.80,125981417.00,138936096.00,119361837.00,147624686.17,108275889.00,86627485.94,99267444.00,141261513.55,106528018.46,102579846.12,75357103.34,96344449.13,81701413.56,0,72498858.51,0,39984165.17,0,29042254.66,0,84915621.45,0.0
8,应收款项融资,260760537.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
