,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,其他应收款(合计),41275063.03,52791595.85,55132989.67,59208084.75,57962776.95,82529558.42,99438000.29,80173146.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,52791595.85,0,59208084.75,57962776.95,82529558.42,99438000.29,80173146.55,85245697.32,35400737.90,30566070.98,11774898.40,13027155.13,13348860.86,10776716.08,9254291.24,18912532.85,10153269.27,10305666.23,7390701.63,16642927.37,12987957.72,11829416.98,11382321.26,24865209.59,18186480.30,21924628.98,9863024.17,16582744.40,11497427.58,13659249.82,8311238.99,12175037.20,12975883.38,27131479.43,12683190.82,12669359.35,9643901.00,18137938.02,12008185.12,14492687.65,7555734.56,4710597.52,6539105.82,4156672.80,9731152.39,1749913.69,353933.58,18727496.13,12382936.36,12700155.29,12685743.27,8811074.18,6751649.73,15134914.96,4200223.11,495879.10,1141372.30,490600.80,564914.80,495403.90,666908.30,309037.30,295991.30,149022.85,873750.12,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,308295666.26,246044349.76,262251914.45,310524828.35,240752285.83,186510294.50,187123403.85,119569545.40,179116582.33,142237577.84,166919078.93,1297130.41,1978651.37,1890730.98,2430825.32,2094786.66,2226448.21,2247035.07,2375436.31,982129.54,0,0,0,0,0,0,0,0,0,0,0,0,35750.58,35750.58,35750.58,35750.58,0,20780.00,20780.00,20780.00,7400.00,0,0,0,0,2447.20,7137.20,4291.70,19795.71,19795.71,19795.71,19795.71,48407.00,116047.00,0,0,0,0,0,0,0,0,0,0,109290.97,137883.32,0.0
16,划分为持有待售的资产,77297886.17,0,0,0,0,0,0,0,0,91111310.81,91111310.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,6905620.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458542.51,538662.70,424273.53,409233.90,371735.75,333428.74,197820.16,212114.79,244569.96,234289.73,165265.93,104292.35,195315.52,238439.56,123279.33,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,83487921.12,70043294.88,80006273.07,89999534.97,56633060.13,65669335.01,63285025.68,144499890.29,184702083.25,175969635.54,49519894.21,700000.00,0,0,0,12986575.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387.81,9962.99,0,0,237504.35,415601.78,592890.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,1770042234.90,1448325982.83,1806653383.40,2037016625.41,1674821772.40,1612356725.86,1570700131.81,1399940613.14,1480215918.43,1510445717.73,1640562992.12,561370343.92,762274299.33,383453213.99,390720477.83,391011733.19,514017352.42,740661356.03,536472717.83,555031055.92,1044821065.46,1822438756.00,1111241553.71,1358117316.03,1595597441.93,1844203506.71,1849922568.75,2188816618.46,2564619434.55,2873762103.56,2535692102.15,1252678630.86,1212184591.09,1550493565.54,1270156264.51,1110203063.45,819085994.82,793258471.79,863365679.15,593735330.92,504224325.87,406267313.14,407673982.36,230214305.52,149081609.20,183199822.39,180070657.59,98074444.66,208959148.25,280204902.22,219781559.59,157736301.05,264895798.06,276328585.47,235554633.26,183484894.81,158509135.88,247106733.39,283656682.32,263511086.69,1113133139.21,1096259813.61,1079762561.08,227874563.22,192908248.40,86499591.94,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
