,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,755936326.72,715057785.62,679073257.07,577832554.07,603433848.86,417143634.18,320800100.45,298747941.35,233324115.93,266268658.17,189617288.48,246723845.40,264865628.91,218715456.75,194315779.22,158189598.51,206744497.82,160122132.97,188179920.44,167924544.07,270181117.98,154434801.21,108384643.01,166244110.49,262842666.23,144423488.70,176912229.83,76874422.98,98202257.40,229840814.77,149024288.55,222993190.68,326356259.20,360971792.99,512450318.44,663288152.50,233331179.85,351334378.09,368757711.75,517051007.60,573090325.72,604751576.84,591623478.68,797431625.88,745160611.30,552673222.63,600675849.99,963421374.10,1142450453.34,396859056.91,325146753.35,388597817.59,393078721.65,287040695.81,257544896.62,227181018.10,254416735.06,221663085.85,380333191.33,163267494.20,154684830.99,120731633.92,94013065.43,77066967.02,89279528.92,40887989.71,40595280.07,72296665.84,58761282.52,49149732.56,95429234.68,114756131.70,128758380.00,148921560.89,92067549.50,45196020.16,184514422.99,48970571.83,43362741.82,12821085.60,85492433.29,0,11154982.98,8443363.00,7887961.00,5074102.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000.00,40000000.00,50000000.00,50000000.00,50000000.00,50000000.00,0,0,0,0,0,0,0,30000000.00,230000000.00,84614807.50,9614807.50,60000000.00,47300000.00,46853750.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,313359146.01,333947590.84,309283272.89,434639755.10,392722376.52,197861490.38,158563029.11,168977146.77,136359192.57,0,91765623.18,83337228.68,102924440.40,0,31724766.09,0,0,0,0,0,0,0,0,0,0,0,0,0,79598771.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,5500000.00,31837858.82,59437858.82,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1060000.00,1060000.00,0,30600000.00,5605000.00,10005000.00,5852233.32,852233.32,0,0,0,0,0,0,1300000.00,7800000.00,0,0,23869000.00,1550000.00,3837607.80,17952000.00,5277766.00,2990000.00,5351612.06,15449146.80,8458665.67,28285135.00,3543425.94,23421950.00,2256205.00,7646767.00,1594960.00,0,1961950.00,3414917.00,5190000.00,2929923.00,259750.00,0,0,0,0,0,130000.00,590000.00,560000.00,695000.00,500000.00,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,313359146.01,333947590.84,303783272.89,402801896.28,333284517.70,197861490.38,158563029.11,168977146.77,136359192.57,141376490.53,91765623.18,83337228.68,102924440.40,27758363.34,31724766.09,19975539.37,29860648.87,63039711.60,65908504.94,105580924.75,75401443.55,94918967.49,103113268.70,77758195.67,67773894.95,121644071.22,98708151.50,75645301.67,78538771.62,60349165.50,93709225.82,65544411.56,55230999.89,94495149.39,37019954.69,97844624.55,65333757.74,54664787.81,45848232.64,62776592.09,28842062.66,52066893.70,6195545.18,14531609.49,44551015.73,59711779.88,57435317.34,65803689.73,74141688.32,85016981.96,81950653.27,81211718.84,82140983.66,99370943.70,110374576.25,88727289.10,80691599.66,72234066.84,75902389.43,66780475.35,69258874.99,76896743.31,52065462.25,84073287.51,47326014.50,55000227.18,20563948.28,40351083.78,26088600.14,38297397.75,51821526.20,45667001.28,68685976.46,48879230.31,33607674.75,48321396.50,38898708.30,61881982.28,49862953.13,78346752.84,48561775.40,0,23525773.21,11135319.00,16622983.00,9435066.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
