,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,953918408.10,1000502735.72,932855085.05,736726027.19,517908047.56,713625186.53,645134194.73,599756496.48,536767364.11,649374425.16,567676157.96,588100162.38,622493186.98,474985988.21,485386914.73,291977497.70,281574725.76,249085339.32,259744638.80,257823089.09,171600370.72,276281097.80,205230741.78,304371389.02,259347535.15,219556728.65,226086887.20,222170142.12,355276229.52,251932628.61,192377936.50,147619509.26,88408690.21,194600125.78,176128269.79,151694406.24,105604928.73,68662388.85,126824944.54,91149897.19,101655496.56,146149250.95,153395277.76,99374974.86,108080437.63,182729563.32,177131763.15,90990525.26,101215996.32,146728439.09,162781565.20,115103551.86,127456034.61,201549735.36,380338104.39,158882172.20,157491358.45,127546475.06,158566463.85,127254018.52,371144094.28,253035582.16,330928823.65,207399879.07,117153549.35,182123819.94,218768830.54,269781578.22,357027717.29,285992279.17,89151099.67,120331263.17,96298675.56,160631629.82,171569794.57,107293559.75,163882735.86,182266329.81,26384120.48,7620385.78,14752378.76,29817456.16,0,18951306.54,5578977.49,11558193.90,0.0
3,交易性金融资产,396000000.00,296000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12390300.00,16136357.00,11451972.00,9863000.00,8214678.92,0,0,0,0,11060693.38,7123508.33,8042758.00,702416.00,302010.00,302010.00,302010.00,302010.00,0,18789253.16,18789253.16,24789253.16,19764253.16,26264253.16,56287670.00,28287670.00,2155998.00,9856583.30,6694040.00,6485244.00,4500000.00,0,0,0,0,2834058.50,6658583.52,13409554.81,0,0,0,0,0,5108135.66,8298910.89,4606507.70,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,32335485.58,11428946.84,15331867.02,47475098.55,47446625.24,43800225.60,42734764.18,47463709.44,34660224.68,17226137.49,0,39196151.15,0,22492525.34,0,29969714.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,4648386.10,1648386.10,0,10290000.00,7817712.38,10825312.38,12507600.00,8500000.00,0,0,6561350.00,7640000.00,10850275.34,9924675.85,5628773.20,11000000.00,10500000.00,11844000.00,20743000.00,14547663.00,3622135.50,3622135.50,14055771.44,17602889.19,3955339.90,2550000.00,16369000.00,17102018.92,132018.92,0,0,6245800.00,0,9600000.00,10080000.00,5679391.00,0,0,16170040.17,15449099.35,8952902.57,13721186.75,11329214.64,24157916.04,11640401.94,10302626.80,1365685.94,3768658.61,4970646.00,9038310.14,3832439.06,1143000.00,2714395.18,6504778.42,3001899.42,5179109.00,7043638.98,8213453.53,0,3237212.42,2052429.87,6176616.00,5927734.98,1149500.00,1270423.80,1371673.40,2158400.00,2777200.00,854647.50,2450000.00,50000.00,1522000.00,1706000.00,1740000.00,0,4250000.00,800000.00,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,27687099.48,9780560.74,15331867.02,37185098.55,39628912.86,32974913.22,30227164.18,38963709.44,34660224.68,17226137.49,17765609.33,31556151.15,32816203.30,12567849.49,20293687.53,18969714.90,17210847.78,22121125.91,27020164.57,30314978.72,30258732.93,12954368.54,20260276.95,30120418.31,31018712.61,15187447.51,27935002.40,26495134.30,22461736.73,13594865.93,33178064.67,25028460.19,28340344.34,5243272.98,10219458.68,13483527.81,32299979.37,19576795.50,67927901.28,71844753.20,59932878.10,33449826.33,58999735.96,45896839.13,56728976.56,48044671.27,73658793.94,64707196.17,59603318.17,57759544.07,70256474.41,59879057.14,59724586.23,55597377.79,59379035.52,73981005.93,74437911.56,76569553.22,0,192261890.62,171582227.11,163573398.77,141149544.29,162711266.24,139570765.58,121848484.80,119122198.51,144041481.41,136086132.46,116177876.60,145213701.77,137216138.69,125398067.31,120147454.11,165010743.53,118030004.77,78770075.20,70118293.86,66325381.59,67034928.28,58812384.90,59688562.91,0,38265466.83,37576167.11,36565806.02,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
