,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1990517457.83,1310228114.18,1548736548.37,1894515991.09,2264646240.02,2109927496.55,1900523156.72,2314371936.66,2580978964.00,2411173926.24,2553824681.91,2690894601.27,2041084162.12,2819640145.22,3268592850.39,2263811807.18,1997113811.99,2352346654.48,2127223183.73,2550506395.22,3471059432.78,2080292985.86,2303772145.09,2215192730.33,1402682347.85,1691682641.37,1536557707.45,1633505661.28,1392642685.34,1350669882.55,1411785415.75,1350075728.14,1499357630.70,1478928441.40,1800982670.55,494192733.38,608850917.75,689413273.84,610281288.93,640536266.55,386784200.25,511556150.24,586258778.34,404494482.00,310152833.05,307743918.81,217941921.46,200009915.77,229312368.51,192664063.52,198221122.83,190356912.45,201129256.71,223986423.85,245638183.81,274197114.76,202874674.40,302963608.14,211471842.71,222530357.52,183842479.45,183972597.38,177856647.30,113441312.41,169500626.03,110892336.43,111681528.07,158688406.62,80462184.07,72699688.11,72938562.56,105258883.40,118785679.67,205649479.43,29734775.06,33611720.66,23440282.49,56242008.03,0.0
3,交易性金融资产,0,0,20173712.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225500.00,225500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71400.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62828409.64,62828409.64,64645119.64,64122900.00,95282619.64,94895430.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2299325966.31,2178753277.60,1892244575.95,1617243916.23,1679842408.99,2005979727.61,1747959186.01,1465619989.26,0,1900516368.75,0,1448391239.22,0,1651667921.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,128084284.67,158720501.84,95292070.76,144441984.58,144068352.02,263487307.53,133208678.43,172948773.89,203133915.18,190300485.37,148167367.53,170690538.34,156128197.51,253378114.67,206498992.92,233351674.20,124082363.29,136924037.26,144170055.97,210240290.80,158119180.89,237220748.51,184725929.99,284192744.02,191655665.98,145222636.28,113670472.93,189811974.83,247550391.93,136619091.98,130611157.76,131030758.77,207327204.39,132704863.32,144600572.56,122586834.94,94969271.17,113180355.77,109179067.70,113169551.93,81635933.21,75309300.35,70982233.25,110630014.45,43861062.29,49954099.79,37622639.28,34128605.43,20773693.30,42607958.65,53074749.13,49504913.69,34418826.21,41962825.91,13652575.88,17911655.38,7206727.82,10892849.60,5775423.00,2544000.00,12123068.15,4229970.60,21550933.99,44355380.62,20596316.81,14572800.00,8370000.00,650000.00,5165000.00,200000.00,3589640.00,2733900.50,1696000.00,1010000.00,730000.00,850000.00,0,100000.00,0.0
7,应收账款,2171241681.64,2020032775.76,1796952505.19,1472801931.65,1535774056.97,1742492420.08,1614750507.58,1292671215.37,1611237196.95,1710215883.38,1643130285.43,1277700700.88,1473863082.46,1398289806.93,1357705233.61,1075146631.67,1287037959.89,1401813915.19,1571247716.04,1461507202.56,1698807491.22,1324785948.77,1372945171.13,1126089532.81,1614305451.71,1323209922.88,1493744526.53,789184216.63,925303720.53,922983211.75,992432244.33,730772197.01,710824525.74,782051084.78,698215544.81,627167617.51,655129500.05,612538744.11,677990230.21,606328318.88,737168502.70,599182923.12,540583534.33,419792467.35,507489426.84,470153283.78,426644080.03,368828808.03,435191008.72,413828854.65,409653116.82,330105677.66,381926013.95,355626454.09,372079828.53,241330791.46,306885450.26,307441212.14,310533329.30,216720837.58,303607934.80,290814453.39,267110478.50,184059406.68,171164666.28,147904941.69,154822402.08,129840208.94,142515166.52,145770259.13,124625856.65,102988209.40,122196018.50,103276949.05,92137138.35,59049637.12,59114434.60,54043491.86,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,289424298.89,204895172.17,210279592.69,160867655.42,205980087.24,198062927.23,228870339.82,169150753.50,285417463.87,202571344.85,187716344.98,132991860.80,132017379.72,155813650.18,145102822.88,98450855.82,279018692.54,199126465.57,134854499.27,130347531.05,144586365.90,118039150.01,98984551.62,56186935.47,179033076.77,134467474.94,141486985.28,162362387.31,106709034.63,139390295.91,122462092.42,93027844.08,110995982.07,111343068.18,131301648.10,94625241.43,107820857.69,95938487.93,92686137.54,107044224.12,119858012.99,95489952.14,104754517.90,128006723.81,116000928.89,92663270.98,114123319.61,67065748.33,47201010.19,68427758.15,60425816.43,38416787.56,45465393.79,29957929.96,44116757.95,21047164.03,21802247.59,10291739.10,16764413.46,19514541.52,22005631.89,25746721.14,23028715.68,24235245.21,6107051.74,9506311.61,3366150.12,8217517.74,11194182.11,12773791.46,13363177.09,4084064.46,4403231.87,39481721.98,4389077.74,9453437.53,18311370.91,3734479.27,0.0
10,其他应收款(合计),1911758818.36,100572609.33,89847425.92,68661807.47,73891382.57,102665667.66,92710374.28,112568301.89,0,63894311.41,0,34247303.28,0,86144018.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
