,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,6524439675.99,7326345950.77,7723627351.17,6548304627.06,5100206815.11,4818694731.39,5620262208.27,6315745033.34,5145637244.40,5323698563.55,4803343773.00,3666243098.16,3178622664.11,3371906442.06,2460204337.28,3242319452.69,1638066358.35,1640273131.20,2013211288.24,2061823133.81,3019188813.44,989302510.18,630930855.67,895586003.02,815465268.17,744734505.02,889202923.55,1202796162.52,1030545279.57,1234441500.14,900319193.52,1100888501.44,1026958982.86,504161104.74,550378169.62,515717779.16,635297940.83,582265280.73,599314473.38,657332826.26,493310677.75,369730826.15,538986087.85,387189468.71,150214026.79,180811460.77,225487959.53,186472089.41,218720699.88,353198430.29,450228308.56,401319505.65,400351725.90,402303268.12,378854622.36,331739058.26,318586381.48,300469472.50,338958840.94,383978825.97,290759195.99,242150630.37,203442272.34,273415638.94,222987117.82,237111755.08,322561458.19,396106493.49,20587086.16,58890038.86,50136475.87,29557133.00,0.0
3,交易性金融资产,468799059.61,400768480.82,3748206.72,0,18531033.39,5646231.33,11154436.11,8957011.00,102569.69,34194.70,173137.90,0,0,0,0,0,0,0,0,0,0,1609525.00,0,0,0,0,0,0,0,0,67722758.87,42029402.50,41354322.77,34934220.00,0,29233364.00,48416127.60,18593690.00,61434483.00,72145650.00,41773128.75,41012287.79,27571684.26,3694875.00,1818049.98,6861105.63,7940047.60,6403874.22,4709403.46,5712430.26,4293181.57,0,0,0,0,0,0,0,0,0,0,0,0,0,39659477.04,37187714.32,0,0,0,0,0,0,0.0
4,衍生金融资产,81104993.45,642525.00,3667726.36,0,7955240.00,0,0,0,40145994.82,2131050.00,53334780.65,45057775.00,13369451.03,44957415.00,61083395.00,40876336.41,0,1347120.69,6799915.30,93700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,8372578152.85,8441791803.02,8438744229.31,6865966565.59,8271126207.98,8078509960.55,7487785590.93,6366938950.50,0,7276813681.26,0,5585413865.38,0,5080154611.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,640601572.94,636874255.71,535990399.82,601504064.99,466696616.30,398930878.58,306579820.65,485255090.41,368693424.07,279406084.56,237310102.52,262052197.64,174853697.63,147960516.66,165230763.62,130933553.70,152535391.44,140880236.50,108386927.27,98842841.96,108734100.69,75984404.36,35666526.37,101405181.97,77472745.45,34343581.83,56156417.03,70235737.47,13303932.43,34363001.56,25323257.02,27099571.19,17864022.57,14585019.01,13304792.91,14374293.10,11048059.68,9324032.20,10782407.71,9787595.00,3535044.55,7231971.00,5859229.06,7231126.45,7337636.60,15750959.29,27511922.40,12565227.02,9864703.63,15806871.45,6383392.00,6930011.80,2172836.00,8436290.38,14195322.43,2312624.00,9163183.90,5548407.80,1320996.00,1637140.00,2345072.00,5196570.00,1716214.40,6162260.00,850142.00,9548865.01,1042815.01,2200000.00,4499984.00,4830733.99,0,0,0.0
7,应收账款,7731976579.91,7804917547.31,7902753829.49,6264462500.60,7804429591.68,7679579081.97,7181205770.28,5881683860.09,6927679894.82,6997407596.70,6614220717.47,5323361667.74,5066371003.35,4932194095.30,4527298592.47,3896302214.06,3745580050.78,3680787783.84,3484632410.69,3293340644.17,3423370073.15,3439370593.72,2981299246.54,2684667876.84,2728577965.75,2685218226.77,2291913961.17,2064754935.67,2115306001.60,2075984325.79,1839897252.41,1669380604.70,1551960243.89,1816439096.03,1496656352.20,1456328846.57,1360041961.62,1365835011.50,1073124399.91,912655762.12,998167506.36,1003225987.27,881601332.67,695611001.19,682828959.76,659098046.38,526265539.02,485257132.81,486757171.65,468210558.98,412081145.60,327321169.82,327052841.00,257189404.42,247996421.73,218251825.69,239134927.61,265086669.47,221357320.10,214668398.66,219531047.12,216272157.29,188612773.16,186757598.41,192566390.54,158896630.49,155796333.00,152356149.54,131090734.85,88660608.29,101608651.84,205377633.12,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
