,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,38665306851.00,32957965244.00,31119730181.00,33259877961.00,33783352034.00,44148103063.00,41529041234.00,49621480957.00,38402165812.00,39249320082.00,35920254443.00,24621475558.00,25394664357.00,22533742330.00,21401811803.00,16353187158.00,22006865745.00,26466724746.00,17845956001.00,25093046438.00,25399678650.00,18839917742.00,19380711374.00,22542133356.00,21589060597.00,19053242204.00,14360669025.00,14290396917.00,18320075382.00,12265410533.00,19500680115.00,18155001226.00,15439016285.00,15132056978.00,18933346850.00,24937460664.00,22790656271.00,11366298136.00,7943118199.00,10043255144.00,8828101716.00,11552004968.00,8493707669.00,8763187566.00,9487508368.00,4059043431.00,7463116389.00,10463717201.00,7331506985.00,8584234944.00,9750763528.00,9173937427.00,12388010541.00,11053696323.00,8287003726.00,7193696798.00,5785112842.00,8782697131.00,7047592517.00,5635682867.00,5353930477.00,6230037204.00,9330884849.00,13221100343.00,10151011046.00,11667645450.00,12022026138.00,14665592772.00,19291387964.00,24097232799.00,43338953394.00,52555620434.00,6210861078.00,0.0
3,交易性金融资产,201854202.00,557306431.00,265184987.00,702854174.00,769905347.00,745510355.00,694510346.00,164510346.00,159510345.00,125038105.00,131046531.00,133003886.00,123383281.00,135450734.00,135450734.00,120450734.00,106040094.00,0,0,0,12871426.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181990188.00,200904159.00,164388268.00,173340539.00,213797819.00,203831779.00,341549928.00,456385408.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,20620873818.00,26269427721.00,25286118898.00,23243870906.00,18206026524.00,22115381594.00,21550734119.00,23755226253.00,18612629753.00,0,21859747848.00,0,17467944752.00,0,22034249498.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,163957193.00,503434789.00,81226098.00,0,363323541.00,0,0,60452959.00,103468782.00,52414243.00,245596536.00,66938337.00,53672478.00,68786986.00,49797668.00,93835822.00,56949454.00,152125602.00,210138450.00,46348695.00,38444704.00,40933280.00,96003967.00,314102131.00,85806786.00,123141160.00,75015849.00,131097413.00,73892565.00,25958690.00,36210050.00,41541956.00,31490161.00,54531816.00,72378236.00,43526891.00,61453402.00,8171711.00,24837891.00,17788490.00,24522070.00,38743480.00,38644386.00,13541514.00,44684256.00,19434050.00,50941550.00,80572121.00,71874233.00,129037233.00,53550000.00,35383076.00,68090516.00,116928000.00,95737018.00,66208050.00,76076639.00,90725044.00,93200400.00,88094305.00,91949038.00,83128190.00,49800000.00,142702797.00,140558755.00,114744546.00,39226042.00,64894112.00,33946512.00,0,0,0,0,0.0
7,应收账款,20456916625.00,25765992932.00,25204892800.00,0,17842702983.00,0,0,23694773294.00,18509160971.00,21733893102.00,21614151312.00,20491659474.00,17414272274.00,22460075642.00,21984451830.00,21465165797.00,16811072024.00,21315175261.00,20885805560.00,19877299692.00,16632115939.00,19666504387.00,18401362319.00,17287413114.00,15312304551.00,15844103333.00,17007813432.00,15502102381.00,14299836695.00,16615322801.00,14446285870.00,13546834093.00,12439244269.00,12290027377.00,11466621577.00,11063388763.00,10407880852.00,10595384437.00,10719123297.00,10625829147.00,9870653801.00,10856178921.00,10968189309.00,10984758594.00,9312926655.00,2616266033.00,2410881286.00,3419956570.00,3273213303.00,3402034058.00,3554489641.00,3560850190.00,3501266849.00,3890273881.00,4229793454.00,4762135751.00,4619835312.00,5516749379.00,5547578743.00,6147462305.00,5373885003.00,6495541887.00,6304113097.00,6580804675.00,5610936613.00,6398623318.00,5127840026.00,5980652174.00,5378373783.00,3383564698.00,2800290365.00,1836126873.00,1617073016.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
