,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2828746906.95,3065643059.66,3369118080.85,2394492204.34,2659342768.17,2977380508.59,3087841740.10,2826564829.55,2705971666.35,2493191067.20,2120768052.70,1962024312.24,1763951757.76,2053845226.79,2004310233.68,1655295034.33,1728935385.31,2117176019.29,1292076705.81,1357481521.08,1939776096.53,2312611636.25,1513482249.10,1880641016.22,1436535073.90,1653501845.98,1682286148.42,878480098.60,778586800.12,698380564.39,483239576.13,408735896.70,555984976.64,753877827.28,523438052.07,455351489.23,534525174.86,460914099.65,422862907.99,371859365.92,351020253.93,224940410.04,232012966.90,342925947.12,174895438.71,210552595.68,220852534.34,174798362.67,136650900.12,191769535.53,184686501.81,140868845.20,34980248.30,83491407.68,67078743.50,100964973.52,130148373.90,199148630.73,120825891.95,134131990.11,176459194.61,163717860.54,121567225.48,165780452.21,120267102.58,111250010.78,124283876.19,159318999.72,67840916.57,133710984.56,118140017.96,139326448.76,157143443.68,123687969.50,208722597.18,115664695.29,52989194.73,60974589.87,48452596.13,35712777.38,53733046.48,57421718.43,12462498.04,0.0
3,交易性金融资产,60661693.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52151400.00,0,0,4000000.00,0,0,0,0,2684871.97,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,4241844218.94,3748653793.97,3784428842.27,3933812171.20,2704256139.33,2508130613.83,2069009115.70,2532737291.71,0,0,2661761154.54,2848380271.90,0,0,2291050741.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,28216643.44,22386068.18,21906676.87,8675108.12,20722485.20,35517237.66,21196594.62,25096326.00,29218004.90,21117288.07,11363497.57,9569609.50,16103353.00,9670000.00,14714914.00,18021602.50,10450000.00,46737197.00,16070000.00,37550000.00,8450000.00,26380000.00,12690000.00,20000000.00,8030000.00,15912000.00,15080000.00,6314000.00,3300000.00,0,120000.00,7250000.00,50000.00,0,0,10000000.00,10500000.00,7000000.00,0,0,0,0,700000.00,700000.00,0,0,0,320000.00,0,0,1295360.00,660000.00,0,0,0,200000.00,2441000.00,637340.00,444654.00,1991654.00,1250000.00,2380000.00,575000.00,954500.00,180000.00,80000.00,634900.00,939700.00,470000.00,470000.00,0,55000.00,601000.00,0,0,80000.00,0,2800000.00,0,0,0,0,0,0.0
7,应收账款,4213627575.50,3726267725.79,3762522165.40,3925137063.08,2683533654.13,2472613376.17,2047812521.08,2507640965.71,2564679382.84,2183304228.31,2650397656.97,2838810662.40,2971951045.21,3457092423.04,2276335827.35,2144570377.51,1890277302.02,1939881867.39,1722335401.09,1842741859.66,835275107.67,828464737.07,841523108.11,841396296.60,1135356732.90,1051481313.86,749149063.60,722066314.85,129289186.47,118996495.20,167259200.14,219401674.34,70321897.98,50017305.83,50857785.78,79654582.73,85739099.18,99960160.03,74757658.52,80809141.93,85273731.71,90025356.11,91249757.56,59905220.32,87936500.32,80106751.39,76117083.72,76117083.72,113316838.44,103327717.48,105688326.85,126005035.35,87915029.69,84848214.34,189305391.40,195154293.06,295749816.47,412630469.83,417259928.43,451740159.23,438216749.50,456339320.62,449279310.81,442151213.61,453272361.90,489003960.56,458565541.90,492381214.25,468837063.17,462829563.18,438830244.19,441491237.47,254780422.84,237061705.19,249480029.16,192305192.24,171830416.44,137544525.55,89986197.88,63741888.30,67867467.45,39249965.62,70126319.46,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
