,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,227331808.39,61267752.49,29493188.34,26942117.03,62086420.68,57081615.87,55730609.61,54919053.22,473042965.84,85232743.42,78007471.69,78270673.06,159349201.17,70917575.27,109172046.30,76481657.77,89278781.43,141281663.64,176331699.24,98804747.31,619959387.98,374951664.51,874913879.31,213273533.80,852668630.22,210104822.17,673817819.10,514649588.58,796412419.93,1236199816.86,800955518.30,926551462.65,955211889.96,1061047507.03,1027259656.30,799967098.86,415009488.42,412100291.94,278352779.16,137341415.47,308304579.88,302637524.40,262964932.50,200423723.41,147588161.31,99633158.32,43498598.45,19719407.91,98225554.17,54946435.61,34574214.77,31159579.46,59577285.53,19567920.41,41826672.04,22874083.20,49242361.46,97292635.11,87599633.52,111415473.34,37447302.42,30769326.04,17317970.25,4379189.72,22391528.70,5987015.26,3574540.38,5100023.00,8206565.81,366018.60,6932431.60,1212200.00,9517088.25,2000000.00,156297410.00,2800000.00,0,0,0.0
10,其他应收款(合计),115927654.71,105904930.17,96569289.70,113388181.86,72867006.02,74728915.30,79440282.03,69495690.61,0,75698026.77,0,66875147.48,0,74644255.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2804582.55,2818468.39,4644777.20,4644777.20,1675617.88,3741867.88,1851416.67,6047114.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585669.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,4465727.05,4465727.05,4465727.05,4465727.05,4286485.42,4286485.42,4286485.42,4286485.42,6916020.79,6916020.79,6916020.79,6916020.79,6916020.79,6916020.79,9004245.42,9004245.42,0,0,0,0,0,0,0,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,560876.08,1060876.08,1580854.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352923.42,1352923.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755423.94,5000.00,0,0,0,0.0
13,其他应收款,0,101439203.12,0,108922454.81,72867006.02,70442429.88,75153796.61,65209205.19,76742750.41,68782005.98,68572182.13,59959126.69,66241211.40,67728234.38,50558713.54,65128226.39,220999031.19,231569974.72,260553559.85,366294206.11,254315352.98,249320298.16,185428295.42,296527595.37,268478069.24,312689018.39,311903227.69,290281020.28,291565518.43,274515249.30,269714477.02,214902238.60,171601789.03,204306211.66,149856685.71,162962203.08,204880646.48,210177337.47,204446716.26,123846379.55,136503264.32,121251917.84,80833258.48,58667428.72,118084729.47,107488268.78,69241859.54,67292082.32,59140822.39,56697676.23,39762597.08,28250107.70,28614467.68,20926193.33,19036973.95,13875160.84,25506829.99,12576911.23,24855288.20,23075144.79,14529037.81,9894247.25,16574728.17,3903389.74,3314283.53,7200884.60,30792221.88,361559667.19,21890724.03,6574137.26,9581221.14,7816834.05,42252644.12,134905178.56,2312465.01,6010526.47,23488364.42,11577663.71,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,2246387285.89,2114838189.83,2057974124.82,1997459797.70,2119368168.33,2047546179.01,2035361717.35,1987897192.60,817657254.19,781601688.33,790005228.02,735505530.83,744712714.43,707218430.51,701244121.55,595459587.50,867210856.57,712279622.42,764125433.52,666764676.04,498937918.97,496700027.74,461414574.25,363786344.73,472378244.47,349500449.17,267982987.90,152116621.51,173339073.35,139925494.00,203631141.72,152677638.93,182869544.22,139003666.70,172828139.09,102725378.38,225591559.17,165467372.85,160407991.44,119748695.84,240672943.08,191358333.71,222269611.73,194048111.67,525483210.28,438706045.04,432702244.59,410145660.96,490615826.00,465400089.64,434504159.37,396501997.59,40363370.55,49959817.80,38829244.20,31329968.92,6060702.46,2430163.34,0,1863361.68,1251461.71,0,0,0,0,0,0,0,0,0,0,0,41425.93,18202.86,0,0,57349.18,118406.95,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,600000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67580.58,30669.78,317909.59,50094.48,0,0,1718093.24,0,0,0,0,0,430256.00,860504.00,1246515.19,11616.96,452470.81,11303.76,10933857.95,128470.44,3267.90,212900.02,2640000.00,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,849254483.60,795390604.23,185304888.51,124744931.47,182228375.63,175243188.01,122538272.94,71182512.81,118721208.68,10433869.46,8936869.19,6894240.70,0,0,0,300000000.00,0.00,0,420000000.00,600000000.00,1000000000.00,500000000.00,500000000.00,900000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,7630690727.94,6845410184.98,7531300110.59,5681581713.04,4945427651.38,5229438840.71,5208880899.20,6053437774.49,4717440356.23,4259873131.46,3594096260.73,3853681526.84,4193573233.90,4031442043.28,3955829451.67,3621277343.56,3668586693.17,4852185588.08,5069770684.90,5360098824.23,7086283597.20,5341245754.69,5838777129.84,5106783946.32,5546350222.73,6976128384.38,5571104071.99,5152257161.53,4907023756.61,5452137743.75,4673252275.13,4988413933.49,3648343693.82,3957552381.24,4356947924.62,2942873550.71,2089883387.31,2683975375.67,2662176398.33,1276122360.49,1763866782.79,2152759620.12,1395029497.38,1123921577.78,1422544347.47,1150657964.81,1472797831.79,1168225268.13,1181410278.89,1541493971.49,1394160424.79,1261496763.62,1545673500.01,672883363.52,457296816.02,323873250.27,457312417.26,377647654.33,616410224.61,620396877.26,458286539.35,382701322.51,452845344.37,464518822.28,311217758.28,265906965.28,417984543.04,651604165.15,208560716.54,222277645.16,243562565.62,264204615.52,425235648.94,474283184.61,1424647303.28,61346023.20,22481422.33,29396220.73,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,1637170886.02,1513628932.80,1763588372.89,2109458268.40,2338576227.38,2388539978.28,2038627584.36,2217291225.72,2564409549.00,2235215229.84,2086304168.46,1662764426.43,1806421812.27,1033810945.23,1366399530.27,1421058009.45,1229611476.99,624221060.05,393753731.22,433344557.58,385765731.18,406020184.38,358018051.26,484213703.76,470838957.18,389299197.72,496378690.38,476671943.88,424630104.18,565623410.04,724071222.42,774409942.14,699147835.92,752057648.88,708188209.08,1156305912.96,1205100152.52,899515834.44,1206295619.16,662060092.96,467484237.30,37408800.00,40497600.00,66211200.00,84057600.00,102168000.00,97204800.00,74052000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
