,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,304645080.40,366678554.47,493924381.61,784534907.63,230227801.98,309355352.76,858490189.11,924635202.00,224063681.11,544516644.97,715479035.85,856680463.53,355809540.53,819769434.85,1247947766.37,1649795845.63,142729184.42,180925850.55,80810182.38,507636412.69,66967933.59,195822738.49,243746984.29,566733461.39,52712425.91,115848731.04,283867042.31,428861041.14,141739822.93,64833436.17,120884174.83,264121856.40,170093058.85,204475271.54,274657609.29,287364562.71,239712161.59,101902143.37,106698860.86,125440336.20,76153261.93,189294623.62,210583724.71,202950755.26,149737739.39,75223730.79,144278313.65,148153254.73,66019599.92,69785357.97,25427906.83,76218498.88,22763514.56,46869832.18,26836613.84,27416328.52,30099836.91,33579243.35,64609688.49,73657249.48,114502914.02,110577018.45,136137110.91,160914394.25,10003316.77,9144176.70,18768771.09,33278993.84,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,895909128.35,984514667.19,944002872.77,958572690.94,1054471924.76,1036009088.56,930906873.46,992436015.55,0,836527850.78,795536012.01,785787062.63,0,843587594.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,354340200.59,415531400.18,304944554.25,331757479.91,397379841.75,377033676.79,389410057.27,490927599.47,186166740.31,142042211.39,164979551.63,267373988.33,155244439.67,88395066.12,67203764.74,118424694.43,176223443.92,155072600.40,101654242.19,96139057.31,205888582.10,126650759.45,45437568.14,110909772.94,148746636.25,81259374.84,68918964.93,77238453.33,80399204.64,159289396.72,181764563.53,87592436.43,64551869.12,162307098.18,149261179.55,39691277.51,0,10089545.35,13039033.43,14608747.92,7203605.74,2391678.28,6494000.00,11390884.17,9228947.81,7060000.00,5630000.00,8177934.50,2839850.00,1260000.00,2121000.00,4320177.00,3500000.00,3290000.00,100000.00,3257380.00,50000.00,1050000.00,420000.00,3350000.00,1590000.00,2277000.00,400000.00,2080000.00,1645000.00,1550000.00,355000.00,600000.00,0.0
7,应收账款,541568927.76,568983267.01,639058318.52,626815211.03,657092083.01,658975411.77,541496816.19,501508416.08,770729451.98,694485639.39,630556460.38,518413074.30,738942270.51,755192528.62,576099337.49,576923547.45,535613117.93,591411416.46,538406863.59,503706624.17,607420551.49,664103505.27,472674466.21,474886837.38,598584783.30,556617810.58,540895241.02,589716567.44,596324832.06,664845146.73,601484699.65,693905527.37,648059693.96,675678612.54,475977103.99,668116830.82,40419668.79,212197334.79,239519526.03,224767112.61,185354083.73,137733215.86,116189057.82,95216475.29,132243553.41,127727341.32,120801025.27,110971385.00,135604236.11,96839633.91,89782346.98,75752144.18,65490922.13,56914144.51,58860205.90,46600326.27,65295433.52,44469488.10,41031183.68,32834068.90,44022700.17,44280100.33,43400637.36,34102832.29,37317651.11,26000591.48,15583993.32,15020071.49,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
