,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,312895413.81,218529701.93,228624884.60,282024563.62,299282823.28,375541130.03,217773302.08,245426394.30,361132640.98,630848954.62,497898154.06,988768686.69,956222061.44,1175224452.94,1456126971.72,1441053972.42,868915590.66,1088849803.46,1405271487.17,1018944193.32,210167851.42,311429436.56,318363192.73,282922169.98,293941507.06,287877167.06,250118402.11,292872082.43,255614062.17,273090840.10,244816126.76,244070042.91,272639847.52,262218523.29,290976634.81,276902202.47,298800303.79,187680155.98,143844188.19,138023369.99,151521616.94,184318884.05,204767455.30,163263446.04,160659695.62,144909700.12,158367759.35,136482832.09,113097707.47,164246018.99,222636008.09,189026608.13,179768848.03,145754022.23,159063604.30,158430960.96,205121775.96,134883244.05,206591302.31,209082818.48,215204189.13,161217480.88,213477539.91,199789902.52,181287537.78,182485465.06,178633727.58,155427080.23,174584425.91,80204939.03,114351398.80,149598148.76,135171770.83,75825166.34,94100383.35,79406530.80,212165200.12,153840801.78,106245244.22,59111450.66,169022534.28,0,107715373.35,0,81310147.50,0,58601000.00,0,161875329.48,0,0,0,0,0.0
3,交易性金融资产,1882783707.93,632567718.97,464252465.68,650000237.06,974206195.56,856502573.14,576479711.51,634598178.20,510714378.19,452586867.55,451914063.00,441414512.30,356731859.75,297926811.00,20920.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,0,6078806.05,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,108402408.02,139945085.15,116319472.49,122250891.28,143966695.50,140881884.06,132857509.90,132356422.35,145610329.74,0,153453035.34,165008310.47,146218822.42,0,129903830.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,452812.50,120000.00,185000.00,295000.00,165000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.00,1000000.00,1100000.00,1200000.00,0,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000.00,275000.00,3989869.87,0,166190.00,544018.00,1381186.08,447738.00,610909.00,738035.00,236145.00,1214766.90,1090425.00,1526179.50,696642.19,1220956.27,1405723.00,3405151.60,10334550.72,1395513.51,1162641.50,2246763.89,1041082.20,1996375.92,1442859.08,4800745.97,5844742.23,2087529.90,607944.95,2252023.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,107949595.52,139825085.15,116134472.49,121955891.28,143801695.50,140881884.06,132857509.90,132356422.35,145610329.74,147850830.30,153453035.34,165008310.47,146218822.42,114417218.75,129903830.30,131591112.34,114340093.72,141742796.93,117737090.70,140024863.42,61106898.08,56216765.93,48969558.83,43499317.90,34014454.24,14854696.00,15586026.43,10303522.64,9785117.18,18390155.19,17843436.97,41121600.61,16481716.09,46020472.76,24285137.56,22834935.58,17269662.87,50986554.45,46109226.24,41365566.69,47773401.73,55790214.07,67020587.39,75917296.34,72979582.26,83001962.40,87355041.52,95235336.11,113215942.95,89138082.54,118929971.44,112573929.48,138114784.21,109541167.41,99080883.54,160050989.08,136389386.34,100480539.89,115850893.21,132001910.45,160277177.99,144350058.41,162706494.20,126590400.93,260494779.49,137967332.73,237073950.46,248914675.43,332287627.16,227362606.99,292421931.78,325786627.05,276525387.31,325789181.64,282635098.57,293712290.73,438996229.66,248002281.58,255048874.86,245977164.83,239237779.64,0,271376231.29,0,480599030.03,0,0,0,176634692.32,0,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
