,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19891231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2851556865.14,2454297071.50,2107530321.22,2624194977.98,2583663026.14,1708087887.45,745930842.83,490530746.84,868937382.98,597189079.41,946733431.31,431525666.02,456029546.30,6606226.38,7804347.91,14372699.11,31453801.39,4759236.76,14865965.86,4130212.33,23414026.36,3064724.06,23629339.28,5732374.71,3054251.75,287332.92,635548.42,988586.96,1774902.58,4882850.80,903025.73,84171.85,418616.14,165924.76,720466.46,614203.58,2543091.27,459679.02,1393085.37,301842.86,858534.40,973297.69,475425.24,140094.10,13214589.64,12210091.72,13404757.67,12846189.21,14491692.46,16624177.92,8492656.67,7084676.08,12170937.43,2991508.87,3219549.09,527007.00,4999484.36,4821195.80,1166941.89,3082364.74,5167923.41,6394190.11,2974909.12,105288463.23,114938979.04,3241386.43,2656094.41,3062352.04,3526210.14,3052450.79,3756313.95,9830907.65,12223834.46,15610069.96,9454565.68,99946512.33,113015220.24,127312683.43,154259570.86,42563848.94,77822766.09,0,70008396.05,0,35599767.72,0,45476200.00,0,18151688.40,23778482.87,7500631.03,1042141.31,14914762.86,0,1600411.54,0,0.0
3,交易性金融资产,521159406.39,620000000.00,1000000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,80000.00,84050.00,90380.00,12510080.00,1519885.75,0,80000.00,0,500000.00,0,0,0,2988921.46,2971549.64,21700000.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,503939984.71,730842579.46,807201732.01,817045071.63,929757657.41,507847865.76,576239364.50,519983532.48,396175778.35,0,379367016.03,0,244346634.59,0,0,663031.53,663031.53,11467452.90,12788519.16,7646764.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,1504168.00,2155000.00,2791741.18,2132000.00,4900000.00,7017048.00,5847517.00,2130000.00,2630000.00,3740007.69,5311942.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,503939984.71,730842579.46,805697564.01,814890071.63,926965916.23,505715865.76,571339364.50,512966484.48,390328261.35,355839825.54,376737016.03,311656893.42,239034691.94,0,0,663031.53,663031.53,11467452.90,12788519.16,7646764.19,7637590.74,15197701.26,9282133.83,26589193.64,26589193.64,364443.30,394854.12,0,0,850000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642072.36,1314668.42,1539111.84,1776574.52,1703026.96,2318712.82,2538558.68,2006680.72,1854372.20,1910707.82,1377415.71,3924765.53,3870056.73,760851.38,694548.35,869707.21,164393.01,1441907.00,1741308.58,3302810.17,3511070.11,4092077.76,6666242.67,6625913.06,12911891.19,3619848.91,17199395.69,14854073.38,22959203.18,23030006.88,59121885.47,2393463.49,16576104.04,9975349.45,0,3612755.46,0,770538.44,0,0,0,2705705.22,246211.72,246211.72,34943475.15,0,5700731.55,2900134.25,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
