,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,2657851790.09,2397218970.07,1764936147.33,2044503798.97,1847520834.87,1695486121.83,1160539012.24,1163530313.43,1016500123.39,830359816.65,804124737.72,917228056.66,462197438.08,450507525.55,373603737.88,283034688.43,311208823.94,289643604.15,243826785.39,209699986.95,155131898.51,151876570.29,159813855.47,152131997.92,114300617.34,109729987.87,106160654.55,73026952.18,66102951.67,57418988.33,59382555.46,43735248.19,15199550.98,1610034.46,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,161000000.00,61000000.00,85287795.92,30000000.00,12000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000.00,5000000.00,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,264196013.31,92466013.31,69755813.45,64755813.45,50274593.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324896.22,2340667.25,2356438.28,2372209.31,2387980.34,2403751.37,2419522.40,2435293.43,2451064.46,2466835.49,2482606.52,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),117326833.97,52559939.67,16817210.89,4057591.76,92757541.69,73925123.18,53391351.20,44187705.29,0,30729575.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,52559939.67,0,4057591.76,92757541.69,73925123.18,53391351.20,44187705.29,34747947.42,30729575.72,26157353.27,0,0,0,0,321538.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),252689414.70,246005391.37,238774388.23,234798899.90,70357073.68,64100162.65,32315830.72,20040710.24,0,21288727.26,0,23108171.24,0,27017555.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,246005391.37,0,234798899.90,70357073.68,64100162.65,32315830.72,20040710.24,20325077.02,21288727.26,22332817.62,23108171.24,25772100.09,27017555.79,25451799.06,27373082.86,26475990.92,24898778.77,24888157.47,23416380.20,19164744.62,10109264.05,9183192.39,6801796.74,5905868.75,7059570.06,6807318.32,6247054.55,6045980.25,6106484.65,5149721.41,4886712.84,444431.70,95484.08,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,70493214.34,71486294.54,71512466.54,73293259.93,59606355.60,52078843.68,32685869.42,23738182.63,23773148.78,24575254.92,25392495.21,26141165.62,26972704.60,27703059.26,29214273.16,30049050.55,30720578.31,22117836.63,22176798.92,11226160.62,11185468.36,11053781.17,363193.31,258241.18,137690.53,147066.61,156442.69,114746.43,136049.85,0,0,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000.00,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,8993679.61,8993679.61,8993679.61,8993679.61,8993679.61,8993679.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,15581901.34,16807681.45,15136650.69,5653701.46,5100617.30,4867616.09,1573454.70,1752174.22,1980029.49,2120079.02,2591126.38,2222174.26,2823227.63,3130639.31,3307908.36,2709109.46,2535660.85,1223088.43,1396073.50,1201262.75,1014235.32,1117207.89,423880.49,460494.74,497108.99,482056.58,495000.00,228000.00,246000.00,0,282000.00,0,12687.64,12687.64,0.0
43,递延所得税资产,15906755.11,13722386.66,12579141.37,11101948.61,10968652.80,9713685.74,8406449.68,7384668.31,6033548.87,5654670.20,5905826.00,5552658.07,3850885.39,3759186.44,2744071.24,1416414.05,1505551.67,1101600.85,1653705.85,1521712.67,1521712.67,853856.69,1047161.69,589863.59,589863.59,589863.59,589863.59,137693.73,149231.80,85338.57,345605.92,118448.10,82529.69,8313.66,0.0
44,其他非流动资产,166828760.60,32883530.23,33290480.58,13763347.43,7446799.60,39971121.18,660688.43,1347838.49,373358.49,373358.49,373358.49,4844008.75,2496791.73,2061452.90,1798170.94,2244537.83,2828101.13,1109120.00,1957101.13,0,16873464.28,0,8509770.00,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,1098016572.98,715924916.84,647859831.36,577418242.15,366505313.65,338938028.05,159033644.15,110451279.18,87233110.07,84741665.61,82752976.97,61868177.94,61915709.44,63671893.70,64841118.98,66454400.47,66422321.16,52822633.99,54459817.21,39769267.61,52179147.65,25569403.23,21978262.34,10777231.74,9613138.38,8278556.84,8048624.60,19727494.71,11577261.90,6191823.22,5777327.33,5005160.94,539649.03,116485.38,0.0
46,资产总计,3755868363.07,3113143886.91,2412795978.69,2621922041.12,2214026148.52,2034424149.88,1319572656.39,1273981592.61,1103733233.46,915101482.26,886877714.69,979096234.60,524113147.52,514179419.25,438444856.86,349489088.90,377631145.10,342466238.14,298286602.60,249469254.56,207311046.16,177445973.52,181792117.81,162909229.66,123913755.72,118008544.71,114209279.15,92754446.89,77680213.57,63610811.55,65159882.79,48740409.13,15739200.01,1726519.84,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,1018913678.00,815529080.00,612555540.00,616521800.00,571038767.00,530988000.00,33970367.00,29892718.00,15690548.00,29286587.48,40915750.00,59014525.00,113650856.00,107079290.00,94436000.00,76392360.00,75841167.50,68000000.00,39000000.00,39000000.00,30000000.00,5000000.00,5000000.00,0,0,0,0,0,0,0,0,2000000.00,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,409153587.69,427352545.99,312765878.56,329964593.56,324984712.99,327722671.17,224973641.26,202281276.35,0,99303477.02,0,145801584.62,0,102076609.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,25757482.20,1757482.20,0,0,0,0,0,0,0,0,0,0,22171761.00,20000000.00,4326382.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,383396105.49,425595063.79,0,329964593.56,0,327722671.17,224973641.26,202281276.35,142184805.24,99303477.02,86996740.18,145801584.62,57823308.78,82076609.76,44437115.18,37188959.02,39543486.77,55930533.85,27243719.29,42676565.34,7770918.98,26474788.97,7235225.65,15324679.70,12847883.94,5174313.53,3779242.79,7240904.04,7490382.88,1256020.21,3336081.81,2940933.76,428282.28,527290.00,0.0
53,预收款项,166775648.46,82250765.86,84541936.97,261823881.65,93947834.05,44936877.65,13805364.84,17131994.99,26417563.65,17816950.45,425522.89,356052.63,497996.00,5699.96,2096905.15,19504448.15,2625297.14,25890288.11,10311375.41,84826.87,1812249.91,1500630.01,710132.00,6540478.87,758298.39,390200.03,119200.00,88217.50,37000.00,167510.00,42000.00,48000.00,0,49500.00,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
