,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,21678909.12,23985519.40,30297032.68,59645648.12,43261368.66,45435688.07,62546471.09,101353473.30,95300088.30,126789456.59,105950497.54,158180065.41,119418671.56,164550976.49,206444214.00,370082216.01,169213059.55,201841813.05,220486122.41,178316662.98,108133556.72,164845856.44,66401420.79,131319028.84,116278550.79,44275890.81,173454809.66,72755443.54,153722859.60,408739264.90,492713534.40,383193265.25,568272650.10,558857142.97,775304814.69,455749629.34,631138306.27,402412636.80,460453620.16,446951819.27,125858392.19,56537876.40,345180756.17,486659864.29,506205540.91,754524528.27,975701719.57,964102067.09,871114044.29,1059940510.97,1119391620.42,1241137512.33,1054864274.71,952891152.26,954689127.95,918851055.98,632267282.28,1030456618.30,920929784.81,829468186.50,582963943.43,994596410.91,875117615.33,837630182.55,648870970.82,700035381.12,783169772.98,581362903.07,485303795.52,635024193.13,411697961.06,742600355.75,507209233.08,176533529.71,85857395.38,138675609.23,110759830.21,78075343.00,27175408.67,60153500.29,0,62118236.43,0,33831739.41,0,15231440.00,0,4295943.64,15817704.06,2169626.76,4185883.00,6942371.32,317507.90,304843.17,230639.25,0.0
3,交易性金融资产,354776919.79,359728842.87,365170026.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000.00,233033806.38,56027556.38,75512556.38,46595486.48,114692358.00,79951250.41,0,42700000.00,0,44757702.78,0,39927160.00,0,2716000.00,2232500.00,1250000.00,1210000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,39872834.96,40200406.15,48588364.37,48496457.51,80684523.73,75285386.31,79885185.65,71091222.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425845.00,3445845.00,3110000.00,1700000.00,1700000.00,2030000.00,15064274.54,83680000.00,126000000.00,81585788.81,58030000.00,55475000.00,61950000.00,142700000.00,181500000.00,194200000.00,176700000.00,219620000.00,162250000.00,261181250.00,240000000.00,442654622.79,321581538.03,529780120.87,413000000.00,222200000.00,108280000.00,126080000.00,216141230.00,206823630.00,128300000.00,112600000.00,56368978.20,32513284.00,145884494.04,132876563.01,34392619.60,103453880.00,36558455.62,26548016.80,66007555.30,3650000.00,260000.00,38593267.00,500000.00,8095000.00,48233314.18,24466043.50,5550000.00,23141000.00,26126694.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,39872834.96,40200406.15,48588364.37,48496457.51,80684523.73,75285386.31,79885185.65,71091222.79,80034283.56,85653273.41,96368351.57,87786770.39,94697172.66,76588186.39,78995495.46,67042597.77,203356637.91,229776875.21,319009496.20,228820076.17,173336479.60,230857783.49,156929519.42,113223304.18,97376045.70,196045007.61,346200191.81,174145915.88,204237587.61,42346422.85,25640723.19,106458215.21,189461502.51,151804403.46,79132841.07,52235418.85,53158560.10,11897367.83,238192708.50,62910970.87,341529710.55,308928632.53,249303404.45,157139618.23,121813576.18,59785748.27,83007832.43,107932423.72,128631341.63,82943958.00,78708167.48,84826056.51,305871487.80,272315855.44,98804761.59,79846109.93,259737812.05,296077226.84,214038409.25,126902525.66,169485202.19,116084308.81,151762550.28,90112066.84,63006026.79,93547762.75,75161475.47,21190706.04,32416387.57,39088165.75,27474721.83,10237079.45,21557666.34,6463099.09,29584400.39,23525654.04,52476222.14,99228353.75,4914920.95,5782862.97,0,5315221.52,0,3162568.76,0,0,0,1753846.88,2294923.97,1321394.66,1049512.00,328911.90,165852.51,170471.48,56986.54,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
