,报表日期,20191231,20190930,20190630,20181231,20180630,20171231,20170630,20161231,20160630,20151231,20141231,20131231,19700101
51,应付票据,105589232.95,75235151.87,15531269.71,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,677007752.95,669377474.64,710777600.26,616682695.71,0,505314995.57,427389756.65,371360342.14,343863815.95,283964404.94,240729942.54,192989439.58,0.0
53,预收款项,0,0,0,12887400.91,42333570.63,41830033.58,35788983.08,41182186.65,35836970.62,63006385.89,61077945.60,30202839.03,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,64655233.22,22822268.29,21996995.21,56767647.02,30298198.53,46374480.63,19414487.16,43647025.99,21619284.27,31217707.96,17219314.99,13875784.52,0.0
56,应交税费,12531356.79,5906558.93,11628265.96,14656770.94,8354838.98,10491541.16,7106888.50,6138005.11,5373522.99,9186736.95,6603120.02,459480.50,0.0
57,其他应付款(合计),72298752.48,65925178.70,56561842.45,72785927.65,58149666.74,48432717.36,50403864.70,54655817.32,0,51300714.69,57230115.72,0,0.0
58,应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,7009326.53,0,0,0,0,1057192.20,0,0,0,304216.52,0,0.0
60,其他应付款,72298752.48,0,56561842.45,72785927.65,58149666.74,48432717.36,49346672.50,54655817.32,37477331.27,51300714.69,56925899.20,31344515.92,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,730000.00,186014.77,329329.42,690000.00,323066.33,670000.00,160028.52,560000.00,16380000.00,540000.00,700000.00,336328.59,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,985260468.71,882672138.20,864312317.81,804140182.04,668201575.60,653113768.30,540264008.61,517543377.21,460550925.10,439215950.43,383560438.87,269208388.14,0.0
67,非流动负债,,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,16280000.00,15840000.00,15840000.00,15840000.00,14540000.00,14540000.00,11740000.00,11740000.00,12290000.00,12290000.00,7990000.00,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,17451993.54,30137066.00,0,0,7990000.00,0,0.0
73,长期应付款,0,0,0,0,0,0,17451993.54,30137066.00,19240000.00,0,7990000.00,7673054.41,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,0,0,2290996.01,2762694.11,5820754.76,7000000.00,9671103.85,14569005.23,16000000.00,182.26,1094.26,0,0.0
