,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,442319903.67,382947221.51,452391294.00,356800852.95,201342919.19,640290665.36,660147900.46,41911975.77,51600168.91,30667637.29,30204483.70,45563378.75,23544594.91,18743700.48,24014341.59,21749354.45,73327387.22,33422364.15,27741046.49,23329222.99,22225455.83,58850538.16,58716298.55,15900430.63,109314387.33,101598146.66,125336422.34,127427439.01,72960859.13,77817949.65,26951816.73,38315523.58,40360423.72,35581734.61,28261437.60,142050854.70,43094729.69,27679192.36,34772776.11,48921457.46,35727163.58,30074593.38,30526281.47,48056625.56,59168364.92,31609573.12,11157837.62,122838996.89,234862452.46,10552318.89,13842290.63,8055472.91,4785692.31,5045090.52,26255337.87,49596303.46,71507635.93,344113696.00,317631194.38,339923986.90,428656451.51,402696114.06,362806099.72,348635506.25,403331575.19,432068818.91,387199043.88,369130251.18,78828172.27,57815867.28,113534305.43,114299544.30,65751448.32,62961770.15,96881933.88,58706677.52,47439718.29,19793132.75,66441679.41,125091202.00,0,5511269.80,3208457.40,1516784.87,0.0
3,交易性金融资产,1786400.00,1934670.00,2371600.00,1777600.00,2531871.81,3086271.81,4925471.81,4925471.81,5083500.00,17167032.24,18315159.36,23365159.36,24010342.03,56380565.03,46056598.12,33783973.12,32160178.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525660.00,567420.00,567420.00,567420.00,567420.00,600000.00,0,0,1900000.00,1744429.60,1744429.60,1744429.60,1744429.60,1800000.00,0,0,0,244000000.00,244000000.00,0,0,0,0,0,0,0,18000000.00,5200000.00,2200000.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,173110310.29,185101945.02,169843919.18,173394872.16,178796771.30,179238087.61,148870851.08,148778278.32,0,189472348.59,0,157914282.48,0,189958470.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,8501916.47,21506915.73,14740597.16,11407125.56,8262860.69,10861375.68,8833266.54,3832157.06,3483296.38,4653468.01,6968109.84,12484377.44,7799088.96,11201908.95,15940292.75,8713995.65,15187382.98,17429746.17,19992728.23,15120954.82,12656720.55,11525360.61,5198463.95,9215846.56,12833844.18,9305243.95,5003465.21,8488501.49,6513191.64,5669975.10,5989052.73,9123908.48,863672.13,2186488.65,5602999.46,9113843.92,6809284.10,5075407.88,749983.61,1244426.00,4532576.91,2599576.14,2215174.48,4096945.79,3239679.14,3285834.80,3031703.84,2835057.70,827875.19,1745590.70,1514611.37,0,255468.60,408729.18,376266.40,838048.20,118309.47,686678.90,203845.89,482250.37,638149.40,104075.16,1283480.04,2055767.74,50000.00,50000.00,0,0,30000.00,0,350000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,164608393.82,163595029.29,155103322.02,161987746.60,170533910.61,168376711.93,140037584.54,144946121.26,160385733.30,184818880.58,149957988.99,145429905.04,182863006.58,178756561.26,170092569.05,173553139.90,181052787.14,174526061.43,175289750.50,176609107.70,163131675.53,119249749.40,86027485.55,93030304.92,69457477.09,71110557.52,64904333.21,70131360.12,60615966.46,53547550.58,41171831.18,36621194.23,35067437.27,27830323.66,5237943.18,9937684.73,13293662.21,16143692.24,10648215.30,15646281.81,11776719.47,9791148.72,11682396.17,9934992.97,13026548.77,12788456.37,7373639.44,13037516.10,54938365.02,62533582.77,64414495.92,64719879.90,60573039.74,54499573.78,55045799.60,58929656.09,86608674.96,73884311.91,81893148.80,71648270.16,67386585.59,67238098.48,65005335.59,72944307.62,59391358.28,46734205.32,32242262.38,81078562.07,54068626.96,53857447.89,28858850.73,46960618.49,58072768.14,67712796.46,67502919.96,58040865.71,44907414.75,21947965.03,19025372.46,26485197.21,0,15805120.08,564636.00,559154.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
