,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,13306139205.00,15891124444.00,13721543019.00,15077882265.00,15832787528.00,13639500830.00,16264512796.00,15999788845.00,9364823477.00,16364790406.00,12219809424.00,11143444139.00,7881629905.00,7650272841.00,8917868323.00,9057935804.00,7537812634.00,9827522018.00,10155331723.00,9282019247.00,12608191999.00,9380936158.00,11957720187.00,9233213841.00,9433385354.00,10387169148.00,15702539715.00,11113842061.00,10624497102.00,12156886407.00,13535110535.00,10464387422.00,8670015351.00,13678575456.00,11996232132.00,10401957517.00,9547908196.00,8929278583.00,6043302668.00,6277606713.00,5452049814.00,6302740998.00,6256108056.00,7764780682.00,5765873510.00,9661558571.00,4753418755.00,3325222247.00,7532760305.00,4313680209.00,3516860539.00,3281473736.00,3411054724.00,3662026072.00,2617686771.00,3154959987.00,2851592978.00,3928387538.00,2932644401.00,3468027499.00,2510859390.00,2579110585.00,6586400881.00,5242328000.00,4433604438.00,3926791348.00,1957970492.00,5320914852.00,4157362535.00,3994015014.00,3731506945.00,7930823701.00,8397206331.00,3588869039.00,1988372612.00,2493198231.00,2185417807.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,93752702.00,90008135.00,96213518.00,95439571.00,96153714.00,0,0,0,0,0,0,0,0,0,0,0,0,67068398.00,0,0,0,0,0,212739874.00,0,0,0,13200.00,13200.00,13200.00,13200.00,30013200.00,13200.00,0,0,13200.00,13200.00,0,165700000.00,0,0,0,1059411093.00,45400.00,1101700.00,1383690717.00,0,1250543622.00,1837033240.00,0.0
4,衍生金融资产,74910802.00,38428920.00,86291436.00,152459490.00,28734966.00,380937015.00,375631243.00,167808993.00,258364034.00,160377961.00,81623304.00,116980240.00,278601988.00,113286489.00,127563694.00,121143006.00,139467987.00,162802542.00,94181260.00,140644659.00,261135385.00,84545820.00,67643803.00,37192394.00,91727309.00,41455898.00,49452687.00,64620642.00,55267508.00,149569611.00,44212984.00,272257979.00,147454606.00,226421108.00,199427415.00,433924604.00,132632360.00,68378026.00,7495792.00,52992478.00,141885707.00,32552430.00,208113080.00,50195703.00,15479384.00,0,421177542.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,30904359723.00,28049858328.00,28061785168.00,29704609680.00,29278937883.00,24690302739.00,24878005303.00,25423104834.00,25447594596.00,0,20038580397.00,0,16393470744.00,0,13055794459.00,0,0,0,0,0,14881963475.00,0,0,0,15562121379.00,0,0,0,15299964242.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,5552422272.00,4379793531.00,4770158526.00,4565844109.00,4621180175.00,0,0,4050007527.00,3610927507.00,3062304299.00,2863622214.00,2497063242.00,2432263664.00,2315030610.00,2031937770.00,1901449206.00,1977789715.00,1660373433.00,1381534006.00,1244055454.00,806394143.00,739746516.00,908097572.00,1098921987.00,755331124.00,689328378.00,593844713.00,762214084.00,357590079.00,546334448.00,927065368.00,973680865.00,563362128.00,908943870.00,1007864032.00,692025108.00,636542203.00,528681268.00,612788528.00,678744269.00,351630301.00,471458804.00,646700797.00,675915714.00,666255246.00,816885741.00,1177959638.00,1541532786.00,1674933239.00,1532902043.00,1595652079.00,1273021192.00,795790852.00,825556409.00,1132889310.00,652456262.00,1117533416.00,575717688.00,1079472495.00,1148326969.00,1242671845.00,0,0,276200000.00,447200000.00,165700000.00,0,480969516.00,472750000.00,111500000.00,111500000.00,148180000.00,152230000.00,0,70000000.00,2805000.00,0,0.0
7,应收账款,25351937451.00,23670064797.00,23291626642.00,25138765571.00,24657757708.00,0,0,21373097307.00,21836667089.00,17355173455.00,17174958183.00,17401696670.00,13961207080.00,12195114608.00,11023856689.00,12255625737.00,14399611218.00,11389399957.00,12335502654.00,14118133856.00,14075569332.00,10645507670.00,12649965114.00,14038854605.00,14806790255.00,12477691349.00,13095494181.00,13911857271.00,14942374163.00,12838813284.00,13477230255.00,14687715275.00,14814481187.00,12376248108.00,12874712265.00,13530129940.00,10272593414.00,10200229046.00,9784323730.00,9846038009.00,9691272481.00,7703630209.00,7156151015.00,7296490592.00,7128244389.00,6832979383.00,6926607535.00,5991804979.00,6201384406.00,5059878936.00,5461531937.00,5516306352.00,6181701887.00,4936040203.00,4638858941.00,5405627533.00,4904892612.00,4905453047.00,4817943375.00,5180451652.00,3730431156.00,3745287651.00,2835012883.00,2700602569.00,2356825998.00,2219537424.00,2246138329.00,2276681476.00,1889082774.00,1847590541.00,1443593017.00,1643512469.00,1254941073.00,1549826437.00,1126072353.00,1400565552.00,617875921.00,0.0
8,应收款项融资,1364578834.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,1022448113.00,1602871729.00,1906815958.00,1639243639.00,1256434562.00,1590778575.00,1079618236.00,585098798.00,564610839.00,1264924397.00,1279866275.00,1229364341.00,688513879.00,683584375.00,679986764.00,680964588.00,573970075.00,586105096.00,666243944.00,926996204.00,741475388.00,1140073477.00,1012265166.00,982366888.00,434952980.00,791192342.00,1167359351.00,1073372389.00,1010888490.00,1418757580.00,1410372890.00,1721116532.00,1032244694.00,1988964893.00,1526569967.00,1895035962.00,1228515418.00,1002729163.00,1221963981.00,1196065488.00,1024217112.00,2037079233.00,1993267341.00,1276641533.00,659137122.00,1123473878.00,906392184.00,603891632.00,537169705.00,299599225.00,291823434.00,3661405542.00,394261228.00,308987230.00,261181689.00,239409715.00,268606059.00,427613526.00,660896479.00,710420679.00,441370775.00,592464335.00,486808906.00,410625169.00,88194813.00,54484028.00,40928349.00,131426642.00,54040826.00,75989197.00,46383799.00,101243616.00,94953798.00,0,0,0,0,0.0
10,其他应收款(合计),1954653934.00,1585376637.00,1645698099.00,1591529202.00,1517098960.00,1434611519.00,1701908836.00,1734595416.00,1804425218.00,0,2944342286.00,0,2450566115.00,0,1539828321.00,0,0,0,0,0,1181576377.00,0,0,0,943708052.00,0,0,0,989912376.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
