,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,8229221257.85,6632509328.34,8270746876.17,9390031112.99,9356041807.65,9163141413.15,11224871330.29,11445762943.65,11060298712.35,13326734014.79,13872330899.39,15769980675.48,16032431339.07,18294621771.79,15478329176.47,15156503625.56,12456030352.45,11724889492.31,10304620667.75,9171493464.68,7986114397.96,6980077040.82,7186948115.29,7360565761.79,6368204090.04,7910030735.89,7192266713.76,5881922293.86,4832372645.14,4741016801.80,3986383950.26,2740926012.65,3183978258.75,4303084641.20,4750800018.65,4117115589.56,3781967926.38,3886106075.01,3411556148.11,2312080452.21,3293853377.63,6257032804.17,4266207024.46,1554650878.83,703768223.85,692967758.00,778215159.17,923024361.05,724850409.54,709406876.51,1074318951.05,602365962.77,428973829.37,671351685.78,609823967.39,597458502.79,513647920.80,332258663.74,423496995.57,611866314.90,552375404.58,825107159.25,855857479.52,489479869.03,376398807.27,449595183.51,479029532.82,201425012.54,358830224.57,431614831.62,394550089.64,396763293.83,539899280.81,56890663.70,74166161.85,14670147.96,0.0
3,交易性金融资产,675795251.39,0,0,0,0,0,0,0,0,0,297910.84,20672545.46,28078741.03,24170875.08,25304789.98,25921231.17,30498980.80,55192652.19,28373481.73,20898035.00,52971523.78,159555975.73,179524541.22,159782074.29,139426380.81,161150531.58,70488909.92,0,0,0,0,0,0,0,0,137508231.54,321875378.88,312028496.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35760460.96,62834787.53,77415441.00,77415441.00,80000000.00,79899345.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3243608743.46,7172143052.41,7593588635.45,6728980255.89,4607343782.39,6382631812.23,5432424506.31,7220492042.27,4069128918.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,60055045.00,1473669761.08,897594184.68,1426457294.37,458789146.23,1015355963.00,1113711660.24,2045223408.06,958988783.89,2319924896.58,2462831430.38,2633519904.88,1665526818.87,2805720130.85,2228407071.66,3780999332.44,2511783728.03,2664452647.73,3121434860.81,2510088492.89,2572836448.93,2457869867.99,2396958710.52,3379471603.71,2532354688.45,4237061684.71,3654047693.98,2364003424.98,2226566696.76,1967996260.90,1497139862.89,2051195139.08,1392110276.46,2087867090.83,1163285358.25,2512350074.62,1324887324.61,2342407389.43,1933885868.86,916097864.73,217368898.28,772330778.82,1056722446.89,640458156.72,218662126.23,300802030.98,276246411.52,356641440.75,109582871.10,274230434.25,162589142.60,231095886.30,185342826.86,267836954.23,337874986.80,222145699.75,235665781.31,230450959.10,260138280.60,284439569.30,322458099.00,310006242.00,304907559.20,344012370.35,101148539.99,116035489.00,26141020.00,179237151.92,79819193.00,77949150.00,56456570.00,89190000.00,24100000.00,34718000.00,24512200.00,7920000.00,0.0
7,应收账款,3183553698.46,5698473291.33,6695994450.77,5302522961.52,4148554636.16,5367275849.23,4318712846.07,5175268634.21,3110140134.91,3299321203.29,3468975208.37,4463709496.23,3366371401.07,4643298510.55,3421224404.88,3234563018.57,1956180247.06,3148395209.63,2640533874.59,1638881831.15,527731957.32,1357801046.21,1537071394.07,1121614553.69,446145733.90,1026680683.70,901528377.69,914828103.65,311576369.64,1063311130.22,896327431.98,793954278.10,277295854.94,1139471336.64,756962008.76,1069054987.70,305311794.02,963217145.31,624796658.41,875607628.30,305215963.93,845594496.62,619701099.92,701708722.18,411143085.68,753150435.29,679413427.83,743955746.78,307074486.65,794408412.31,509825556.34,810585753.20,286043352.64,427500440.97,360718264.14,553858824.66,167408584.13,370350018.08,230884745.47,424865359.59,123997582.95,269598762.97,247843183.13,181535603.13,87090930.67,182573912.95,151349419.56,158305916.86,80673093.77,84514847.82,81926762.32,106614305.21,60042798.76,122898486.92,82870886.28,61923122.40,0.0
8,应收款项融资,446621028.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,338317754.79,586774452.63,484847794.82,692917530.17,363979412.09,583198106.25,469431196.46,448150716.73,465521554.19,648817158.39,643418373.21,609371863.69,378403076.47,775823685.54,510894117.83,632149215.36,479471577.75,571019850.04,496877447.79,588238860.27,581515821.72,504089106.87,398460887.96,397657936.14,464645132.99,323089512.65,316256209.52,442560727.33,361203460.37,330012745.29,363500432.03,394573466.07,252668774.06,311813182.75,384610893.47,773222015.52,541857143.32,371991577.02,451550658.60,796626609.82,297519618.84,370869812.11,358741412.74,512513247.99,186069190.95,227462321.54,403904685.80,591855844.97,342849280.37,309122087.90,360573764.81,360252269.57,325588392.82,222887978.17,222494601.33,234406694.29,180384672.90,216733802.06,327401350.74,204164730.79,270270801.10,207895925.24,155809812.37,229923904.07,182555507.73,129401386.07,90667175.02,240272711.80,126042165.11,103101124.98,85299759.29,112800962.06,69116857.92,69404712.13,24844193.58,73259358.47,0.0
10,其他应收款(合计),4190447591.47,6428939818.89,6610474577.55,6427616078.68,6379883016.54,5336898890.35,4618789193.05,5090738872.32,4572985606.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
