,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,18987720.63,24194487.28,15352888.59,13308434.37,17900124.12,16724804.72,16685983.19,9905343.41,17335042.47,11674685.75,20050401.77,11744275.80,24215772.42,21012683.16,21263106.18,11071037.49,29957596.62,26687574.50,25599843.71,6508876.33,10266222.49,17503828.70,4816737.54,3531336.17,3978579.18,3405051.08,3688369.45,2226371.80,6849501.15,3611956.62,8214065.92,2868733.53,5213045.23,5436527.64,3414374.77,2471029.12,9152827.61,11631800.30,17912526.90,2022981.78,6101273.20,2920082.20,33682190.50,1557295.60,6762760.44,7462887.46,12235818.47,3570230.36,11799350.06,8480134.78,7214561.02,2941062.33,11642521.93,12111355.07,36563061.89,20299084.80,24662597.43,17672806.94,20259958.94,17287579.83,8818438.52,9505084.32,7858154.57,4397611.49,1997472.08,2425300.65,6460328.15,10575917.44,0.0
10,其他应收款(合计),32834752.20,41774942.76,32049161.33,26867274.21,35495901.03,33750886.03,41183629.21,38517353.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14819540.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,28272.12,0,0,0,0,0,0,0,11355.43,0,107617.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289574.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107250.00,107250.00,0,361500.00,810875.00,569750.00,87500.00,634200.00,307250.00,307250.00,0,214500.00,74836.67,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,41774942.76,0,26867274.21,35495901.03,33750886.03,41183629.21,38517353.89,40128426.56,51519152.41,45025696.50,38040033.83,24944375.35,22620742.43,13377056.88,19657149.80,20190312.15,17764324.91,48189762.76,41383566.96,21203819.95,34032439.37,40936865.07,26680906.18,15507971.20,13421668.85,14819540.39,11465474.07,16831398.42,12829002.61,28456611.94,10672290.28,40384911.30,25793669.46,15854696.20,11578910.25,25372068.00,15598236.86,23447996.42,9991926.27,19617250.81,21415522.88,23486869.81,11318795.49,76694558.88,76804648.46,85489408.08,65627710.43,20632632.98,17352022.37,23717022.76,19677964.22,15707500.75,18226596.21,18793393.00,12196067.59,18698641.09,14729972.06,25085126.62,12657300.31,26928599.22,12738656.05,19365968.54,4190483.57,8944755.55,5208038.57,4566846.00,9897275.98,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,21639151.23,21686615.52,16417366.63,15736179.40,25659732.11,26113973.39,30871879.98,44932196.46,43778927.28,45171139.28,44355176.85,51801449.24,60984037.90,64219817.46,69015426.88,58656916.98,68532439.02,59205906.95,61400495.77,57361999.19,57805312.92,64948628.14,67213675.55,67756357.65,122297534.21,83633928.19,89613418.84,86536142.52,159854571.81,164512309.47,180972336.93,155370002.68,176421978.20,151531273.82,169046474.42,191973446.60,358408303.70,344628624.90,333602293.91,297432200.30,215064886.62,144734468.87,134261828.67,116725084.64,23854666.02,24298434.53,22086548.96,17821204.46,29494728.15,24568185.07,17117267.36,4062294.69,13249486.72,13893257.56,14602397.92,12127431.02,19446470.59,13643419.23,13046353.77,13018082.77,30117221.31,18340024.58,8126036.38,11191087.07,7479658.81,5265417.68,13613591.62,15302817.58,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,38813652.03,38813652.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,10000000.00,10000000.00,10000000.00,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198909.99,225649.80,231296.64,199498.87,378749.05,307447.74,228716.65,107005.32,244954.35,828696.67,469024.98,1188947.57,184032.40,345922.56,452492.14,474655.19,941578.40,0.0
