,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,9910101985.85,6784076105.91,6658212617.00,6950008595.97,7035766385.49,4944970455.34,5956185292.24,6031311022.50,7239464703.59,6760400700.97,7340231484.96,8026504350.60,7597457232.30,5117178952.97,5337628333.27,5850979026.54,6199957308.05,5591065338.61,5467323252.84,5974992078.59,5548076834.40,5120112169.03,5215136083.89,5871924516.98,5622862028.38,6489144080.65,7639791962.82,6957720392.28,5386052596.19,4616097214.87,4676071368.62,5204455132.33,3281206866.31,2800661834.19,3129511733.69,2948142161.38,2252894576.63,1699221782.70,2025676625.64,1859548797.84,1074700183.00,602450325.77,770085984.50,1112217304.25,1031126405.31,1230343721.82,1585420467.99,1606610397.27,1276457396.06,1124259877.21,1342758227.02,1252661569.19,889790733.33,886234402.07,940786323.75,1249082416.47,1143675579.38,984502205.68,1125720663.39,1147840683.02,1037749801.55,923250950.86,902897665.16,1005893488.26,851519586.26,769460374.03,622569607.83,636089720.02,544806956.68,456637388.96,410173055.41,442827711.91,502497003.31,292115027.79,476131878.71,407111177.64,129360953.49,149509723.91,111799668.94,465603949.54,0,356563440.28,0,401590445.03,0,169326000.00,0,65053409.12,0,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19779334.00,18590143.00,15567555.00,11451118.99,13953722.00,18502591.12,25680963.10,32278378.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26640.00,28840.00,28840.00,4252245.90,4255535.90,4255535.90,0,0,0,0,0,4249520.00,1748400.00,1000000.00,31000000.00,11000000.00,1000000.00,0,34424112.83,0,123360256.23,0,256396000.00,0,11617000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,150414841.68,270622033.70,215927914.27,281686672.88,131472162.15,207044644.55,171330861.33,242845672.33,0,132422781.42,61888901.20,168892907.34,0,66367724.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889694.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,150414841.68,270622033.70,215927914.27,281686672.88,131472162.15,207044644.55,171330861.33,242845672.33,150391961.40,132422781.42,61888901.20,168892907.34,82504791.26,66367724.11,64093694.38,81352267.49,81743253.63,63037190.68,67204693.70,72632195.90,72684257.06,46912658.73,62638013.92,105942812.03,71081872.91,129078681.09,138429960.76,78255011.05,211375909.36,108013488.29,80397490.05,110199950.79,128996198.74,59031193.31,66746371.83,70474167.37,90621091.11,74388264.73,72107982.75,67843512.38,125780557.11,93058801.68,90673193.53,76575617.99,143919060.81,72648466.24,67419112.88,79341523.83,125627553.13,62086058.41,82412333.79,58715070.99,113569917.20,76349591.05,100748797.25,131646331.35,140918831.09,117989919.95,134911780.91,175472986.93,88901466.54,85576691.61,77034152.98,91447912.34,67734496.16,67896709.41,74042322.19,84451821.94,92898752.18,89195416.47,88095419.62,72362527.03,58907505.18,53252343.17,42341113.62,41833892.15,42767465.27,38331142.59,48976310.10,69771279.87,0,19331777.22,0,30588185.99,0,0,0,11860000.00,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
